序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000877,天山股份,2021-08-18,13.903,2021-08-23,15.338,35900,10.2140%,51005.23,3,止盈
2,002599,盛通股份,2021-08-18,6.253,2021-08-20,7.546,79900,20.5586%,102767.41,2,止盈
3,002673,西部证券,2021-08-18,7.658,2021-09-09,7.9,65200,3.0599%,15285.62,16,到期
4,002882,金龙羽,2021-08-18,11.606,2021-08-20,12.334,43000,6.1668%,30790.59,2,止盈
5,002941,新疆交建,2021-08-18,11.776,2021-08-24,10.685,42400,-9.3573%,-46744.32,4,止损
6,300145,南方泵业,2021-08-18,3.452,2021-09-09,3.598,144800,4.1393%,20699.17,16,到期
7,300152,ST动力,2021-08-18,5.043,2021-08-27,4.728,99100,-6.3383%,-31689.21,7,止损
8,300270,中威电子,2021-08-18,7.003,2021-08-20,6.147,71300,-12.3184%,-61542.61,2,止损
9,300284,苏交科,2021-08-18,6.72,2021-08-25,6.284,74400,-6.5887%,-32959.51,5,止损
10,300320,海达股份,2021-08-18,8.886,2021-08-24,10.237,56200,15.0815%,75357.25,4,止盈
11,300737,科顺股份,2021-08-18,16.649,2021-09-07,18.052,30000,8.3163%,41558.95,14,止盈
12,600130,波导股份,2021-08-18,4.072,2021-09-09,4.078,122700,0.0454%,227.00,16,到期
13,600361,创新新材,2021-08-18,6.411,2021-08-20,5.555,77900,-13.4380%,-67147.17,2,止损
14,600645,中源协和,2021-08-18,22.191,2021-08-23,19.88,22500,-10.5038%,-52471.59,3,止损
15,601111,中国国航,2021-08-18,6.913,2021-09-08,7.606,72300,9.9102%,49560.22,15,止盈
16,601555,东吴证券,2021-08-18,7.435,2021-08-20,8.146,67200,9.4566%,47269.77,2,止盈
17,601778,晶科科技,2021-08-18,6.9,2021-08-20,7.383,72400,6.8905%,34441.85,2,止盈
18,603212,赛伍技术,2021-08-18,31.524,2021-08-20,28.284,15800,-10.3673%,-51662.95,2,止损
19,603759,海天股份,2021-08-18,14.01,2021-08-23,11.97,35600,-14.6463%,-73086.07,3,止损
20,603777,来伊份,2021-08-18,14.465,2021-08-23,13.091,34500,-9.5876%,-47870.69,3,止损
21,002939,长城证券,2021-08-20,11.315,2021-08-30,10.354,44100,-8.5834%,-42850.57,6,止损
22,300366,ST创意,2021-08-20,10.405,2021-09-13,10.325,48000,-0.8715%,-4355.04,16,到期
23,300610,晨化股份,2021-08-20,16.619,2021-08-26,18.082,30000,8.6922%,43358.95,4,止盈
24,600011,华能国际,2021-08-20,3.712,2021-08-24,4.518,134700,21.5895%,107998.45,2,止盈
25,600038,中直股份,2021-08-20,65.598,2021-09-01,60.825,7600,-7.3692%,-36756.80,8,止损
26,600958,东方证券,2021-08-20,13.552,2021-08-31,12.245,36800,-9.7341%,-48568.50,7,止损
27,603087,甘李药业,2021-08-20,74.153,2021-09-13,74.269,6700,0.0560%,278.57,16,到期
28,002183,怡亚通,2021-08-23,7.142,2021-09-14,7.574,70000,5.9521%,29769.89,16,到期
29,300083,创世纪,2021-08-23,12.806,2021-08-25,14.023,34300,9.3904%,41268.74,2,止盈
30,300296,利亚德,2021-08-23,10.506,2021-08-27,9.816,47500,-6.6624%,-33265.30,4,止损
31,300454,深信服,2021-08-23,283.142,2021-09-03,258.381,1700,-8.8362%,-42553.58,9,止损
32,300122,智飞生物,2021-08-24,108.961,2021-09-15,102.289,4500,-6.2177%,-30502.12,16,到期
33,300131,英唐智控,2021-08-24,9.265,2021-09-01,8.546,53900,-7.8519%,-39228.97,6,止损
34,600456,宝钛股份,2021-08-24,50.515,2021-09-01,55.642,9800,10.0392%,49723.64,6,止盈
35,600549,厦门钨业,2021-08-25,28.15,2021-09-06,26.043,17700,-7.5777%,-37775.21,8,止损
36,601211,国泰海通,2021-08-25,15.878,2021-09-16,15.902,31400,0.0517%,258.11,16,到期
37,000629,钒钛股份,2021-08-26,4.042,2021-09-01,4.888,123700,20.7978%,104040.39,4,止盈
38,600157,永泰能源,2021-08-27,1.806,2021-09-06,1.994,276800,10.3055%,51540.17,6,止盈
