日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.030930,
2021-08-19,1.013137,
2021-08-20,1.014265,
2021-08-23,1.031568,
2021-08-24,1.032230,
2021-08-25,1.038086,
2021-08-26,1.037908,
2021-08-27,1.037191,
2021-08-30,1.040187,
2021-08-31,1.045854,
2021-09-01,1.049606,
2021-09-02,1.059337,
2021-09-03,1.060948,
2021-09-06,1.071442,
2021-09-07,1.082308,
2021-09-08,1.092932,
2021-09-09,1.094915,
2021-09-10,1.086454,
2021-09-13,1.098059,
2021-09-14,1.079453,
2021-09-15,1.086167,
2021-09-16,1.078430,
2021-09-17,1.076779,
2021-09-22,1.079657,
2021-09-23,1.087694,
2021-09-24,1.070126,
2021-09-27,1.053985,
2021-09-28,1.050142,
2021-09-29,1.025178,
2021-09-30,1.034349,
2021-10-08,1.049498,
2021-10-11,1.047163,
2021-10-12,1.044071,
2021-10-13,1.042957,
2021-10-14,1.044057,
2021-10-15,1.032132,
2021-10-18,1.035610,
2021-10-19,1.039963,
2021-10-20,1.037194,
2021-10-21,1.032359,
2021-10-22,1.024422,
2021-10-25,1.029411,
2021-10-26,1.024733,
2021-10-27,1.012586,
2021-10-28,1.000491,
2021-10-29,1.014291,
2021-11-01,1.034425,
2021-11-02,1.029805,
2021-11-03,1.033091,
2021-11-04,1.053387,
2021-11-05,1.053030,
2021-11-08,1.054557,
2021-11-09,1.064422,
2021-11-10,1.072681,
2021-11-11,1.081872,
2021-11-12,1.093578,
2021-11-15,1.107237,
2021-11-16,1.099690,
2021-11-17,1.112599,
2021-11-18,1.100740,
2021-11-19,1.111706,
2021-11-22,1.119706,
2021-11-23,1.125657,
2021-11-24,1.131320,
2021-11-25,1.133575,
2021-11-26,1.129684,
2021-11-29,1.127307,
2021-11-30,1.138812,
2021-12-01,1.150759,
2021-12-02,1.138359,
2021-12-03,1.138499,
2021-12-06,1.124167,
2021-12-07,1.121249,
2021-12-08,1.129699,
2021-12-09,1.134717,
