日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10029344.96
2021-08-19,10043592.56
2021-08-20,9972411.34
2021-08-23,10292951.53
2021-08-24,10230648.11
2021-08-25,10412741.22
2021-08-26,10503663.16
2021-08-27,10494390.14
2021-08-30,10578805.86
2021-08-31,10286203.35
2021-09-01,9968665.84
2021-09-02,10346823.0
2021-09-03,10365951.74
2021-09-06,10343732.77
2021-09-07,10466539.29
2021-09-08,10374809.25
2021-09-09,10369869.1
2021-09-10,10264983.46
2021-09-13,10320910.93
2021-09-14,10331834.96
2021-09-15,10492436.99
2021-09-16,10081781.21
2021-09-17,9986299.82
2021-09-22,10326080.68
2021-09-23,10477566.02
2021-09-24,10090959.78
2021-09-27,9466933.98
2021-09-28,9650650.81
2021-09-29,9253665.67
2021-09-30,9751557.94
2021-10-08,9282443.74
2021-10-11,9034602.57
2021-10-12,8692708.68
2021-10-13,8280546.61
2021-10-14,8343743.66
2021-10-15,8498160.62
2021-10-18,8934043.92
2021-10-19,9176935.4
2021-10-20,9425482.44
2021-10-21,9457249.81
2021-10-22,9256247.14
2021-10-25,9353958.44
2021-10-26,9258779.01
2021-10-27,8965435.68
2021-10-28,8766023.28
2021-10-29,8911835.04
2021-11-01,9286871.58
2021-11-02,9161763.08
2021-11-03,9293244.8
2021-11-04,9370731.87
2021-11-05,9119371.76
2021-11-08,9211197.04
2021-11-09,9308784.66
2021-11-10,9235429.37
2021-11-11,9188593.53
2021-11-12,9225404.62
2021-11-15,9097151.15
2021-11-16,8937506.75
2021-11-17,9188246.39
2021-11-18,9075010.13
2021-11-19,9307897.13
2021-11-22,9441705.94
2021-11-23,9466672.29
2021-11-24,9769425.49
2021-11-25,9667343.1
2021-11-26,9609669.7
2021-11-29,9688631.52
2021-11-30,9613045.61
2021-12-01,9650170.75
2021-12-02,9326883.33
2021-12-03,9382237.62
2021-12-06,9258406.83
2021-12-07,9184331.64
2021-12-08,9479596.55
2021-12-09,9573284.15
2021-12-10,9669482.45
2021-12-13,9794298.08
2021-12-14,9966433.09
2021-12-15,10095889.82
2021-12-16,10319747.02
2021-12-17,10084925.38
2021-12-20,9774743.79
2021-12-21,9868856.45
2021-12-22,9930096.15
2021-12-23,9863537.51
2021-12-24,9456134.01
2021-12-27,9600594.39
2021-12-28,9444264.43
2021-12-29,9441141.82
2021-12-30,9591204.75
2021-12-31,9631880.71
2022-01-04,9755832.65
2022-01-05,9608764.7
2022-01-06,9735629.92
2022-01-07,9515002.42
2022-01-10,9503994.52
2022-01-11,9488744.62
2022-01-12,9708086.52
2022-01-13,9786980.36
2022-01-14,9762273.59
2022-01-17,9962988.01
2022-01-18,9760408.72
2022-01-19,9829259.96
2022-01-20,9532151.57
2022-01-21,9061795.4
2022-01-24,8973100.72
2022-01-25,8346438.77
2022-01-26,8321721.42
2022-01-27,7971382.77
2022-01-28,7940834.06
2022-02-07,8075608.03
2022-02-08,8458658.82
2022-02-09,8742397.7
2022-02-10,8807111.04
2022-02-11,8544173.43
2022-02-14,8632819.52
2022-02-15,8633727.37
2022-02-16,8742373.77
2022-02-17,8663574.18
2022-02-18,8891613.48
2022-02-21,9242380.68
2022-02-22,9143200.31
2022-02-23,9093725.54
2022-02-24,8758762.59
2022-02-25,8777991.4
2022-02-28,8653323.52
2022-03-01,8875839.69
2022-03-02,8997586.41
2022-03-03,8997083.63
2022-03-04,8779966.0
2022-03-07,8691237.3
2022-03-08,8444661.98
2022-03-09,8502813.83
2022-03-10,8785220.29
2022-03-11,8833921.02
2022-03-14,8450562.15
2022-03-15,7870189.78
2022-03-16,8173731.0
2022-03-17,8230017.62
2022-03-18,8403670.18
2022-03-21,8549646.24
2022-03-22,8359867.16
2022-03-23,8218324.72
2022-03-24,8241378.82
2022-03-25,7835304.88
2022-03-28,7858779.2
2022-03-29,7860081.99
2022-03-30,8010397.72
2022-03-31,8102002.61
2022-04-01,7869021.47
2022-04-06,8068583.72
2022-04-07,7864937.42
2022-04-08,7782026.18
2022-04-11,7575321.53
