日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,0.997989,
2021-08-19,1.000967,
2021-08-20,0.999003,
2021-08-23,1.031702,
2021-08-24,1.040203,
2021-08-25,1.050038,
2021-08-26,1.046541,
2021-08-27,1.039477,
2021-08-30,1.044467,
2021-08-31,1.032270,
2021-09-01,1.018432,
2021-09-02,1.030417,
2021-09-03,1.029491,
2021-09-06,1.036853,
2021-09-07,1.053319,
2021-09-08,1.052653,
2021-09-09,1.051420,
2021-09-10,1.042418,
2021-09-13,1.052032,
2021-09-14,1.053779,
2021-09-15,1.064728,
2021-09-16,1.045438,
2021-09-17,1.040587,
2021-09-22,1.057827,
2021-09-23,1.063601,
2021-09-24,1.044967,
2021-09-27,1.001540,
2021-09-28,1.004344,
2021-09-29,0.973657,
2021-09-30,1.001309,
2021-10-08,0.999906,
2021-10-11,0.987211,
2021-10-12,0.958406,
2021-10-13,0.942599,
2021-10-14,0.954559,
2021-10-15,0.951235,
2021-10-18,0.979142,
2021-10-19,0.995397,
2021-10-20,0.996412,
2021-10-21,0.996662,
2021-10-22,0.980862,
2021-10-25,0.994362,
2021-10-26,0.986930,
2021-10-27,0.968297,
2021-10-28,0.949510,
2021-10-29,0.958907,
2021-11-01,0.976780,
2021-11-02,0.962150,
2021-11-03,0.976444,
2021-11-04,0.990234,
2021-11-05,0.964170,
2021-11-08,0.967567,
2021-11-09,0.975841,
2021-11-10,0.979102,
2021-11-11,0.989619,
2021-11-12,0.998055,
2021-11-15,0.992699,
2021-11-16,0.975936,
2021-11-17,0.994909,
2021-11-18,0.985049,
2021-11-19,1.000767,
2021-11-22,1.019269,
2021-11-23,1.021428,
2021-11-24,1.033179,
2021-11-25,1.025801,
2021-11-26,1.020408,
2021-11-29,1.028928,
2021-11-30,1.026277,
2021-12-01,1.038066,
2021-12-02,1.015818,
2021-12-03,1.014558,
2021-12-06,0.997760,
2021-12-07,0.985430,
2021-12-08,1.003226,
2021-12-09,1.005577,
2021-12-10,1.010602,
2021-12-13,1.016267,
2021-12-14,1.033187,
2021-12-15,1.037996,
2021-12-16,1.047037,
2021-12-17,1.038559,
2021-12-20,1.030909,
2021-12-21,1.044775,
2021-12-22,1.050584,
2021-12-23,1.050239,
2021-12-24,1.022969,
2021-12-27,1.028892,
2021-12-28,1.027367,
2021-12-29,1.027265,
2021-12-30,1.036697,
2021-12-31,1.035824,
2022-01-04,1.057546,
2022-01-05,1.052870,
2022-01-06,1.068784,
2022-01-07,1.053858,
2022-01-10,1.062214,
2022-01-11,1.062143,
2022-01-12,1.079396,
2022-01-13,1.080161,
2022-01-14,1.086670,
2022-01-17,1.107053,
2022-01-18,1.083064,
2022-01-19,1.090008,
2022-01-20,1.056050,
2022-01-21,1.033286,
2022-01-24,1.034062,
2022-01-25,0.985065,
2022-01-26,0.983603,
2022-01-27,0.952859,
2022-01-28,0.960933,
2022-02-07,0.977254,
2022-02-08,1.008791,
2022-02-09,1.033247,
2022-02-10,1.035698,
2022-02-11,1.011418,
2022-02-14,1.021086,
2022-02-15,1.023167,
2022-02-16,1.028241,
2022-02-17,1.012379,
2022-02-18,1.032805,
2022-02-21,1.062815,
2022-02-22,1.046842,
2022-02-23,1.051951,
2022-02-24,1.012927,
2022-02-25,1.016352,
2022-02-28,1.015192,
2022-03-01,1.029727,
2022-03-02,1.041660,
2022-03-03,1.044856,
2022-03-04,1.027834,
2022-03-07,1.020889,
2022-03-08,0.994245,
2022-03-09,0.992215,
2022-03-10,1.006752,
2022-03-11,1.011713,
2022-03-14,0.985106,
2022-03-15,0.941998,
2022-03-16,0.959341,
2022-03-17,0.974252,
2022-03-18,0.997044,
2022-03-21,1.016682,
2022-03-22,1.003165,
2022-03-23,0.993450,
2022-03-24,0.991366,
2022-03-25,0.969922,
2022-03-28,0.968574,
2022-03-29,0.961092,
2022-03-30,0.975554,
2022-03-31,0.974427,
2022-04-01,0.962884,
2022-04-06,0.980782,
2022-04-07,0.955061,
2022-04-08,0.948815,
2022-04-11,0.920893,
2022-04-12,0.928952,
2022-04-13,0.893521,
2022-04-14,0.903416,
2022-04-15,0.879157,
2022-04-18,0.874477,
2022-04-19,0.882575,
2022-04-20,0.873301,
2022-04-21,0.841486,
2022-04-22,0.834034,
2022-04-25,0.787298,
2022-04-26,0.769866,
2022-04-27,0.774645,
2022-04-28,0.756340,
2022-04-29,0.786707,
2022-05-05,0.810620,
2022-05-06,0.797405,
2022-05-09,0.814913,
2022-05-10,0.833199,
2022-05-11,0.841591,
2022-05-12,0.843021,
2022-05-13,0.850538,
2022-05-16,0.856860,
2022-05-17,0.848616,
2022-05-18,0.852367,
2022-05-19,0.857918,
2022-05-20,0.859789,
2022-05-23,0.864058,
2022-05-24,0.822114,
2022-05-25,0.835354,
2022-05-26,0.836426,
2022-05-27,0.843446,
2022-05-30,0.846439,
2022-05-31,0.853243,
2022-06-01,0.855389,
2022-06-02,0.861734,
2022-06-06,0.872342,
2022-06-07,0.868072,
2022-06-08,0.865449,
2022-06-09,0.847996,
2022-06-10,0.863306,
2022-06-13,0.867225,
2022-06-14,0.864824,
2022-06-15,0.863839,
2022-06-16,0.874261,
2022-06-17,0.878376,
2022-06-20,0.883824,
2022-06-21,0.875307,
2022-06-22,0.867639,
2022-06-23,0.885590,
2022-06-24,0.890138,
2022-06-27,0.895700,
2022-06-28,0.902181,
2022-06-29,0.882639,
2022-06-30,0.887213,
2022-07-01,0.886900,
2022-07-04,0.890222,
2022-07-05,0.881375,
2022-07-06,0.873425,
2022-07-07,0.882835,
2022-07-08,0.890262,
2022-07-11,0.891094,
2022-07-12,0.872979,
2022-07-13,0.884851,
2022-07-14,0.893442,
2022-07-15,0.875969,
2022-07-18,0.898316,
2022-07-19,0.909667,
2022-07-20,0.921171,
2022-07-21,0.919971,
2022-07-22,0.922877,
2022-07-25,0.916921,
2022-07-26,0.925253,
2022-07-27,0.932580,
2022-07-28,0.940108,
2022-07-29,0.939547,
2022-08-01,0.943153,
2022-08-02,0.896564,
2022-08-03,0.889429,
2022-08-04,0.900249,
2022-08-05,0.899469,
2022-08-08,0.919905,
2022-08-09,0.927332,
2022-08-10,0.940826,
2022-08-11,0.951008,
2022-08-12,0.948888,
2022-08-15,0.959224,
2022-08-16,0.971789,
2022-08-17,0.975024,
2022-08-18,0.983305,
2022-08-19,0.956914,
2022-08-22,0.954708,
2022-08-23,0.962643,
2022-08-24,0.919409,
2022-08-25,0.900395,
2022-08-26,0.891394,
2022-08-29,0.898609,
2022-08-30,0.890703,
2022-08-31,0.855482,
2022-09-01,0.852006,
2022-09-02,0.866712,
2022-09-05,0.884157,
2022-09-06,0.899380,
2022-09-07,0.905669,
2022-09-08,0.891030,
2022-09-09,0.886455,
2022-09-13,0.885085,
2022-09-14,0.877012,
2022-09-15,0.849320,
2022-09-16,0.829969,
2022-09-19,0.825079,
2022-09-20,0.836420,
2022-09-21,0.840100,
2022-09-22,0.839418,
2022-09-23,0.814082,
2022-09-26,0.804270,
2022-09-27,0.816608,
2022-09-28,0.787333,
2022-09-29,0.774931,
2022-09-30,0.759469,
2022-10-10,0.749826,
2022-10-11,0.750931,
2022-10-12,0.765547,
2022-10-13,0.772702,
2022-10-14,0.793878,
2022-10-17,0.803743,
2022-10-18,0.804747,
2022-10-19,0.788349,
2022-10-20,0.790052,
2022-10-21,0.779842,
2022-10-24,0.764945,
2022-10-25,0.760778,
2022-10-26,0.781617,
2022-10-27,0.784525,
2022-10-28,0.758663,
2022-10-31,0.765174,
2022-11-01,0.786872,
2022-11-02,0.798256,
2022-11-03,0.806344,
2022-11-04,0.816503,
2022-11-07,0.826366,
2022-11-08,0.833262,
2022-11-09,0.838430,
2022-11-10,0.830425,
2022-11-11,0.825421,
2022-11-14,0.823123,
2022-11-15,0.837842,
2022-11-16,0.840652,
2022-11-17,0.850710,
2022-11-18,0.841401,
2022-11-21,0.854152,
2022-11-22,0.834438,
2022-11-23,0.820127,
2022-11-24,0.827008,
2022-11-25,0.817665,
2022-11-28,0.817175,
2022-11-29,0.838515,
2022-11-30,0.838445,
2022-12-01,0.845209,
2022-12-02,0.853587,
2022-12-05,0.860372,
2022-12-06,0.845212,
2022-12-07,0.850243,
2022-12-08,0.852040,
2022-12-09,0.852737,
2022-12-12,0.849983,
2022-12-13,0.846629,
2022-12-14,0.840561,
2022-12-15,0.847456,
2022-12-16,0.844783,
2022-12-19,0.828125,
2022-12-20,0.813282,
