序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1,000002,万科Ａ,2024-05-09,7.244,2024-05-17,8.326,14.8253%,14.9403%,6,止盈
2,000002,万科Ａ,2024-10-14,9.415,2024-10-29,9.305,-1.2604%,-1.1616%,11,到期
3,000002,万科Ａ,2025-02-19,7.504,2025-03-06,7.576,0.8647%,0.9657%,11,到期
4,000004,国华退,2023-08-01,18.109,2023-08-04,19.97,10.1662%,10.2764%,3,止盈
5,000004,国华退,2024-05-14,10.555,2024-05-16,11.644,10.2059%,10.3162%,2,止盈
6,000004,国华退,2024-06-25,9.765,2024-07-01,11.764,20.3533%,20.4737%,4,止盈
7,000004,国华退,2024-07-29,11.136,2024-08-02,12.194,9.3946%,9.5041%,4,止盈
8,000004,国华退,2024-12-19,18.759,2024-12-26,13.163,-29.9004%,-29.8302%,5,止损
9,000006,深振业Ａ,2022-12-08,5.179,2022-12-20,5.803,11.9474%,12.0594%,8,止盈
10,000006,深振业Ａ,2023-01-04,6.029,2023-01-09,5.563,-7.8182%,-7.7259%,3,止损
11,000006,深振业Ａ,2023-11-29,4.682,2023-12-14,4.798,2.3592%,2.4616%,11,到期
12,000006,深振业Ａ,2024-11-05,8.424,2024-11-08,9.375,11.1788%,11.2901%,3,止盈
13,000006,深振业Ａ,2025-04-03,7.054,2025-04-08,5.997,-15.0637%,-14.9787%,2,止损
14,000007,全新好,2025-12-08,9.505,2025-12-15,10.615,11.5661%,11.6777%,5,止盈
15,000008,神州高铁,2021-12-30,2.631,2022-01-04,2.959,12.3226%,12.4350%,2,止盈
16,000008,神州高铁,2022-06-08,2.591,2022-06-23,2.449,-5.5944%,-5.5000%,11,到期
17,000008,神州高铁,2024-08-07,2.111,2024-08-22,2.019,-4.4567%,-4.3611%,11,到期
18,000008,神州高铁,2024-12-12,3.292,2024-12-18,3.018,-8.3901%,-8.2984%,4,止损
19,000008,神州高铁,2026-04-08,2.781,2026-04-23,2.689,-3.4308%,-3.3341%,11,到期
20,000008,神州高铁,2026-07-20,2.291,2026-08-04,2.469,7.6447%,7.7525%,11,到期
21,000009,中国宝安,2021-09-17,20.345,2021-09-28,18.666,-8.3468%,-8.2551%,5,止损
22,000009,中国宝安,2024-10-14,8.874,2024-10-29,10.055,13.1894%,13.3026%,11,止盈
23,000009,中国宝安,2026-08-07,7.474,2026-08-13,8.326,11.2899%,11.4013%,4,止盈
24,000010,ST美丽,2022-05-23,3.412,2022-05-26,3.718,8.8729%,8.9819%,3,止盈
25,000010,ST美丽,2022-05-31,3.502,2022-06-06,4.028,14.9128%,15.0278%,3,止盈
26,000010,ST美丽,2023-08-07,2.821,2023-08-14,2.529,-10.4630%,-10.3734%,5,止损
27,000010,ST美丽,2023-09-04,3.122,2023-09-08,2.909,-6.9171%,-6.8240%,4,止损
28,000010,ST美丽,2024-01-31,2.521,2024-02-05,2.279,-9.7046%,-9.6142%,3,止损
29,000010,ST美丽,2024-10-11,1.991,2024-10-28,2.199,10.3319%,10.4423%,11,止盈
30,000010,ST美丽,2024-11-13,3.052,2024-11-18,2.759,-9.6890%,-9.5986%,3,止损
31,000010,ST美丽,2025-07-18,3.252,2025-07-23,3.558,9.3196%,9.4290%,3,止盈
32,000010,ST美丽,2025-09-05,4.502,2025-09-22,4.638,2.9051%,3.0081%,11,到期
33,000011,深物业A,2022-04-12,10.772,2022-04-25,9.642,-10.5812%,-10.4917%,9,止损
34,000011,深物业A,2022-12-16,11.393,2022-12-21,10.382,-8.9642%,-8.8731%,3,止损
35,000011,深物业A,2023-09-04,10.443,2023-09-06,9.723,-6.9883%,-6.8952%,2,止损
36,000011,深物业A,2024-08-16,7.944,2024-08-21,7.286,-8.3699%,-8.2782%,3,止损
37,000012,南玻Ａ,2026-03-04,4.743,2026-03-19,4.689,-1.2523%,-1.1535%,11,到期
38,000014,沙河股份,2021-12-27,5.984,2022-01-11,6.603,10.2291%,10.3394%,10,止盈
39,000014,沙河股份,2022-09-22,9.169,2022-09-26,8.54,-6.9519%,-6.8588%,2,止损
40,000014,沙河股份,2022-12-05,10.069,2022-12-20,9.949,-1.2906%,-1.1919%,11,到期
41,000014,沙河股份,2025-09-30,18.879,2025-10-17,22.909,21.2199%,21.3412%,7,止盈
42,000014,沙河股份,2026-07-23,8.604,2026-07-29,9.705,12.6814%,12.7941%,4,止盈
43,000016,ST康佳A,2024-01-08,3.852,2024-01-19,3.538,-8.2357%,-8.1439%,9,止损
44,000016,ST康佳A,2024-08-30,2.711,2024-09-09,2.499,-7.9334%,-7.8413%,6,止损
45,000016,ST康佳A,2024-10-14,3.082,2024-10-21,3.778,22.4820%,22.6046%,5,止盈
46,000016,ST康佳A,2025-01-22,5.503,2025-01-24,4.878,-11.4500%,-11.3614%,2,止损
