日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10283123.78
2021-08-19,10116619.78
2021-08-20,10360664.53
2021-08-23,10416615.84
2021-08-24,10330374.1
2021-08-25,10424995.84
2021-08-26,10444997.53
2021-08-27,10718233.18
2021-08-30,10930735.69
2021-08-31,11247381.37
2021-09-01,10708797.86
2021-09-02,11069663.63
2021-09-03,10837887.39
2021-09-06,10710709.04
2021-09-07,10938667.88
2021-09-08,11108388.77
2021-09-09,11102704.98
2021-09-10,11127333.78
2021-09-13,11252949.95
2021-09-14,11125329.57
2021-09-15,11087441.1
2021-09-16,10698824.19
2021-09-17,10651906.84
2021-09-22,11061743.67
2021-09-23,10764196.9
2021-09-24,10502811.93
2021-09-27,10070833.62
2021-09-28,10143968.46
2021-09-29,9862538.06
2021-09-30,9994424.07
2021-10-08,9860116.51
2021-10-11,9703227.38
2021-10-12,9741238.08
2021-10-13,9461679.4
2021-10-14,9530852.83
2021-10-15,9410219.43
2021-10-18,9714889.5
2021-10-19,9750001.93
2021-10-20,9909607.31
2021-10-21,10021694.97
2021-10-22,9767254.92
2021-10-25,10039107.17
2021-10-26,9913144.3
2021-10-27,9960524.73
2021-10-28,9659439.91
2021-10-29,9661575.07
2021-11-01,9709609.84
2021-11-02,9430100.89
2021-11-03,9393988.79
2021-11-04,9764616.59
2021-11-05,9830174.66
2021-11-08,9865092.2
2021-11-09,9902064.4
2021-11-10,9969695.75
2021-11-11,9746137.45
2021-11-12,9881068.05
2021-11-15,9798479.64
2021-11-16,9574126.36
2021-11-17,9868601.13
2021-11-18,9911238.11
2021-11-19,9829820.67
2021-11-22,10062183.43
2021-11-23,10115930.67
2021-11-24,10195861.52
2021-11-25,10035714.8
2021-11-26,10162463.81
2021-11-29,10321488.71
2021-11-30,10329366.2
2021-12-01,10445920.41
2021-12-02,10253972.12
2021-12-03,10187913.05
2021-12-06,10006001.96
2021-12-07,9800865.54
2021-12-08,10060528.29
2021-12-09,9995678.81
2021-12-10,10102969.27
2021-12-13,10280195.56
2021-12-14,10380007.31
2021-12-15,10453977.31
2021-12-16,10639173.63
2021-12-17,10534225.29
2021-12-20,10555049.96
2021-12-21,10521130.96
2021-12-22,10377656.08
2021-12-23,9937002.82
2021-12-24,9848241.73
2021-12-27,10070508.36
2021-12-28,9904352.2
2021-12-29,9848695.81
2021-12-30,10156756.01
2021-12-31,10142696.59
2022-01-04,10359212.87
2022-01-05,9959215.42
2022-01-06,9883990.9
2022-01-07,9651386.85
2022-01-10,9754162.03
2022-01-11,9625460.7
2022-01-12,9778363.32
2022-01-13,9497519.96
2022-01-14,9666840.92
2022-01-17,9893071.57
2022-01-18,9501937.2
2022-01-19,9670887.71
2022-01-20,9653616.87
2022-01-21,9242941.21
2022-01-24,8964511.21
2022-01-25,8379329.46
2022-01-26,8149826.82
2022-01-27,7681115.75
2022-01-28,7518227.38
2022-02-07,7458966.38
2022-02-08,7490542.73
2022-02-09,7786839.47
2022-02-10,7899651.07
2022-02-11,7848636.05
2022-02-14,7699066.1
2022-02-15,7492296.87
2022-02-16,7851368.86
2022-02-17,7316199.79
2022-02-18,7164706.22
2022-02-21,7417222.43
2022-02-22,7358734.95
2022-02-23,7411900.95
2022-02-24,6877188.85
2022-02-25,6907470.9
2022-02-28,6878988.32
2022-03-01,6979920.5
2022-03-02,7036597.28
2022-03-03,7101244.0
2022-03-04,6775957.17
2022-03-07,6622890.11
2022-03-08,6203009.47
2022-03-09,6179833.91
2022-03-10,6142744.26
2022-03-11,6066880.51
2022-03-14,5878196.92
2022-03-15,5761831.28
2022-03-16,6126046.43
2022-03-17,6223142.81
2022-03-18,6147068.21
2022-03-21,6357328.88
2022-03-22,6143206.46
2022-03-23,5902970.51
2022-03-24,5868197.28
2022-03-25,5791828.79
2022-03-28,5632350.13
2022-03-29,5643332.27
2022-03-30,5852071.98
2022-03-31,5689128.61
2022-04-01,5659677.2
2022-04-06,5643329.33
2022-04-07,5499652.76
2022-04-08,5465759.43
2022-04-11,5395299.6
2022-04-12,5216989.9
2022-04-13,4941971.36
2022-04-14,4940244.4
2022-04-15,4692582.84
2022-04-18,4512751.48
2022-04-19,4413990.38
2022-04-20,4275739.07
2022-04-21,4212135.8
2022-04-22,3943518.86
2022-04-25,3891358.82
2022-04-26,3750020.45
2022-04-27,3804485.57
2022-04-28,3893128.09
2022-04-29,4049088.26
2022-05-05,4106290.76
2022-05-06,4099382.04
2022-05-09,4238770.56
2022-05-10,4522373.87
2022-05-11,4654384.61
2022-05-12,4523484.47
2022-05-13,4383877.53
2022-05-16,4355616.7
2022-05-17,4153757.36
2022-05-18,4050169.78
2022-05-19,4064965.76
2022-05-20,4182301.27
2022-05-23,4383785.16
2022-05-24,4227496.4
2022-05-25,4209964.61
2022-05-26,4210870.57
2022-05-27,4369789.49
2022-05-30,4432002.21
2022-05-31,4339158.45
2022-06-01,4379939.69
2022-06-02,4290113.03
2022-06-06,4311762.11
2022-06-07,4221846.08
2022-06-08,4273571.29
2022-06-09,4227026.07
2022-06-10,4274079.75
2022-06-13,4319169.89
2022-06-14,4429732.3
2022-06-15,4496330.88
2022-06-16,4632432.44
2022-06-17,4742881.77
2022-06-20,4751541.31
2022-06-21,4700673.31
2022-06-22,4645465.71
2022-06-23,4646053.05
2022-06-24,4783624.03
2022-06-27,4848420.83
2022-06-28,5040249.84
2022-06-29,4734516.61
2022-06-30,4720901.25
2022-07-01,4594385.22
2022-07-04,4589599.12
2022-07-05,4521563.67
2022-07-06,4486689.72
2022-07-07,4749900.85
2022-07-08,4597725.36
2022-07-11,4535572.06
2022-07-12,4547982.66
2022-07-13,4528430.77
2022-07-14,4526730.54
2022-07-15,4535962.08
2022-07-18,4745613.07
2022-07-19,4647589.95
2022-07-20,4641093.1
