序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000751,锌业股份,2021-08-18,4.092,2021-08-24,4.508,122100,10.0486%,50231.95,4,止盈
2,002270,华明装备,2021-08-18,3.449,2021-08-20,3.765,144900,9.0651%,45322.70,2,止盈
3,002300,太阳电缆,2021-08-18,5.845,2021-08-20,6.13,85500,4.7714%,23856.64,2,止盈
4,002599,盛通股份,2021-08-18,6.253,2021-08-20,7.546,79900,20.5586%,102767.41,2,止盈
5,002882,金龙羽,2021-08-18,11.606,2021-08-20,12.334,43000,6.1668%,30790.59,2,止盈
6,002941,新疆交建,2021-08-18,11.776,2021-08-24,10.685,42400,-9.3573%,-46744.32,4,止损
7,300159,新研股份,2021-08-18,5.84,2021-08-20,6.7,85600,14.6069%,73056.19,2,止盈
8,300270,中威电子,2021-08-18,7.003,2021-08-20,6.147,71300,-12.3184%,-61542.61,2,止损
9,300284,苏交科,2021-08-18,6.72,2021-08-25,6.284,74400,-6.5887%,-32959.51,5,止损
10,300313,天山生物,2021-08-18,8.204,2021-08-23,9.535,60900,16.1090%,80525.65,3,止盈
11,300320,海达股份,2021-08-18,8.886,2021-08-24,10.237,56200,15.0815%,75357.25,4,止盈
12,300329,海伦钢琴,2021-08-18,12.194,2021-08-20,13.171,41000,7.9067%,39550.00,2,止盈
13,300435,中泰股份,2021-08-18,19.841,2021-08-24,22.72,25200,14.3946%,72007.46,4,止盈
14,600331,宏达股份,2021-08-18,3.492,2021-08-23,3.338,143100,-4.4892%,-22442.38,3,止损
15,603227,雪峰科技,2021-08-18,5.423,2021-08-26,5.377,92200,-0.9363%,-4683.76,6,到期
16,603759,海天股份,2021-08-18,14.01,2021-08-20,12.564,35600,-10.4129%,-51960.81,2,止损
17,000762,西藏矿业,2021-08-19,56.997,2021-08-23,60.339,8700,5.7564%,28559.17,2,止盈
18,300821,东岳硅材,2021-08-19,21.036,2021-08-23,22.594,23700,7.3000%,36411.98,2,止盈
19,600875,东方电气,2021-08-19,14.034,2021-08-27,13.54,35600,-3.6149%,-18069.64,6,到期
20,600906,财达证券,2021-08-19,14.797,2021-08-24,13.823,33700,-6.6777%,-33316.50,3,止损
21,002149,西部材料,2021-08-20,20.72,2021-08-30,21.449,24100,3.4144%,17058.71,6,到期
22,002155,湖南黄金,2021-08-20,9.305,2021-08-24,10.372,53700,11.3577%,56778.26,2,止盈
23,002326,永太科技,2021-08-20,39.19,2021-08-25,42.939,12700,9.4566%,47089.96,3,止盈
