日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.056268,
2021-08-19,1.037217,
2021-08-20,1.041575,
2021-08-23,1.059681,
2021-08-24,1.048895,
2021-08-25,1.058562,
2021-08-26,1.060436,
2021-08-27,1.068982,
2021-08-30,1.082151,
2021-08-31,1.089315,
2021-09-01,1.054503,
2021-09-02,1.074246,
2021-09-03,1.054245,
2021-09-06,1.054336,
2021-09-07,1.057991,
2021-09-08,1.064929,
2021-09-09,1.062493,
2021-09-10,1.060761,
2021-09-13,1.080254,
2021-09-14,1.068569,
2021-09-15,1.078629,
2021-09-16,1.063936,
2021-09-17,1.061957,
2021-09-22,1.072894,
2021-09-23,1.063071,
2021-09-24,1.037601,
2021-09-27,1.020932,
2021-09-28,1.020966,
2021-09-29,0.987821,
2021-09-30,1.011654,
2021-10-08,1.006458,
2021-10-11,0.998954,
2021-10-12,0.986458,
2021-10-13,0.971064,
2021-10-14,0.974271,
2021-10-15,0.963395,
2021-10-18,0.981003,
2021-10-19,0.986598,
2021-10-20,0.990691,
2021-10-21,0.995845,
2021-10-22,0.979903,
2021-10-25,0.988194,
2021-10-26,0.972991,
2021-10-27,0.971829,
2021-10-28,0.952982,
2021-10-29,0.961906,
2021-11-01,0.974770,
2021-11-02,0.958155,
2021-11-03,0.962150,
2021-11-04,0.983282,
2021-11-05,0.981077,
2021-11-08,0.983569,
2021-11-09,0.989389,
2021-11-10,0.995560,
2021-11-11,0.997377,
2021-11-12,1.010761,
2021-11-15,1.012762,
2021-11-16,1.003127,
2021-11-17,1.020120,
2021-11-18,1.012234,
2021-11-19,1.016193,
2021-11-22,1.028913,
2021-11-23,1.036223,
2021-11-24,1.036628,
2021-11-25,1.025463,
2021-11-26,1.027974,
2021-11-29,1.033874,
2021-11-30,1.037307,
2021-12-01,1.036139,
2021-12-02,1.014630,
2021-12-03,1.005679,
2021-12-06,0.989919,
2021-12-07,0.987537,
2021-12-08,0.991066,
2021-12-09,0.987305,
2021-12-10,0.987831,
2021-12-13,0.991875,
2021-12-14,0.995811,
2021-12-15,0.990364,
2021-12-16,1.004386,
2021-12-17,0.999481,
2021-12-20,0.994607,
2021-12-21,1.002211,
2021-12-22,0.989880,
2021-12-23,0.978387,
2021-12-24,0.967484,
2021-12-27,0.970852,
2021-12-28,0.959063,
2021-12-29,0.966582,
2021-12-30,0.980007,
2021-12-31,0.980387,
2022-01-04,0.996163,
2022-01-05,0.982376,
2022-01-06,0.984820,
2022-01-07,0.955848,
2022-01-10,0.953421,
2022-01-11,0.945264,
2022-01-12,0.951889,
2022-01-13,0.954539,
2022-01-14,0.960494,
2022-01-17,0.979663,
2022-01-18,0.940132,
2022-01-19,0.937726,
2022-01-20,0.924439,
2022-01-21,0.903854,
2022-01-24,0.884644,
2022-01-25,0.849024,
2022-01-26,0.831859,
2022-01-27,0.785617,
2022-01-28,0.781162,
2022-02-07,0.788603,
2022-02-08,0.799987,
2022-02-09,0.816059,
2022-02-10,0.826674,
2022-02-11,0.825243,
2022-02-14,0.826498,
2022-02-15,0.814333,
2022-02-16,0.822872,
2022-02-17,0.806910,
2022-02-18,0.803038,
2022-02-21,0.818645,
2022-02-22,0.819139,
2022-02-23,0.826860,
2022-02-24,0.804032,
2022-02-25,0.804143,
2022-02-28,0.794730,
2022-03-01,0.800582,
2022-03-02,0.806789,
2022-03-03,0.811638,
2022-03-04,0.791624,
2022-03-07,0.791864,
2022-03-08,0.763075,
2022-03-09,0.760477,
2022-03-10,0.762375,
2022-03-11,0.764790,
2022-03-14,0.745656,
2022-03-15,0.732316,
2022-03-16,0.750639,
2022-03-17,0.754806,
2022-03-18,0.760281,
2022-03-21,0.778404,
2022-03-22,0.767044,
2022-03-23,0.762195,
2022-03-24,0.751242,
2022-03-25,0.748160,
2022-03-28,0.740310,
2022-03-29,0.739083,
2022-03-30,0.743654,
2022-03-31,0.740056,
2022-04-01,0.731236,
2022-04-06,0.734973,
2022-04-07,0.711139,
2022-04-08,0.705672,
2022-04-11,0.692604,
2022-04-12,0.691323,
2022-04-13,0.675246,
2022-04-14,0.675638,
2022-04-15,0.657737,
2022-04-18,0.649332,
2022-04-19,0.644384,
2022-04-20,0.641070,
2022-04-21,0.623922,
2022-04-22,0.608704,
2022-04-25,0.574194,
2022-04-26,0.553422,
2022-04-27,0.546374,
2022-04-28,0.547735,
2022-04-29,0.564301,
2022-05-05,0.573413,
2022-05-06,0.569306,
2022-05-09,0.580505,
2022-05-10,0.594352,
2022-05-11,0.590514,
2022-05-12,0.590170,
2022-05-13,0.588628,
2022-05-16,0.585782,
2022-05-17,0.575782,
2022-05-18,0.575101,
2022-05-19,0.575855,
2022-05-20,0.577560,
2022-05-23,0.579985,
2022-05-24,0.555190,
2022-05-25,0.556643,
2022-05-26,0.548849,
2022-05-27,0.549345,
2022-05-30,0.550377,
2022-05-31,0.548986,
2022-06-01,0.546069,
2022-06-02,0.540636,
2022-06-06,0.539685,
2022-06-07,0.535664,
2022-06-08,0.534707,
2022-06-09,0.522843,
2022-06-10,0.529869,
2022-06-13,0.532268,
2022-06-14,0.534878,
2022-06-15,0.526786,
2022-06-16,0.528267,
2022-06-17,0.526492,
2022-06-20,0.531789,
2022-06-21,0.527801,
2022-06-22,0.527265,
2022-06-23,0.534977,
2022-06-24,0.537032,
2022-06-27,0.540582,
2022-06-28,0.548613,
2022-06-29,0.528144,
2022-06-30,0.529961,
2022-07-01,0.521273,
2022-07-04,0.519118,
2022-07-05,0.513907,
2022-07-06,0.509256,
2022-07-07,0.513609,
2022-07-08,0.507620,
2022-07-11,0.507501,
2022-07-12,0.499917,
2022-07-13,0.505259,
2022-07-14,0.502701,
2022-07-15,0.497823,
2022-07-18,0.506515,
2022-07-19,0.506372,
2022-07-20,0.508986,
2022-07-21,0.507634,
2022-07-22,0.504148,
2022-07-25,0.494716,
2022-07-26,0.497840,
2022-07-27,0.502889,
2022-07-28,0.507343,
2022-07-29,0.502338,
2022-08-01,0.505053,
2022-08-02,0.493552,
2022-08-03,0.486123,
2022-08-04,0.482983,
2022-08-05,0.477457,
2022-08-08,0.482977,
2022-08-09,0.486018,
2022-08-10,0.489029,
2022-08-11,0.489225,
2022-08-12,0.486076,
2022-08-15,0.488614,
2022-08-16,0.494537,
2022-08-17,0.493714,
2022-08-18,0.498156,
2022-08-19,0.489242,
2022-08-22,0.487681,
2022-08-23,0.490523,
2022-08-24,0.481555,
2022-08-25,0.474396,
2022-08-26,0.466465,
2022-08-29,0.464219,
2022-08-30,0.455747,
2022-08-31,0.449339,
2022-09-01,0.444850,
2022-09-02,0.443298,
2022-09-05,0.441365,
2022-09-06,0.443738,
2022-09-07,0.442548,
2022-09-08,0.435723,
2022-09-09,0.428632,
2022-09-13,0.425564,
2022-09-14,0.422984,
2022-09-15,0.418220,
2022-09-16,0.407301,
2022-09-19,0.405366,
2022-09-20,0.408139,
2022-09-21,0.403680,
2022-09-22,0.398690,
2022-09-23,0.393285,
2022-09-26,0.391172,
2022-09-27,0.395381,
2022-09-28,0.387110,
2022-09-29,0.379980,
2022-09-30,0.374235,
2022-10-10,0.374155,
2022-10-11,0.373858,
2022-10-12,0.385071,
2022-10-13,0.391243,
2022-10-14,0.394507,
2022-10-17,0.402831,
2022-10-18,0.402876,
2022-10-19,0.401197,
2022-10-20,0.398289,
2022-10-21,0.398763,
2022-10-24,0.393251,
2022-10-25,0.390053,
2022-10-26,0.392425,
2022-10-27,0.389669,
2022-10-28,0.376250,
2022-10-31,0.381365,
2022-11-01,0.384376,
2022-11-02,0.389334,
