序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1,000002,万科Ａ,2024-04-30,7.704,2024-05-09,7.236,-6.1619%,-6.0680%,4,止损
2,000002,万科Ａ,2024-05-20,9.005,2024-05-28,8.956,-0.6434%,-0.5440%,6,到期
3,000002,万科Ａ,2024-09-27,8.524,2024-10-08,10.685,25.2188%,25.3441%,2,止盈
4,000002,万科Ａ,2025-12-11,5.183,2025-12-16,4.878,-5.9798%,-5.8857%,3,止损
5,000004,国华退,2021-09-15,19.93,2021-09-27,20.45,2.5056%,2.6082%,6,到期
6,000004,国华退,2021-11-16,19.51,2021-11-24,18.791,-3.7824%,-3.6861%,6,到期
7,000004,国华退,2022-01-06,22.111,2022-01-14,21.369,-3.4512%,-3.3546%,6,到期
8,000004,国华退,2022-03-23,20.99,2022-03-28,19.74,-6.0508%,-5.9568%,3,止损
9,000004,国华退,2023-07-06,16.708,2023-07-11,14.813,-11.4348%,-11.3462%,3,止损
10,000004,国华退,2023-07-12,16.828,2023-07-18,22.039,30.8320%,30.9629%,4,止盈
11,000004,国华退,2023-07-27,19.23,2023-08-01,18.091,-6.0154%,-5.9214%,3,止损
12,000004,国华退,2023-08-02,19.41,2023-08-08,20.86,7.3624%,7.4698%,4,止盈
13,000004,国华退,2023-09-21,16.918,2023-10-09,16.032,-5.3344%,-5.2397%,6,止损
14,000004,国华退,2023-10-11,18.239,2023-10-13,17.091,-6.3860%,-6.2923%,2,止损
15,000004,国华退,2023-11-10,18.309,2023-11-20,19.12,4.3266%,4.4310%,6,到期
16,000004,国华退,2024-02-28,14.007,2024-03-01,12.754,-9.0393%,-8.9482%,2,止损
17,000004,国华退,2024-03-07,13.447,2024-03-15,15.492,15.0969%,15.2121%,6,止盈
18,000004,国华退,2024-05-08,11.436,2024-05-14,10.545,-7.8835%,-7.7913%,4,止损
19,000004,国华退,2024-05-15,11.506,2024-05-23,11.544,0.2341%,0.3344%,6,到期
20,000004,国华退,2024-06-19,10.305,2024-06-25,9.755,-5.4321%,-5.3374%,4,止损
21,000004,国华退,2024-06-28,10.505,2024-07-08,10.295,-2.1008%,-2.0028%,6,到期
22,000004,国华退,2024-07-16,11.156,2024-07-18,10.395,-6.9128%,-6.8197%,2,止损
23,000004,国华退,2024-07-23,12.556,2024-07-26,11.514,-8.3906%,-8.2989%,3,止损
24,000004,国华退,2024-08-26,11.576,2024-09-03,11.594,0.0589%,0.1591%,6,到期
25,000004,国华退,2024-09-19,13.247,2024-09-24,16.652,25.5794%,25.7050%,3,止盈
26,000004,国华退,2024-10-08,17.939,2024-10-10,15.592,-13.1688%,-13.0819%,2,止损
27,000004,国华退,2024-10-14,17.129,2024-10-18,21.159,23.4094%,23.5329%,4,止盈
28,000004,国华退,2024-10-21,20.68,2024-10-23,22.199,7.2357%,7.3430%,2,止盈
29,000004,国华退,2024-12-13,20.04,2024-12-18,18.361,-8.4708%,-8.3792%,3,止损
30,000004,国华退,2024-12-20,19.63,2024-12-24,16.242,-17.3419%,-17.2591%,2,止损
31,000004,国华退,2025-02-06,11.626,2025-02-10,12.944,11.2231%,11.3344%,2,止盈
32,000004,国华退,2025-02-11,14.257,2025-02-19,13.223,-7.3434%,-7.2507%,6,止损
33,000004,国华退,2025-04-16,10.155,2025-04-22,9.225,-9.2458%,-9.1549%,4,止损
34,000004,国华退,2026-06-30,0.3,2026-07-02,0.36,19.7602%,19.8801%,2,止盈
35,000004,国华退,2026-07-03,0.4,2026-07-09,0.39,-2.6948%,-2.5975%,4,止损
36,000006,深振业Ａ,2022-03-31,5.058,2022-04-12,4.763,-5.9253%,-5.8311%,6,止损
37,000006,深振业Ａ,2022-11-30,5.429,2022-12-02,6.963,28.1253%,28.2535%,2,止盈
38,000006,深振业Ａ,2022-12-20,5.809,2022-12-22,5.753,-1.0593%,-0.9603%,2,止损
39,000006,深振业Ａ,2022-12-28,6.379,2022-12-30,6.193,-3.0173%,-2.9202%,2,止损
40,000006,深振业Ａ,2023-08-14,5.403,2023-08-17,5.637,4.2357%,4.3401%,3,止盈
41,000006,深振业Ａ,2024-09-30,5.493,2024-10-10,4.888,-11.1069%,-11.0180%,3,止损
42,000006,深振业Ａ,2024-10-22,6.883,2024-10-28,8.786,27.5063%,27.6339%,4,止盈
43,000006,深振业Ａ,2024-11-01,10.005,2024-11-05,8.416,-15.9683%,-15.8842%,2,止损
44,000006,深振业Ａ,2024-11-08,9.385,2024-11-15,8.666,-7.7540%,-7.6617%,5,止损
45,000006,深振业Ａ,2024-11-29,8.604,2024-12-09,9.395,9.0839%,9.1931%,6,止盈
46,000006,深振业Ａ,2025-03-28,7.584,2025-04-03,7.046,-7.1779%,-7.0850%,4,止损
