日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10706809.1
2021-08-19,10445859.1
2021-08-20,10497639.48
2021-08-23,10741482.99
2021-08-24,10621660.99
2021-08-25,10538222.09
2021-08-26,10561248.49
2021-08-27,10741785.64
2021-08-30,11029584.54
2021-08-31,11309726.32
2021-09-01,10762376.41
2021-09-02,11207651.54
2021-09-03,10970621.67
2021-09-06,10797990.48
2021-09-07,11019436.78
2021-09-08,11137090.39
2021-09-09,11040325.97
2021-09-10,11197157.15
2021-09-13,11387238.09
2021-09-14,11355673.0
2021-09-15,11410417.25
2021-09-16,10944288.67
2021-09-17,10898745.2
2021-09-22,11221575.49
2021-09-23,10914390.84
2021-09-24,10434457.19
2021-09-27,9993006.18
2021-09-28,10019002.04
2021-09-29,9691038.37
2021-09-30,9998529.65
2021-10-08,9943943.36
2021-10-11,9538583.6
2021-10-12,9206570.66
2021-10-13,9068460.91
2021-10-14,8946038.43
2021-10-15,8930117.5
2021-10-18,9011997.95
2021-10-19,9096468.63
2021-10-20,9445615.06
2021-10-21,9498082.2
2021-10-22,9293267.36
2021-10-25,9384560.09
2021-10-26,9355151.57
2021-10-27,9430192.02
2021-10-28,9242406.8
2021-10-29,9225652.06
2021-11-01,9381526.81
2021-11-02,9068601.01
2021-11-03,8964240.38
2021-11-04,9231704.89
2021-11-05,9220773.25
2021-11-08,9228401.87
2021-11-09,9192675.09
2021-11-10,9199093.42
2021-11-11,9380151.37
2021-11-12,9707886.98
2021-11-15,9677016.05
2021-11-16,9632502.1
2021-11-17,9543867.41
2021-11-18,9399719.16
2021-11-19,9503728.89
2021-11-22,9879001.21
2021-11-23,9769375.37
2021-11-24,9698660.38
2021-11-25,9599175.56
2021-11-26,9686633.0
2021-11-29,9805854.0
2021-11-30,9754665.8
2021-12-01,9757513.1
2021-12-02,9661486.47
2021-12-03,9526753.87
2021-12-06,9236056.69
2021-12-07,8950253.43
2021-12-08,9342661.59
2021-12-09,9416619.62
2021-12-10,9346512.02
2021-12-13,9479831.17
2021-12-14,9500271.49
2021-12-15,9431781.91
2021-12-16,9462071.51
2021-12-17,9344463.53
2021-12-20,9342131.98
2021-12-21,9285228.35
2021-12-22,9338468.87
2021-12-23,9254128.83
2021-12-24,9111849.61
2021-12-27,9069588.68
2021-12-28,8912576.79
2021-12-29,8575235.37
2021-12-30,8622163.24
2021-12-31,8801021.28
2022-01-04,8837835.51
2022-01-05,8510593.23
2022-01-06,8378191.56
2022-01-07,7975681.34
2022-01-10,7887451.33
2022-01-11,7875321.19
2022-01-12,8003034.42
2022-01-13,7853297.81
2022-01-14,8310766.81
2022-01-17,8543483.63
2022-01-18,8395076.34
2022-01-19,8467058.95
2022-01-20,8393110.77
2022-01-21,7927269.57
2022-01-24,7891512.89
2022-01-25,7431293.52
2022-01-26,7274368.19
2022-01-27,6856724.66
2022-01-28,6679779.74
2022-02-07,6737320.13
2022-02-08,6960911.1
2022-02-09,7274396.64
2022-02-10,7346159.78
2022-02-11,7248428.64
2022-02-14,7234542.64
2022-02-15,7242752.23
2022-02-16,7402287.88
2022-02-17,7196884.72
2022-02-18,7191834.8
2022-02-21,7374263.89
2022-02-22,7472916.0
2022-02-23,7620659.89
2022-02-24,7241493.21
2022-02-25,7286683.07
2022-02-28,7175355.63
2022-03-01,7168656.25
2022-03-02,7182056.33
2022-03-03,7202441.59
2022-03-04,6906974.18
2022-03-07,6938431.03
2022-03-08,6638611.98
2022-03-09,6645987.02
2022-03-10,6494041.3
2022-03-11,6515480.53
2022-03-14,6395485.84
2022-03-15,6257774.21
2022-03-16,6426037.47
2022-03-17,6562437.16
2022-03-18,6615444.79
2022-03-21,6900116.55
2022-03-22,6720393.68
2022-03-23,6659311.3
2022-03-24,6797721.6
2022-03-25,6706903.6
2022-03-28,6456940.81
2022-03-29,6419082.17
2022-03-30,6433462.74
2022-03-31,6340336.47
2022-04-01,6174152.61
2022-04-06,6242168.14
2022-04-07,6152351.99
2022-04-08,6048944.07
2022-04-11,5978590.27
2022-04-12,5735874.0
2022-04-13,5305320.73
2022-04-14,5461420.92
2022-04-15,5423774.94
2022-04-18,5505133.33
2022-04-19,5406542.66
2022-04-20,5158352.11
2022-04-21,4811048.49
2022-04-22,4505148.66
2022-04-25,4354935.99
2022-04-26,4172112.05
2022-04-27,4218233.22
2022-04-28,4493145.64
2022-04-29,4561451.55
2022-05-05,4601076.49
2022-05-06,4488891.27
2022-05-09,4653302.88
2022-05-10,4902571.6
2022-05-11,5096709.67
2022-05-12,4943318.4
2022-05-13,4886825.24
2022-05-16,4920760.16
2022-05-17,4741948.04
2022-05-18,4668910.49
2022-05-19,4716657.33
2022-05-20,4838475.53
2022-05-23,4917038.84
2022-05-24,4644149.97
2022-05-25,4715883.22
2022-05-26,4770406.25
2022-05-27,4899644.15
2022-05-30,4964313.96
2022-05-31,5056765.85
2022-06-01,5071557.12
2022-06-02,5025735.39
2022-06-06,5082293.07
2022-06-07,5168680.67
2022-06-08,5156066.81
2022-06-09,5081663.73
2022-06-10,5203847.58
2022-06-13,5238138.58
2022-06-14,5229799.09
2022-06-15,5111198.27
2022-06-16,5063499.86
2022-06-17,5125144.01
2022-06-20,5183888.1
2022-06-21,5041435.02
2022-06-22,5116696.68
2022-06-23,5222047.46
2022-06-24,5271325.93
2022-06-27,5450056.81
2022-06-28,5503163.83
2022-06-29,5275170.75
2022-06-30,5387256.84
2022-07-01,5327082.47
2022-07-04,5347783.16
2022-07-05,5298311.37
2022-07-06,5197021.55
2022-07-07,5289005.64
2022-07-08,5155915.66
2022-07-11,5012614.49
2022-07-12,4932873.48
2022-07-13,4841133.62
2022-07-14,4784372.32
2022-07-15,4854249.68
2022-07-18,5129259.04
2022-07-19,5122360.62
2022-07-20,5169143.24
2022-07-21,5303962.49
2022-07-22,5411952.31
2022-07-25,5232013.99
2022-07-26,5102810.99
2022-07-27,5308579.12
2022-07-28,5442000.49
2022-07-29,5377464.4
2022-08-01,5392579.49
2022-08-02,5145540.07
2022-08-03,4975955.41
2022-08-04,4896610.61
