序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000697,炼石航空,2021-08-18,9.633,2021-08-30,8.707,51900,-9.7051%,-48544.11,8,止损
2,000762,西藏矿业,2021-08-18,52.295,2021-08-20,58.84,9500,12.4020%,61644.20,2,止盈
3,000831,中国稀土,2021-08-18,45.074,2021-08-23,51.725,11000,14.6425%,72635.20,3,止盈
4,002599,盛通股份,2021-08-18,6.253,2021-08-20,7.546,79900,20.5586%,102767.41,2,止盈
5,002882,金龙羽,2021-08-18,11.606,2021-08-20,12.334,43000,6.1668%,30790.59,2,止盈
6,300065,海兰信,2021-08-18,9.805,2021-08-24,10.405,50900,6.0123%,30020.32,4,止盈
7,300152,ST动力,2021-08-18,5.043,2021-08-27,4.728,99100,-6.3383%,-31689.21,7,止损
8,300159,新研股份,2021-08-18,5.84,2021-08-20,6.7,85600,14.6069%,73056.19,2,止盈
9,300284,苏交科,2021-08-18,6.72,2021-08-25,6.284,74400,-6.5887%,-32959.51,5,止损
10,300311,任子行,2021-08-18,9.295,2021-08-30,8.746,53700,-6.0009%,-29966.76,8,止损
11,300320,海达股份,2021-08-18,8.886,2021-08-24,10.237,56200,15.0815%,75357.25,4,止盈
12,300329,海伦钢琴,2021-08-18,12.194,2021-08-20,13.171,41000,7.9067%,39550.00,2,止盈
13,300334,津膜科技,2021-08-18,9.755,2021-08-20,10.865,51200,11.2644%,56288.27,2,止盈
14,300435,中泰股份,2021-08-18,19.841,2021-08-24,22.72,25200,14.3946%,72007.46,4,止盈
15,300540,蜀道装备,2021-08-18,22.782,2021-08-23,20.761,21900,-8.9654%,-44753.58,3,止损
16,300618,寒锐钴业,2021-08-18,92.046,2021-09-02,85.447,5400,-7.2617%,-36112.45,11,到期
17,300891,惠云钛业,2021-08-18,19.99,2021-08-31,21.829,25000,9.0909%,45454.51,9,止盈
18,600331,宏达股份,2021-08-18,3.492,2021-08-30,3.778,143100,8.0931%,40458.67,8,止盈
19,601606,长城军工,2021-08-18,13.484,2021-09-01,12.501,37000,-7.3829%,-36851.42,10,止损
20,603777,来伊份,2021-08-18,14.465,2021-08-23,13.091,34500,-9.5876%,-47870.69,3,止损
21,000829,天音控股,2021-08-20,18.111,2021-08-24,17.063,27600,-5.8784%,-29398.81,2,止损
22,002149,西部材料,2021-08-20,20.72,2021-08-31,22.839,24100,10.1127%,50524.22,7,止盈
23,002326,永太科技,2021-08-20,39.19,2021-08-25,42.939,12700,9.4566%,47089.96,3,止盈
24,002610,ST爱康,2021-08-20,2.841,2021-08-24,3.588,175900,26.1559%,130794.00,2,止盈
25,600338,西藏珠峰,2021-08-20,39.495,2021-08-31,43.323,12600,9.5843%,47718.48,7,止盈
26,600773,西藏城投,2021-08-20,26.089,2021-08-25,28.972,19100,10.9376%,54529.33,3,止盈
27,002939,长城证券,2021-08-23,12.725,2021-08-25,11.363,39200,-10.7926%,-53864.26,2,止损
28,300296,利亚德,2021-08-23,10.506,2021-08-27,9.816,47500,-6.6624%,-33265.30,4,止损
29,600875,东方电气,2021-08-23,14.834,2021-08-25,13.47,33700,-9.2866%,-46448.86,2,止损
30,002176,江特电机,2021-08-24,24.002,2021-09-08,23.238,20800,-3.2783%,-16374.60,11,到期
31,002497,雅化集团,2021-08-24,30.386,2021-09-07,34.374,16400,13.0101%,64865.92,10,止盈
32,300343,联创股份,2021-08-24,19.51,2021-08-30,18.141,25600,-7.1090%,-35523.85,4,止损
33,600392,盛和资源,2021-08-24,23.892,2021-09-01,27.456,20900,14.8037%,73957.80,6,止盈
34,600499,科达制造,2021-08-24,18.901,2021-08-27,17.353,26400,-8.2823%,-41349.12,3,止损
35,000519,中兵红箭,2021-08-25,17.504,2021-08-30,19.535,28500,11.4944%,57369.37,3,止盈
36,002079,苏州固锝,2021-08-25,15.411,2021-09-06,17.434,32400,13.0179%,65031.81,8,止盈
37,002407,多氟多,2021-08-25,38.734,2021-08-27,37.13,12900,-4.2367%,-21180.05,2,止损
38,002506,协鑫集成,2021-08-25,5.553,2021-09-02,5.017,90000,-9.7303%,-48651.31,6,止损
39,600010,包钢股份,2021-08-25,3.031,2021-08-31,3.347,164900,10.3436%,51716.28,4,止盈
40,000723,美锦能源,2021-08-27,13.807,2021-09-06,12.484,36200,-9.6736%,-48373.71,6,止损
41,002256,兆新股份,2021-08-27,5.333,2021-08-31,6.377,93700,19.4607%,97287.80,2,止盈
42,002610,ST爱康,2021-08-27,3.702,2021-08-31,4.448,135000,20.0300%,100149.78,2,止盈
43,300083,创世纪,2021-08-27,14.047,2021-08-31,15.292,35500,8.7566%,43688.44,2,止盈
