日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.058291,
2021-08-19,1.040953,
2021-08-20,1.050770,
2021-08-23,1.067780,
2021-08-24,1.058172,
2021-08-25,1.068328,
2021-08-26,1.068905,
2021-08-27,1.077554,
2021-08-30,1.090101,
2021-08-31,1.092384,
2021-09-01,1.056192,
2021-09-02,1.077123,
2021-09-03,1.055228,
2021-09-06,1.051116,
2021-09-07,1.065785,
2021-09-08,1.072664,
2021-09-09,1.071356,
2021-09-10,1.062113,
2021-09-13,1.079874,
2021-09-14,1.071741,
2021-09-15,1.088567,
2021-09-16,1.074534,
2021-09-17,1.065859,
2021-09-22,1.073007,
2021-09-23,1.062777,
2021-09-24,1.034525,
2021-09-27,1.014645,
2021-09-28,1.011923,
2021-09-29,0.982965,
2021-09-30,1.001277,
2021-10-08,1.004298,
2021-10-11,0.975770,
2021-10-12,0.969722,
2021-10-13,0.951079,
2021-10-14,0.944190,
2021-10-15,0.932339,
2021-10-18,0.945020,
2021-10-19,0.948079,
2021-10-20,0.958963,
2021-10-21,0.962729,
2021-10-22,0.946250,
2021-10-25,0.963797,
2021-10-26,0.957793,
2021-10-27,0.953542,
2021-10-28,0.927222,
2021-10-29,0.939582,
2021-11-01,0.959539,
2021-11-02,0.938539,
2021-11-03,0.937059,
2021-11-04,0.959797,
2021-11-05,0.959971,
2021-11-08,0.967788,
2021-11-09,0.972167,
2021-11-10,0.980359,
2021-11-11,0.985969,
2021-11-12,1.000321,
2021-11-15,1.004034,
2021-11-16,0.994835,
2021-11-17,1.010606,
2021-11-18,0.996769,
2021-11-19,1.004672,
2021-11-22,1.020175,
2021-11-23,1.021473,
2021-11-24,1.024779,
2021-11-25,1.021088,
2021-11-26,1.023790,
2021-11-29,1.031818,
2021-11-30,1.037836,
2021-12-01,1.048500,
2021-12-02,1.026331,
2021-12-03,1.019966,
2021-12-06,1.003508,
2021-12-07,0.993827,
2021-12-08,1.005204,
2021-12-09,1.002013,
2021-12-10,0.999570,
2021-12-13,1.006083,
2021-12-14,1.008914,
2021-12-15,1.008126,
2021-12-16,1.018588,
2021-12-17,1.013682,
2021-12-20,1.006717,
2021-12-21,1.012973,
2021-12-22,1.009303,
2021-12-23,1.001821,
2021-12-24,0.981946,
2021-12-27,0.985030,
2021-12-28,0.978092,
2021-12-29,0.981278,
2021-12-30,0.997321,
