日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10301628.07
2021-08-19,10160325.17
2021-08-20,10123927.58
2021-08-23,10222654.14
2021-08-24,10446212.23
2021-08-25,10439815.0
2021-08-26,10398852.46
2021-08-27,10666495.8
2021-08-30,10669258.89
2021-08-31,10846880.79
2021-09-01,10799403.59
2021-09-02,11076623.33
2021-09-03,10685180.3
2021-09-06,10617158.44
2021-09-07,10867368.33
2021-09-08,10703532.03
2021-09-09,10791503.63
2021-09-10,10824667.66
2021-09-13,10972928.57
2021-09-14,10767612.08
2021-09-15,10618521.78
2021-09-16,10334707.76
2021-09-17,10419321.58
2021-09-22,10541252.35
2021-09-23,10416146.09
2021-09-24,10337606.25
2021-09-27,10337550.7
2021-09-28,10359808.78
2021-09-29,10154666.5
2021-09-30,10312827.73
2021-10-08,10520034.93
2021-10-11,10362703.03
2021-10-12,10336126.09
2021-10-13,10518112.23
2021-10-14,10357327.34
2021-10-15,10361573.77
2021-10-18,10070910.32
2021-10-19,10106219.15
2021-10-20,10087961.95
2021-10-21,10139201.07
2021-10-22,10279958.74
2021-10-25,10363800.04
2021-10-26,10315481.34
2021-10-27,10230848.64
2021-10-28,10164686.59
2021-10-29,10358526.53
2021-11-01,10348944.98
2021-11-02,10316524.58
2021-11-03,10037118.01
2021-11-04,10198479.27
2021-11-05,10100936.11
2021-11-08,10221728.32
2021-11-09,10229317.57
2021-11-10,10060310.03
2021-11-11,10188413.0
2021-11-12,10182275.63
2021-11-15,9983206.29
2021-11-16,9846499.05
2021-11-17,9787967.27
2021-11-18,9641918.42
2021-11-19,9800358.22
2021-11-22,9842851.38
2021-11-23,9807604.59
2021-11-24,9847947.39
2021-11-25,9739798.18
2021-11-26,9689254.32
2021-11-29,9693124.38
2021-11-30,9616852.62
2021-12-01,9648417.72
2021-12-02,9719032.56
2021-12-03,9881648.16
2021-12-06,9695233.79
2021-12-07,9555846.42
2021-12-08,9776917.52
2021-12-09,9868245.82
2021-12-10,9785119.12
2021-12-13,9892413.32
2021-12-14,9901545.58
2021-12-15,9848378.58
2021-12-16,9854481.18
2021-12-17,9688955.96
2021-12-20,9581412.77
2021-12-21,9704639.16
2021-12-22,9723369.12
2021-12-23,9798216.23
2021-12-24,9829851.6
2021-12-27,9809133.79
2021-12-28,9825710.36
2021-12-29,9551950.4
2021-12-30,9680764.72
2021-12-31,9776162.28
2022-01-04,9837089.26
2022-01-05,9703747.99
2022-01-06,9606245.01
2022-01-07,9776796.2
2022-01-10,9863681.79
2022-01-11,9752153.79
2022-01-12,9688362.59
2022-01-13,9523877.39
2022-01-14,9262953.67
2022-01-17,9255290.06
2022-01-18,9428996.35
2022-01-19,9424690.95
2022-01-20,9510865.97
2022-01-21,9364360.37
2022-01-24,9390994.08
2022-01-25,9202968.79
2022-01-26,9258186.07
2022-01-27,9077277.67
2022-01-28,8924140.74
2022-02-07,9174700.49
2022-02-08,9131505.68
2022-02-09,9138044.27
2022-02-10,9358799.97
2022-02-11,9347427.57
2022-02-14,9113231.27
2022-02-15,8954019.0
2022-02-16,9031801.44
2022-02-17,9008026.26
2022-02-18,9095877.92
2022-02-21,9081280.42
2022-02-22,9031442.82
2022-02-23,8976353.02
2022-02-24,8884808.69
2022-02-25,8920463.02
2022-02-28,9052655.47
2022-03-01,9033357.79
2022-03-02,9004127.74
2022-03-03,8895180.81
2022-03-04,8757805.06
2022-03-07,8656711.01
2022-03-08,8468111.83
2022-03-09,8443575.63
2022-03-10,8497046.92
2022-03-11,8474654.63
2022-03-14,8242652.93
2022-03-15,7882634.17
2022-03-16,8237733.41
2022-03-17,8113728.67
2022-03-18,8068167.1
2022-03-21,8132782.5
2022-03-22,7908919.39
2022-03-23,7902358.92
2022-03-24,7826362.21
2022-03-25,7661799.37
2022-03-28,7672355.19
2022-03-29,7753724.42
2022-03-30,7881892.42
2022-03-31,7864203.43
2022-04-01,7926669.3
2022-04-06,7983524.4
2022-04-07,7852740.24
2022-04-08,7956666.53
2022-04-11,7812032.03
2022-04-12,7793000.03
2022-04-13,7882616.53
2022-04-14,8020633.5
2022-04-15,8010015.0
2022-04-18,7752702.46
2022-04-19,7713314.31
2022-04-20,7491772.23
2022-04-21,7372734.69
2022-04-22,7480970.74
2022-04-25,7152133.07
2022-04-26,7198712.36
2022-04-27,7262951.18
2022-04-28,7291341.59
2022-04-29,7351980.89
2022-05-05,7271192.47
2022-05-06,6977219.49
2022-05-09,6844782.11
2022-05-10,6905315.45
2022-05-11,6943294.25
2022-05-12,6928735.45
2022-05-13,6906377.05
2022-05-16,6794444.38
2022-05-17,6970135.69
2022-05-18,6947546.19
2022-05-19,7053650.37
2022-05-20,7146272.22
2022-05-23,7079580.22
2022-05-24,6833720.01
2022-05-25,6845195.7
2022-05-26,6870015.87
2022-05-27,6864312.47
2022-05-30,6925267.9
2022-05-31,7136366.0
2022-06-01,7143838.6
2022-06-02,7266717.8
2022-06-06,7531747.7
2022-06-07,7471465.22
2022-06-08,7543982.62
2022-06-09,7424420.72
2022-06-10,7610259.95
