序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000001,平安银行,2021-08-18,17.243,2021-08-27,16.116,28900,-6.6277%,-33043.05,7,止损
2,000301,东方盛虹,2021-08-18,26.343,2021-08-20,24.538,18900,-6.9466%,-34603.64,2,信号
3,000333,美的集团,2021-08-18,58.63,2021-08-26,54.324,8500,-7.4377%,-37085.10,6,止损
4,002050,三花智控,2021-08-18,23.366,2021-09-13,23.202,21300,-0.7981%,-3973.90,18,信号
5,002142,宁波银行,2021-08-18,30.132,2021-08-26,28.921,16500,-4.1167%,-20477.36,6,信号
6,002493,荣盛石化,2021-08-18,19.49,2021-08-20,18.011,25600,-7.6797%,-38336.01,2,信号
7,002594,比亚迪,2021-08-18,92.052,2021-08-27,90.487,5400,-1.7987%,-8945.31,7,信号
8,002709,天赐材料,2021-08-18,55.991,2021-09-06,61.062,8900,8.9487%,44615.21,13,信号
9,300454,深信服,2021-08-18,263.121,2021-09-03,258.381,1900,-1.8999%,-9502.85,12,信号
10,600019,宝钢股份,2021-08-18,6.613,2021-09-24,8.496,75600,28.3361%,141741.72,25,信号
11,600036,招商银行,2021-08-18,40.762,2021-08-27,40.432,12200,-0.9102%,-4528.57,7,信号
12,600150,中国船舶,2021-08-18,16.773,2021-09-30,23.623,29800,40.6966%,203522.13,29,信号
13,600346,恒力石化,2021-08-18,28.164,2021-08-20,25.837,17700,-8.3540%,-41665.81,2,信号
14,600999,招商证券,2021-08-18,15.505,2021-08-31,15.769,32200,1.6034%,8008.98,9,信号
15,601066,中信建投,2021-08-18,26.433,2021-08-30,25.612,18900,-3.2029%,-16009.15,8,信号
16,601211,国泰海通,2021-08-18,13.768,2021-09-17,15.602,36300,13.2099%,66052.55,22,信号
17,601238,广汽集团,2021-08-18,14.027,2021-09-17,16.602,35600,18.2369%,91113.60,22,信号
18,601601,中国太保,2021-08-18,21.851,2021-08-23,21.219,22800,-2.9873%,-14890.00,3,信号
19,601668,中国建筑,2021-08-18,3.335,2021-08-25,3.301,149900,-1.0981%,-5491.74,5,信号
20,603260,合盛硅业,2021-08-18,119.748,2021-09-24,209.783,4100,75.0122%,368468.83,25,信号
21,000002,万科Ａ,2021-08-20,20.306,2021-08-27,19.216,24600,-5.4612%,-27294.25,5,信号
22,002714,牧原股份,2021-08-20,41.194,2021-08-24,40.773,9900,-1.1209%,-4573.46,2,信号
23,601166,兴业银行,2021-08-20,13.298,2021-08-27,12.705,37600,-4.5549%,-22785.68,5,信号
24,600585,海螺水泥,2021-08-23,35.788,2021-08-27,33.233,13500,-7.2307%,-34951.78,4,止损
25,600030,中信证券,2021-08-24,20.556,2021-09-17,21.356,19700,3.7881%,15348.02,18,信号
26,600048,保利发展,2021-08-25,10.235,2021-08-31,9.205,48300,-10.1506%,-50204.96,4,止损
27,002812,恩捷股份,2021-08-26,274.918,2021-09-06,250.935,1800,-8.8149%,-43642.53,7,止损
28,601633,长城汽车,2021-08-26,59.25,2021-09-13,58.201,7400,-1.8682%,-8195.13,12,信号
29,000301,东方盛虹,2021-08-27,28.864,2021-09-24,30.055,17300,4.0205%,20086.69,18,信号
30,002371,北方华创,2021-08-27,279.014,2021-08-31,257.28,1700,-7.8818%,-37403.89,2,止损
31,600745,ST闻泰,2021-08-27,111.327,2021-09-09,106.578,4400,-4.3615%,-21374.77,9,信号
32,600760,中航沈飞,2021-08-27,53.251,2021-09-06,50.976,9300,-4.3663%,-21633.91,6,信号
33,600837,海通证券,2021-08-27,11.747,2021-09-10,11.905,33200,1.2452%,4858.76,10,信号
34,601766,中国中车,2021-08-27,5.183,2021-09-16,5.457,96400,5.1948%,25966.31,14,信号
35,600036,招商银行,2021-08-30,41.123,2021-09-01,39.612,11700,-3.7691%,-18143.59,2,信号
36,002179,中航光电,2021-08-31,52.94,2021-09-02,49.18,9400,-7.1953%,-35824.53,2,止损
37,002459,晶澳科技,2021-08-31,38.59,2021-09-07,35.201,10200,-8.8729%,-34943.07,5,止损
38,601989,中国重工,2021-08-31,4.121,2021-09-29,4.517,121300,9.4919%,47472.22,19,信号
39,688599,天合光能,2021-09-01,60.543,2021-09-09,53.626,7600,-11.5136%,-53003.67,6,止损
40,600406,国电南瑞,2021-09-02,21.288,2021-09-09,19.739,21800,-7.3669%,-34204.78,5,信号
41,600690,海尔智家,2021-09-03,25.441,2021-09-15,23.566,19300,-7.4607%,-36650.82,8,止损
42,600048,保利发展,2021-09-06,10.555,2021-10-19,11.554,44600,9.3545%,44059.91,24,信号
43,601166,兴业银行,2021-09-06,13.968,2021-09-16,13.354,35700,-4.4889%,-22395.40,8,信号
44,601601,中国太保,2021-09-06,22.451,2021-09-22,21.319,22200,-5.1364%,-25613.70,10,信号
45,601012,隆基绿能,2021-09-07,61.061,2021-09-09,59.214,5800,-3.1204%,-11056.39,2,信号
46,300760,迈瑞医疗,2021-09-09,307.793,2021-10-21,334.142,1600,8.4521%,41644.89,23,信号
47,600036,招商银行,2021-09-09,42.873,2021-09-16,41.961,5600,-2.2260%,-5347.07,5,信号
48,600519,贵州茅台,2021-09-09,1403.761,2021-09-16,1379.369,300,-1.8358%,-7734.94,5,信号
49,603259,药明康德,2021-09-09,134.638,2021-10-12,136.273,3700,1.1129%,5546.63,16,信号
50,300750,宁德时代,2021-09-10,252.41,2021-09-14,259.754,1500,2.8067%,10631.75,2,信号
51,600887,伊利股份,2021-09-13,30.215,2021-09-16,29.175,14800,-3.5375%,-15826.98,3,信号
52,601888,中国中免,2021-09-13,246.603,2021-09-16,227.186,2000,-7.9658%,-39307.57,3,止损
53,600809,山西汾酒,2021-09-14,275.828,2021-10-19,287.946,1400,4.2890%,16570.71,18,信号
54,300750,宁德时代,2021-09-15,272.731,2021-09-17,254.135,1600,-6.9117%,-30175.78,2,信号
55,000001,平安银行,2021-09-16,16.872,2021-09-22,15.426,5100,-8.6625%,-7457.72,2,信号
56,002352,顺丰控股,2021-09-16,60.492,2021-10-18,61.641,8200,1.7975%,8920.50,15,信号
57,002493,荣盛石化,2021-09-16,21.841,2021-09-22,19.71,22800,-9.8461%,-49055.35,2,止损
58,002812,恩捷股份,2021-09-16,299.411,2021-09-29,262.65,1600,-12.3655%,-59267.28,7,止损
59,600346,恒力石化,2021-09-16,28.434,2021-09-23,26.187,17500,-7.9956%,-39805.86,3,止损
60,601857,中国石油,2021-09-16,4.123,2021-09-22,3.729,121200,-9.6446%,-48219.67,2,止损
61,600309,万华化学,2021-09-17,103.277,2021-09-24,99.145,4800,-4.0961%,-20315.62,3,信号
62,600519,贵州茅台,2021-09-17,1397.758,2021-10-28,1601.458,300,14.4589%,60660.22,22,信号
63,600887,伊利股份,2021-09-17,29.115,2021-11-18,35.512,17100,21.8523%,108847.85,37,信号
64,601888,中国中免,2021-09-17,232.446,2021-09-23,228.186,2100,-1.9309%,-9430.33,2,信号
65,002304,洋河股份,2021-09-22,155.953,2021-09-24,145.122,3200,-7.0378%,-35139.43,2,信号
66,600028,中国石化,2021-09-22,2.915,2021-10-14,2.833,12700,-2.9397%,-1089.00,11,信号
67,600585,海螺水泥,2021-09-22,40.31,2021-09-27,37.001,12400,-8.2997%,-41506.65,3,止损
68,601066,中信建投,2021-09-22,29.88,2021-09-30,29.9,16700,-0.0327%,-163.33,6,信号
69,300059,东方财富,2021-09-23,23.941,2021-09-28,22.772,20800,-4.9794%,-24808.42,3,信号
70,600900,长江电力,2021-09-23,17.06,2021-10-14,16.443,25700,-3.7116%,-16281.01,10,信号
71,002371,北方华创,2021-09-24,282.646,2021-10-11,260.227,1700,-8.0240%,-38574.47,6,止损
72,300015,爱尔眼科,2021-09-24,30.025,2021-10-15,27.183,16600,-9.5546%,-47645.45,10,止损
73,600276,恒瑞医药,2021-09-24,46.804,2021-10-19,47.797,10600,2.0189%,10021.22,12,信号
74,600406,国电南瑞,2021-09-24,21.975,2021-10-12,20.843,22700,-5.2480%,-26191.65,7,信号
75,601857,中国石油,2021-09-24,4.153,2021-10-14,3.839,120300,-7.6530%,-38254.45,9,止损
76,601888,中国中免,2021-09-27,242.421,2021-10-28,251.424,2000,3.6102%,17512.30,18,信号
77,000568,泸州老窖,2021-09-28,184.915,2021-11-03,203.711,2700,10.0544%,50223.70,21,信号
78,002475,立讯精密,2021-09-29,34.18,2021-10-19,33.876,14600,-0.9885%,-4935.62,9,信号
79,600436,片仔癀,2021-09-29,339.38,2021-11-04,396.482,1400,16.7087%,79427.77,21,信号
80,000858,五粮液,2021-09-30,194.721,2021-10-28,194.527,2500,-0.1998%,-973.12,15,信号
81,002415,海康威视,2021-09-30,50.879,2021-10-19,50.239,9800,-1.3577%,-6772.96,8,信号
82,300750,宁德时代,2021-10-11,275.511,2021-10-13,258.577,1800,-6.2402%,-30961.95,2,信号
83,002304,洋河股份,2021-10-12,162.746,2021-10-19,151.419,3000,-7.0530%,-34452.49,5,信号
84,300014,亿纬锂能,2021-10-12,99.235,2021-12-08,135.087,5000,35.9933%,178678.34,41,到期
85,601318,中国平安,2021-10-13,39.746,2021-10-19,37.457,12500,-5.8523%,-29090.03,4,信号
86,300750,宁德时代,2021-10-14,269.952,2021-11-16,322.434,1800,19.3218%,93934.08,23,信号
87,600036,招商银行,2021-10-14,43.764,2021-11-03,43.08,11200,-1.6600%,-8140.65,14,信号
88,603259,药明康德,2021-10-14,143.873,2021-10-18,138.842,3400,-3.5935%,-17587.22,2,信号
89,601633,长城汽车,2021-10-15,61.261,2021-11-04,60.9,7400,-0.6888%,-3123.98,14,信号
