日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.012596,
2021-08-19,1.008884,
2021-08-20,1.004566,
2021-08-23,1.020771,
2021-08-24,1.027550,
2021-08-25,1.036649,
2021-08-26,1.034119,
2021-08-27,1.032792,
2021-08-30,1.032235,
2021-08-31,1.038464,
2021-09-01,1.041010,
2021-09-02,1.052979,
2021-09-03,1.055393,
2021-09-06,1.066624,
2021-09-07,1.079055,
2021-09-08,1.090523,
2021-09-09,1.097273,
2021-09-10,1.089785,
2021-09-13,1.099911,
2021-09-14,1.081942,
2021-09-15,1.087912,
2021-09-16,1.078050,
2021-09-17,1.076956,
2021-09-22,1.085631,
2021-09-23,1.093287,
2021-09-24,1.074928,
2021-09-27,1.051075,
2021-09-28,1.055478,
2021-09-29,1.029613,
2021-09-30,1.046221,
2021-10-08,1.052209,
2021-10-11,1.041457,
2021-10-12,1.028991,
2021-10-13,1.028039,
2021-10-14,1.025001,
2021-10-15,1.017976,
2021-10-18,1.013175,
2021-10-19,1.017146,
2021-10-20,1.013120,
2021-10-21,1.009721,
2021-10-22,1.006542,
2021-10-25,1.013375,
2021-10-26,1.009244,
2021-10-27,0.999638,
2021-10-28,0.989895,
2021-10-29,1.001194,
2021-11-01,1.012529,
2021-11-02,1.011991,
2021-11-03,1.011257,
2021-11-04,1.026948,
2021-11-05,1.022292,
2021-11-08,1.024284,
2021-11-09,1.037650,
2021-11-10,1.043715,
2021-11-11,1.051990,
2021-11-12,1.064144,
2021-11-15,1.074738,
2021-11-16,1.067351,
2021-11-17,1.078757,
2021-11-18,1.068793,
2021-11-19,1.081382,
2021-11-22,1.086658,
2021-11-23,1.091464,
2021-11-24,1.096135,
2021-11-25,1.097507,
2021-11-26,1.093098,
2021-11-29,1.090277,
2021-11-30,1.099696,
2021-12-01,1.111327,
2021-12-02,1.100996,
2021-12-03,1.104925,
2021-12-06,1.087708,
2021-12-07,1.083467,
2021-12-08,1.089577,
2021-12-09,1.093973,
2021-12-10,1.093977,
2021-12-13,1.095342,
2021-12-14,1.096699,
2021-12-15,1.098775,
2021-12-16,1.108912,
2021-12-17,1.104453,
2021-12-20,1.101444,
2021-12-21,1.119631,
2021-12-22,1.119583,
2021-12-23,1.110362,
2021-12-24,1.100470,
2021-12-27,1.106733,
2021-12-28,1.104604,
2021-12-29,1.102749,
2021-12-30,1.113531,
2021-12-31,1.123081,
2022-01-04,1.139007,
2022-01-05,1.127879,
2022-01-06,1.136839,
2022-01-07,1.126554,
2022-01-10,1.138268,
