日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10041978.39
2021-08-19,10173069.39
2021-08-20,10027792.9
2021-08-23,10221794.99
2021-08-24,10326465.45
2021-08-25,10335865.83
2021-08-26,10257136.58
2021-08-27,10365248.7
2021-08-30,10497249.08
2021-08-31,10486491.69
2021-09-01,10514341.13
2021-09-02,10610778.34
2021-09-03,10457103.49
2021-09-06,10608690.24
2021-09-07,10826357.57
2021-09-08,10812793.82
2021-09-09,10908388.56
2021-09-10,11036704.79
2021-09-13,11070193.82
2021-09-14,11024292.48
2021-09-15,11012228.7
2021-09-16,10759106.47
2021-09-17,10821104.61
2021-09-22,10714206.26
2021-09-23,10765219.8
2021-09-24,10686385.3
2021-09-27,10351526.28
2021-09-28,10336791.29
2021-09-29,10150810.76
2021-09-30,10402779.37
2021-10-08,10546196.92
2021-10-11,10338510.73
2021-10-12,10116163.02
2021-10-13,9961688.6
2021-10-14,9842721.44
2021-10-15,9933372.44
2021-10-18,9978738.34
2021-10-19,10145317.19
2021-10-20,10079444.14
2021-10-21,10161654.74
2021-10-22,10188258.01
2021-10-25,10195907.16
2021-10-26,10177029.86
2021-10-27,10050838.9
2021-10-28,10063675.9
2021-10-29,10125551.85
2021-11-01,10242533.22
2021-11-02,9993362.72
2021-11-03,10114044.43
2021-11-04,10304715.66
2021-11-05,10076373.66
2021-11-08,10055796.29
2021-11-09,10230560.19
2021-11-10,10238834.89
2021-11-11,10350597.59
2021-11-12,10394785.63
2021-11-15,10375751.28
2021-11-16,10263496.8
2021-11-17,10286882.65
2021-11-18,10153433.65
2021-11-19,10273603.1
2021-11-22,10333904.55
2021-11-23,10370496.99
2021-11-24,10324938.66
2021-11-25,10426488.37
2021-11-26,10346704.33
2021-11-29,10273233.4
2021-11-30,10322381.26
2021-12-01,10390081.15
2021-12-02,10224181.67
2021-12-03,10262936.09
2021-12-06,10064694.91
2021-12-07,9987421.26
2021-12-08,10074963.76
2021-12-09,10149991.63
2021-12-10,10251822.5
2021-12-13,10312179.08
2021-12-14,10182574.24
2021-12-15,10082902.3
2021-12-16,10121113.67
2021-12-17,9892937.8
2021-12-20,9627297.58
2021-12-21,9646056.68
2021-12-22,9654581.69
2021-12-23,9705210.55
2021-12-24,9617747.55
2021-12-27,9571613.01
2021-12-28,9606891.09
2021-12-29,9416453.45
2021-12-30,9514641.78
2021-12-31,9533832.73
2022-01-04,9654414.73
2022-01-05,9543335.68
