序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,000612,焦作万方,2021-08-18,7.949,2021-08-31,9.01,62900,13.2409%,66236.23,9,止盈
2,002023,海特高新,2021-08-18,15.058,2021-09-16,14.943,33200,-0.8629%,-4316.00,21,到期
3,002241,歌尔股份,2021-08-18,38.475,2021-08-30,48.942,12900,27.0755%,134451.29,8,止盈
4,002472,双环传动,2021-08-18,19.439,2021-08-24,23.247,25700,19.4736%,97333.94,4,止盈
5,002600,领益智造,2021-08-18,6.778,2021-09-16,6.552,73700,-3.4405%,-17196.43,21,到期
6,002625,光启技术,2021-08-18,22.879,2021-09-06,21.447,21800,-6.3533%,-31704.31,13,止损
7,300212,ST易录,2021-08-18,29.115,2021-08-30,36.612,17100,25.6248%,127639.05,8,止盈
8,300224,正海磁材,2021-08-18,13.39,2021-08-23,12.447,37300,-7.1350%,-35652.69,3,止损
9,300379,东通退,2021-08-18,35.728,2021-08-27,31.704,13900,-11.3508%,-56398.29,7,止损
10,300444,双杰电气,2021-08-18,6.593,2021-08-27,6.067,75800,-8.0748%,-40375.64,7,止损
11,300450,先导智能,2021-08-18,71.948,2021-09-06,65.749,6900,-8.7071%,-43247.10,13,止损
12,300726,宏达电子,2021-08-18,78.059,2021-08-20,88.286,6400,12.9884%,64919.38,2,止盈
13,600110,诺德股份,2021-08-18,16.409,2021-08-25,19.231,30400,17.0816%,85252.50,5,止盈
14,600547,山东黄金,2021-08-18,16.945,2021-09-13,19.747,29500,16.4169%,82107.55,18,止盈
15,600779,水井坊,2021-08-18,113.531,2021-09-07,128.31,4400,12.9047%,64495.89,14,止盈
16,600812,华北制药,2021-08-18,10.27,2021-08-24,8.741,48600,-14.9778%,-74795.90,4,止损
17,600859,王府井,2021-08-18,26.434,2021-09-03,30.995,18900,17.1380%,85665.56,12,止盈
18,600884,杉杉股份,2021-08-18,27.748,2021-08-27,31.368,18000,12.9346%,64635.89,7,止盈
19,603185,弘元绿能,2021-08-18,123.6,2021-08-25,144.168,4000,16.5243%,81736.91,5,止盈
20,688819,天能股份,2021-08-18,52.568,2021-08-31,48.548,9500,-7.7406%,-38675.59,9,止损
21,002714,牧原股份,2021-08-20,41.194,2021-08-31,39.213,12100,-4.9022%,-24446.92,7,止损
22,601015,陕西黑猫,2021-08-23,9.085,2021-09-09,10.445,55000,14.8582%,74275.87,13,止盈
23,000963,华东医药,2021-08-24,34.047,2021-08-26,31.214,14600,-8.4114%,-41832.81,2,止损
24,601995,中金公司,2021-08-24,51.896,2021-09-08,58.041,9600,11.7293%,58464.59,11,止盈
25,600522,中天科技,2021-08-25,7.126,2021-09-09,8.048,70100,12.8322%,64129.32,11,止盈
26,601099,太平洋,2021-08-25,3.202,2021-09-27,3.408,156100,6.3496%,31749.19,21,到期
27,000768,中航西飞,2021-08-26,31.221,2021-09-02,29.2,16000,-6.5642%,-32806.73,5,止损
28,000625,长安汽车,2021-08-27,14.542,2021-09-14,13.389,34300,-8.0204%,-40025.74,12,止损
29,002176,江特电机,2021-08-27,22.511,2021-09-01,27.016,22200,19.8933%,99466.46,3,止盈
30,600499,科达制造,2021-08-27,17.371,2021-09-06,15.564,28700,-10.4891%,-52318.22,6,止损
31,300122,智飞生物,2021-08-30,124.049,2021-09-01,118.308,4000,-4.7235%,-23449.42,2,止损
32,601377,兴业证券,2021-08-30,8.213,2021-09-08,9.383,60800,14.1338%,70613.32,7,止盈
33,002436,兴森科技,2021-08-31,14.247,2021-09-02,12.584,35000,-11.7637%,-58689.06,2,止损
34,600360,华微电子,2021-08-31,9.443,2021-09-02,8.724,52900,-7.7075%,-38519.99,2,止损
35,600685,中船防务,2021-08-31,20.354,2021-10-08,20.644,24500,1.3209%,6590.55,21,到期
36,002163,海南发展,2021-09-01,14.807,2021-09-10,17.101,33700,15.3771%,76771.65,7,止盈
37,600197,伊力特,2021-09-01,22.651,2021-09-06,25.327,22000,11.7022%,58344.45,3,止盈
38,000513,丽珠集团,2021-09-02,33.847,2021-09-30,31.544,14700,-6.8964%,-34330.24,18,止损
39,002249,大洋电机,2021-09-02,7.082,2021-09-17,6.345,70600,-10.4928%,-52485.89,11,止损
40,003009,中天火箭,2021-09-02,68.583,2021-09-14,63.057,7200,-8.1490%,-40259.80,8,止损
41,002407,多氟多,2021-09-03,35.701,2021-09-16,42.134,14000,17.9014%,89518.29,9,止盈
42,002340,格林美,2021-09-06,12.247,2021-09-28,10.856,40800,-11.4509%,-57246.58,14,止损
43,300457,赢合科技,2021-09-06,27.706,2021-09-23,25.459,18000,-8.2005%,-40916.96,11,止损
44,300610,晨化股份,2021-09-06,16.909,2021-09-10,15.753,29500,-6.9315%,-34593.54,4,止损
45,600745,ST闻泰,2021-09-06,111.737,2021-09-15,103.409,4400,-7.5453%,-37114.63,7,止损
46,601012,隆基绿能,2021-09-07,61.061,2021-09-14,57.187,8100,-6.4367%,-31851.20,5,止损
47,002176,江特电机,2021-09-08,23.262,2021-09-13,29.085,21400,24.9112%,124069.74,3,止盈
48,300122,智飞生物,2021-09-08,108.981,2021-09-16,100.217,4500,-8.1342%,-39911.38,6,止损
49,000902,新洋丰,2021-09-09,19.525,2021-09-14,22.304,25600,14.1195%,70609.17,3,止盈
50,600048,保利发展,2021-09-09,10.285,2021-09-23,12.154,48600,18.0516%,90277.44,8,止盈
51,600519,贵州茅台,2021-09-10,1411.845,2021-09-28,1624.246,300,14.9293%,63265.16,10,止盈
52,601888,中国中免,2021-09-10,237.599,2021-10-14,271.164,2100,14.0129%,69953.58,17,止盈
53,300036,超图软件,2021-09-13,27.455,2021-09-23,25.838,18200,-5.9825%,-29907.92,6,止损
54,300129,泰胜风能,2021-09-13,8.924,2021-09-16,10.105,56000,13.1144%,65574.34,3,止盈
55,002056,横店东磁,2021-09-14,13.412,2021-09-22,11.999,37200,-10.6228%,-53025.27,4,止损
56,600771,广誉远,2021-09-14,30.755,2021-09-17,27.996,16200,-9.0630%,-45177.76,3,止损
57,600837,海通证券,2021-09-14,12.167,2021-10-22,11.625,41000,-4.5493%,-22705.48,21,到期
58,601901,方正证券,2021-09-14,8.491,2021-09-28,7.963,58800,-6.3146%,-31543.50,8,止损
59,002415,海康威视,2021-09-15,49.679,2021-10-25,51.228,10000,3.0161%,14990.92,21,到期
60,300316,晶盛机电,2021-09-16,68.486,2021-09-30,62.281,7300,-9.1517%,-45776.59,8,止损
61,300346,南大光电,2021-09-16,37.613,2021-09-28,33.73,13200,-10.4124%,-51722.11,6,止损
62,600570,恒生电子,2021-09-16,40.768,2021-10-26,45.302,12200,11.0102%,54789.32,21,到期
63,601211,国泰海通,2021-09-16,15.918,2021-10-26,15.712,31400,-1.3916%,-6959.18,21,到期
64,601377,兴业证券,2021-09-16,9.013,2021-09-27,8.391,55400,-6.9913%,-34924.33,5,止损
