日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10009011.56
2021-08-19,9980082.68
2021-08-20,10000296.82
2021-08-23,10193709.47
2021-08-24,10172784.37
2021-08-25,10211870.95
2021-08-26,10198697.25
2021-08-27,10254874.83
2021-08-30,10590918.08
2021-08-31,10575223.57
2021-09-01,10284120.22
2021-09-02,10638063.04
2021-09-03,10510424.93
2021-09-06,10574156.43
2021-09-07,10760326.13
2021-09-08,10678584.98
2021-09-09,10624049.84
2021-09-10,10440420.18
2021-09-13,10616484.25
2021-09-14,10399837.27
2021-09-15,10385672.18
2021-09-16,10119583.67
2021-09-17,10179700.8
2021-09-22,10447639.86
2021-09-23,10341774.21
2021-09-24,9988758.41
2021-09-27,9604111.1
2021-09-28,9591998.04
2021-09-29,9321612.4
2021-09-30,9617680.76
2021-10-08,9861621.96
2021-10-11,9825668.26
2021-10-12,9541160.78
2021-10-13,9075869.5
2021-10-14,8814519.37
2021-10-15,8691080.24
2021-10-18,8746844.51
2021-10-19,8779680.71
2021-10-20,8799812.51
2021-10-21,8714057.93
2021-10-22,8635367.42
2021-10-25,8569509.56
2021-10-26,8411289.73
2021-10-27,8280033.16
2021-10-28,8379627.72
2021-10-29,8600486.88
2021-11-01,8752276.1
2021-11-02,8732210.4
2021-11-03,8768923.68
2021-11-04,8847228.7
2021-11-05,8744165.5
2021-11-08,8637880.85
2021-11-09,8552330.61
2021-11-10,8524803.33
2021-11-11,8674016.13
2021-11-12,8604413.23
2021-11-15,8571922.48
2021-11-16,8571550.55
2021-11-17,8610147.87
2021-11-18,8647722.15
2021-11-19,8598109.38
2021-11-22,8747844.21
2021-11-23,8896838.69
2021-11-24,8900818.53
2021-11-25,9070930.12
2021-11-26,9090699.9
2021-11-29,9097423.43
2021-11-30,9039639.02
2021-12-01,8987435.45
2021-12-02,8813122.49
2021-12-03,8862337.29
2021-12-06,8609309.41
2021-12-07,8542851.03
2021-12-08,8580964.12
2021-12-09,8588276.32
2021-12-10,8507761.14
2021-12-13,8637181.14
2021-12-14,8652534.13
2021-12-15,8625631.55
2021-12-16,8710475.5
2021-12-17,8663146.36
2021-12-20,8558251.29
2021-12-21,8542681.29
2021-12-22,8513897.51
2021-12-23,8457353.04
2021-12-24,8288119.54
2021-12-27,8241401.35
2021-12-28,8252985.93
2021-12-29,8134896.63
2021-12-30,8279976.69
2021-12-31,8312899.28
2022-01-04,8425703.7
2022-01-05,8290281.43
2022-01-06,8339599.93
2022-01-07,8365979.37
2022-01-10,8515840.12
2022-01-11,8408946.78
2022-01-12,8534502.44
2022-01-13,8389826.34
2022-01-14,8614270.47
2022-01-17,8701300.14
2022-01-18,8700193.93
2022-01-19,8764573.67
2022-01-20,8527323.87
2022-01-21,8212150.21
2022-01-24,8095825.22
2022-01-25,7726886.21
2022-01-26,7643890.0
2022-01-27,7213380.57
2022-01-28,7112869.31
2022-02-07,7193318.84
2022-02-08,7234697.12
2022-02-09,7353479.32
2022-02-10,7585549.52
2022-02-11,7601628.32
2022-02-14,7568732.72
2022-02-15,7540140.72
2022-02-16,7717824.97
2022-02-17,7414974.57
2022-02-18,7421811.25
2022-02-21,7558593.65
2022-02-22,7606264.65
2022-02-23,7526753.56
2022-02-24,7215608.41
2022-02-25,7116528.34
2022-02-28,7041575.33
2022-03-01,7007261.71
2022-03-02,7142026.55
2022-03-03,7262881.51
2022-03-04,6970430.51
2022-03-07,6864704.7
2022-03-08,6511366.59
2022-03-09,6381896.42
2022-03-10,6570124.09
2022-03-11,6380960.18
2022-03-14,6108825.38
2022-03-15,5734260.0
2022-03-16,5800633.44
2022-03-17,5822456.84
2022-03-18,5936834.25
2022-03-21,6125747.49
2022-03-22,6054493.63
2022-03-23,5962331.63
2022-03-24,6008759.24
2022-03-25,5870941.87
2022-03-28,5775276.44
2022-03-29,5728066.89
2022-03-30,5863869.45
2022-03-31,5774557.98
2022-04-01,5720385.98
2022-04-06,5746096.36
2022-04-07,5668870.54
2022-04-08,5687421.86
2022-04-11,5646211.99
2022-04-12,5587932.24
2022-04-13,5459721.94
2022-04-14,5406123.7
2022-04-15,5184277.14
2022-04-18,5221328.05
2022-04-19,5179784.17
2022-04-20,5065684.06
2022-04-21,4720686.39
2022-04-22,4728409.49
2022-04-25,4423112.86
2022-04-26,4312360.95
2022-04-27,4139791.32
2022-04-28,4137669.88
2022-04-29,4273645.71
2022-05-05,4351598.6
2022-05-06,4233116.7
2022-05-09,4285561.8
2022-05-10,4428264.8
2022-05-11,4342222.1
2022-05-12,4292441.2
2022-05-13,4322456.24
2022-05-16,4362665.41
2022-05-17,4270292.55
2022-05-18,4218875.05
2022-05-19,4191756.65
2022-05-20,4189588.65
2022-05-23,4205536.79
2022-05-24,4119215.79
2022-05-25,4138943.59
2022-05-26,4139122.18
2022-05-27,4142797.16
2022-05-30,4174903.49
2022-05-31,4205928.44
2022-06-01,4130897.34
2022-06-02,4079712.38
