序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,605128,上海沿浦,2021-08-18,12.391,2021-09-01,12.569,40300,1.3312%,6651.11,10,信号
2,002962,五方光电,2021-08-19,14.63,2021-08-24,12.837,34100,-12.3481%,-61634.61,3,止损
3,300366,ST创意,2021-08-19,10.575,2021-09-08,10.685,47200,0.9332%,4660.53,14,信号
4,300922,天秦装备,2021-08-19,33.94,2021-09-01,33.671,14700,-0.8912%,-4448.38,9,信号
5,600098,广州发展,2021-08-19,5.466,2021-09-17,6.29,91400,14.9630%,74787.52,21,信号
6,600425,青松建化,2021-08-19,3.292,2021-09-22,3.688,151800,11.9340%,59660.45,22,信号
7,600532,退市未来,2021-08-19,17.669,2021-09-06,17.121,28200,-3.1949%,-15927.08,12,信号
8,600599,退市熊猫,2021-08-19,8.304,2021-09-08,8.606,60200,3.5277%,17644.02,14,信号
9,601990,南京证券,2021-08-19,11.058,2021-08-24,10.677,45200,-3.5409%,-17706.38,3,信号
10,300421,力星股份,2021-08-20,14.792,2021-09-13,18.218,33800,23.0340%,115223.82,16,信号
11,300775,三角防务,2021-08-20,49.763,2021-09-02,48.814,10000,-2.0057%,-9985.76,9,信号
12,300855,图南股份,2021-08-20,33.294,2021-08-30,31.533,15000,-5.3822%,-26892.40,6,信号
13,600863,华能蒙电,2021-08-20,1.452,2021-10-15,2.88,344400,98.1560%,491000.18,33,信号
14,603685,晨丰科技,2021-08-20,13.685,2021-08-27,13.051,36500,-4.7236%,-23605.87,5,信号
15,002111,威海广泰,2021-08-23,14.33,2021-09-01,13.946,34800,-2.7779%,-13860.01,7,信号
16,300488,恒锋工具,2021-08-23,20.531,2021-09-13,27.087,24300,31.8008%,158736.83,15,信号
17,600353,旭光电子,2021-08-23,4.318,2021-08-31,3.935,115700,-8.9635%,-44805.18,6,止损
18,600355,ST精伦,2021-08-23,3.052,2021-09-01,2.949,163800,-3.4719%,-17362.80,7,信号
19,601636,旗滨集团,2021-08-23,22.404,2021-09-08,24.361,22300,8.6246%,43111.13,12,信号
20,603267,鸿远电子,2021-08-23,177.37,2021-08-25,158.792,2800,-10.5637%,-52489.24,2,止损
21,002179,中航光电,2021-08-24,51.033,2021-09-02,49.18,8400,-3.7256%,-15978.58,7,信号
22,300263,隆华科技,2021-08-24,11.534,2021-09-06,12.612,43300,9.2365%,46151.49,9,信号
23,002079,苏州固锝,2021-08-25,15.411,2021-09-16,17.344,29000,12.4348%,55600.09,16,信号
24,600058,五矿发展,2021-08-27,10.371,2021-09-16,11.01,45900,6.0582%,28853.57,14,信号
25,300229,拓尔思,2021-08-30,11.986,2021-09-03,11.044,39400,-7.9472%,-37549.39,4,止损
26,300118,东方日升,2021-08-31,24.464,2021-09-02,22.591,18600,-7.7505%,-35285.21,2,止损
27,000887,中鼎股份,2021-09-01,17.549,2021-09-13,16.372,26700,-6.8000%,-31877.67,8,止损
28,300101,振芯科技,2021-09-01,35.7,2021-09-06,31.456,14000,-11.9749%,-59880.17,3,止损
29,600765,中航重机,2021-09-01,24.955,2021-09-09,22.711,20000,-9.0863%,-45373.31,6,止损
30,600782,新钢股份,2021-09-01,7.831,2021-09-22,8.153,63800,4.0080%,20034.23,13,信号
31,000425,徐工机械,2021-09-02,6.339,2021-09-16,5.993,78800,-5.5552%,-27763.77,10,信号
32,600529,山东药玻,2021-09-02,33.937,2021-09-09,30.825,9500,-9.2618%,-29875.23,5,止损
33,600690,海尔智家,2021-09-02,26.371,2021-09-15,23.566,18900,-10.7258%,-53485.80,9,止损
34,000776,广发证券,2021-09-03,20.763,2021-09-22,20.343,20900,-2.1234%,-9219.12,11,信号
35,000875,电投绿能,2021-09-06,7.254,2021-10-13,5.907,68900,-18.6456%,-93232.75,10,止损
36,300443,金雷股份,2021-09-06,43.333,2021-09-10,39.311,11500,-9.3708%,-46720.39,4,止损
37,300715,凯伦股份,2021-09-06,27.297,2021-09-17,23.851,17200,-12.7100%,-59703.73,9,止损
38,002745,木林森,2021-09-08,17.953,2021-09-14,16.266,27800,-9.4879%,-47377.27,4,止损
39,300073,当升科技,2021-09-08,84.215,2021-09-28,81.322,5900,-3.5315%,-17555.67,12,信号
40,300382,斯莱克,2021-09-08,30.959,2021-09-22,28.56,16100,-7.8435%,-39115.25,8,信号
41,002091,江苏国泰,2021-09-09,13.287,2021-09-24,12.594,23900,-5.3101%,-16870.54,9,信号
42,300079,数码视讯,2021-09-09,11.086,2021-09-17,9.965,45100,-10.1978%,-51010.37,6,止损
43,600691,潞化科技,2021-09-10,5.903,2021-09-30,5.777,76500,-2.2296%,-10073.52,12,信号
44,000676,智度股份,2021-09-13,8.004,2021-09-23,7.356,62400,-8.1838%,-40894.47,6,止损
45,002266,浙富控股,2021-09-13,6.935,2021-09-17,6.599,72000,-4.9508%,-24734.45,4,信号
46,300327,中颖电子,2021-09-13,67.611,2021-09-16,60.775,7300,-10.2009%,-50372.80,3,止损
47,300491,通合科技,2021-09-14,19.512,2021-09-22,17.093,25600,-12.4816%,-62377.08,4,止损
48,000970,中科三环,2021-09-15,12.564,2021-09-17,11.658,39700,-7.3045%,-36453.42,2,止损
49,000565,渝三峡Ａ,2021-09-16,7.499,2021-09-24,7.051,66600,-6.0587%,-30273.04,4,信号
50,002141,贤丰控股,2021-09-16,6.753,2021-09-28,5.637,74000,-16.6114%,-83056.88,6,止损
51,300080,易成新能,2021-09-16,7.604,2021-09-27,6.817,65700,-10.4425%,-52193.41,5,止损
52,300129,泰胜风能,2021-09-16,10.115,2021-09-30,10.075,49400,-0.4959%,-2479.39,8,信号
53,002046,国机精工,2021-09-17,13.443,2021-09-30,11.23,37100,-16.5410%,-82535.35,7,止损
54,002109,ST兴化,2021-09-17,7.224,2021-09-24,6.397,69200,-11.5344%,-57686.52,3,止损
55,300005,探路者,2021-09-17,11.782,2021-09-24,10.611,42400,-10.0307%,-50133.43,3,止损
56,300967,晓鸣股份,2021-09-17,18.764,2021-10-18,22.144,21900,17.8925%,73564.09,14,信号
57,600299,安迪苏,2021-09-17,11.776,2021-10-08,11.194,42400,-5.0329%,-25141.93,8,信号
58,002267,陕天然气,2021-09-22,7.264,2021-09-28,6.787,68800,-6.6607%,-33302.65,4,止损
59,002380,科远智慧,2021-09-22,13.378,2021-10-14,13.244,30200,-1.0955%,-4427.99,11,信号
60,002534,西子洁能,2021-09-22,22.348,2021-10-11,20.597,22300,-7.9293%,-39536.66,8,信号
