日期,等权净值,当日在持仓位数
2021-08-17,1.000000,
2021-08-18,1.018046,
2021-08-19,1.011548,
2021-08-20,1.014751,
2021-08-23,1.041456,
2021-08-24,1.037789,
2021-08-25,1.049124,
2021-08-26,1.046836,
2021-08-27,1.051910,
2021-08-30,1.068828,
2021-08-31,1.069796,
2021-09-01,1.040811,
2021-09-02,1.062397,
2021-09-03,1.045813,
2021-09-06,1.051021,
2021-09-07,1.061277,
2021-09-08,1.060011,
2021-09-09,1.067703,
2021-09-10,1.063007,
2021-09-13,1.083741,
2021-09-14,1.070923,
2021-09-15,1.083536,
2021-09-16,1.076502,
2021-09-17,1.079513,
2021-09-22,1.095193,
2021-09-23,1.098244,
2021-09-24,1.066213,
2021-09-27,1.029330,
2021-09-28,1.029767,
2021-09-29,0.994868,
2021-09-30,1.015536,
2021-10-08,1.023127,
2021-10-11,1.012622,
2021-10-12,0.996994,
2021-10-13,0.977384,
2021-10-14,0.980816,
2021-10-15,0.970218,
2021-10-18,0.981651,
2021-10-19,0.982007,
2021-10-20,0.977059,
2021-10-21,0.971501,
2021-10-22,0.961715,
2021-10-25,0.967240,
2021-10-26,0.953958,
2021-10-27,0.941989,
2021-10-28,0.942355,
2021-10-29,0.959497,
2021-11-01,0.969804,
2021-11-02,0.965458,
2021-11-03,0.973526,
2021-11-04,0.995405,
2021-11-05,0.986037,
2021-11-08,0.981614,
2021-11-09,0.986656,
2021-11-10,0.986608,
2021-11-11,0.989522,
2021-11-12,0.993386,
2021-11-15,0.992569,
2021-11-16,0.983159,
2021-11-17,0.995352,
2021-11-18,0.988468,
2021-11-19,0.992264,
2021-11-22,0.998211,
2021-11-23,1.002424,
2021-11-24,1.007202,
2021-11-25,1.004756,
2021-11-26,1.008024,
2021-11-29,1.011940,
2021-11-30,1.009847,
2021-12-01,1.012767,
2021-12-02,0.997386,
2021-12-03,0.995994,
2021-12-06,0.976805,
2021-12-07,0.968585,
2021-12-08,0.978233,
2021-12-09,0.976404,
2021-12-10,0.976230,
2021-12-13,0.978298,
2021-12-14,0.980257,
2021-12-15,0.976477,
2021-12-16,0.986351,
2021-12-17,0.980933,
2021-12-20,0.975148,
2021-12-21,0.988626,
2021-12-22,0.989449,
2021-12-23,0.977746,
2021-12-24,0.963065,
2021-12-27,0.964266,
2021-12-28,0.966341,
2021-12-29,0.959230,
2021-12-30,0.965574,
2021-12-31,0.967230,
2022-01-04,0.984387,
2022-01-05,0.970926,
2022-01-06,0.981004,
2022-01-07,0.966844,
2022-01-10,0.972570,
2022-01-11,0.961415,
2022-01-12,0.967013,
2022-01-13,0.964749,
2022-01-14,0.955726,
2022-01-17,0.969240,
2022-01-18,0.956842,
2022-01-19,0.968342,
2022-01-20,0.953523,
2022-01-21,0.933327,
2022-01-24,0.931295,
2022-01-25,0.892010,
2022-01-26,0.883026,
2022-01-27,0.842297,
2022-01-28,0.845755,
2022-02-07,0.867535,
2022-02-08,0.886668,
2022-02-09,0.896292,
2022-02-10,0.913145,
2022-02-11,0.908247,
2022-02-14,0.901733,
2022-02-15,0.892448,
2022-02-16,0.904346,
2022-02-17,0.886765,
2022-02-18,0.895314,
2022-02-21,0.906798,
2022-02-22,0.904166,
2022-02-23,0.894021,
2022-02-24,0.865939,
2022-02-25,0.867569,
2022-02-28,0.871482,
2022-03-01,0.869536,
2022-03-02,0.886230,
2022-03-03,0.903066,
2022-03-04,0.883747,
2022-03-07,0.875190,
2022-03-08,0.841578,
2022-03-09,0.831847,
2022-03-10,0.842023,
2022-03-11,0.824092,
2022-03-14,0.789340,
2022-03-15,0.766690,
2022-03-16,0.787466,
2022-03-17,0.803312,
2022-03-18,0.820771,
2022-03-21,0.829660,
2022-03-22,0.817753,
2022-03-23,0.804394,
2022-03-24,0.803624,
2022-03-25,0.801052,
2022-03-28,0.794599,
2022-03-29,0.782840,
2022-03-30,0.797180,
2022-03-31,0.801630,
2022-04-01,0.789665,
2022-04-06,0.795852,
2022-04-07,0.775416,
2022-04-08,0.778153,
2022-04-11,0.774677,
2022-04-12,0.778050,
2022-04-13,0.771378,
2022-04-14,0.764772,
2022-04-15,0.745292,
2022-04-18,0.744009,
2022-04-19,0.733052,
2022-04-20,0.717327,
2022-04-21,0.685524,
2022-04-22,0.680552,
2022-04-25,0.641682,
2022-04-26,0.624871,
2022-04-27,0.595727,
2022-04-28,0.593940,
2022-04-29,0.613470,
2022-05-05,0.630245,
2022-05-06,0.632638,
2022-05-09,0.642528,
2022-05-10,0.658722,
2022-05-11,0.653549,
2022-05-12,0.658430,
2022-05-13,0.668907,
2022-05-16,0.676603,
2022-05-17,0.674928,
2022-05-18,0.664612,
2022-05-19,0.663934,
2022-05-20,0.667607,
2022-05-23,0.674085,
2022-05-24,0.646312,
2022-05-25,0.654563,
2022-05-26,0.657603,
2022-05-27,0.660409,
2022-05-30,0.664652,
2022-05-31,0.670023,
2022-06-01,0.665926,
2022-06-02,0.662989,
2022-06-06,0.673371,
2022-06-07,0.674553,
2022-06-08,0.678181,
2022-06-09,0.662018,
2022-06-10,0.677361,
2022-06-13,0.680326,
2022-06-14,0.681050,
2022-06-15,0.679473,
2022-06-16,0.681567,
2022-06-17,0.691502,
2022-06-20,0.698365,
2022-06-21,0.691284,
2022-06-22,0.687640,
2022-06-23,0.700227,
2022-06-24,0.710785,
2022-06-27,0.713722,
2022-06-28,0.724579,
2022-06-29,0.699332,
2022-06-30,0.704537,
2022-07-01,0.701309,
