序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1,000001,平安银行,2023-01-05,12.198,2023-02-01,12.816,4.9572%,5.0622%,14,信号
2,000001,平安银行,2024-04-19,8.791,2024-05-31,9.212,4.6840%,4.7888%,27,信号
3,000001,平安银行,2026-04-28,11.005,2026-05-13,10.885,-1.1978%,-1.0990%,8,信号
4,000006,深振业Ａ,2024-09-04,4.282,2024-11-07,8.596,100.5331%,100.7337%,39,信号
5,000006,深振业Ａ,2026-05-13,10.635,2026-05-18,9.785,-8.0862%,-7.9942%,3,止损
6,000007,全新好,2024-07-03,5.303,2024-07-17,5.197,-2.0828%,-1.9849%,10,信号
7,000007,全新好,2024-11-07,7.704,2024-11-14,7.576,-1.7552%,-1.6568%,5,信号
8,000007,全新好,2025-12-16,11.796,2025-12-29,11.354,-3.8397%,-3.7435%,9,信号
9,000008,神州高铁,2023-05-05,2.531,2023-05-23,2.399,-5.3279%,-5.2332%,12,信号
10,000008,神州高铁,2023-08-21,2.531,2023-08-24,2.369,-6.5113%,-6.4177%,3,信号
11,000009,中国宝安,2025-06-10,8.204,2025-06-19,7.956,-3.1208%,-3.0239%,7,信号
12,000009,中国宝安,2025-06-24,8.514,2025-07-11,8.806,3.3184%,3.4218%,13,信号
13,000009,中国宝安,2025-07-29,9.325,2025-08-06,9.105,-2.4485%,-2.3509%,6,信号
14,000009,中国宝安,2025-09-26,12.186,2025-10-16,11.564,-5.1980%,-5.1032%,8,信号
15,000011,深物业A,2023-08-14,9.733,2023-09-06,9.723,-0.1998%,-0.1000%,17,信号
16,000011,深物业A,2025-08-12,9.585,2025-08-25,9.405,-1.9708%,-1.8727%,9,信号
17,000012,南玻Ａ,2026-02-26,5.164,2026-03-06,4.769,-7.7414%,-7.6491%,6,信号
18,000014,沙河股份,2023-05-05,9.849,2023-05-24,9.949,0.9154%,1.0164%,13,信号
19,000014,沙河股份,2023-06-07,11.25,2023-06-26,10.979,-2.5075%,-2.4100%,11,信号
20,000014,沙河股份,2025-03-12,11.005,2025-04-01,10.675,-3.1031%,-3.0061%,14,信号
21,000016,ST康佳A,2025-08-12,5.403,2025-09-03,5.587,3.3117%,3.4151%,16,信号
22,000017,深中华A,2022-06-17,4.042,2022-07-01,4.458,10.1754%,10.2857%,10,信号
23,000019,深粮控股,2022-03-22,7.694,2022-03-24,6.747,-12.3991%,-12.3114%,2,止损
24,000020,深华发Ａ,2022-06-22,9.515,2022-07-05,9.695,1.7941%,1.8960%,9,信号
25,000020,深华发Ａ,2024-01-16,13.857,2024-02-02,13.873,0.0163%,0.1164%,13,信号
26,000021,深科技,2025-08-13,19.19,2025-09-04,20.12,4.7434%,4.8482%,16,信号
27,000021,深科技,2026-02-25,33.457,2026-03-04,30.445,-9.0935%,-9.0025%,5,止损
28,000025,特力Ａ,2023-10-30,16.667,2023-11-27,16.391,-1.7574%,-1.6591%,20,信号
29,000025,特力Ａ,2025-04-01,17.839,2025-04-08,15.742,-11.8422%,-11.7540%,4,止损
30,000025,特力Ａ,2025-08-12,17.699,2025-09-04,17.581,-0.7640%,-0.6647%,17,信号
