日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10097228.77
2021-08-19,9938360.25
2021-08-20,10041746.81
2021-08-23,9990766.98
2021-08-24,9846957.17
2021-08-25,9932955.9
2021-08-26,10161217.77
2021-08-27,10177543.57
2021-08-30,10454847.93
2021-08-31,10292256.46
2021-09-01,9996165.92
2021-09-02,10187102.37
2021-09-03,9733859.56
2021-09-06,9450271.51
2021-09-07,9775318.95
2021-09-08,9846789.11
2021-09-09,9712652.15
2021-09-10,9656644.98
2021-09-13,10024395.91
2021-09-14,9852144.54
2021-09-15,9942452.49
2021-09-16,9629894.49
2021-09-17,9516685.02
2021-09-22,9841549.69
2021-09-23,9574406.9
2021-09-24,9158573.75
2021-09-27,8477465.17
2021-09-28,8828108.74
2021-09-29,8632384.91
2021-09-30,8758269.23
2021-10-08,8414537.53
2021-10-11,8219795.92
2021-10-12,8116702.44
2021-10-13,7882973.97
2021-10-14,7702595.32
2021-10-15,7726355.81
2021-10-18,7755361.11
2021-10-19,7794948.11
2021-10-20,7754244.27
2021-10-21,7832609.31
2021-10-22,7724758.61
2021-10-25,7845241.36
2021-10-26,7662994.75
2021-10-27,7682836.59
2021-10-28,7656875.47
2021-10-29,7691997.5
2021-11-01,7709096.33
2021-11-02,7536487.05
2021-11-03,7482759.98
2021-11-04,7868331.15
2021-11-05,7939207.11
2021-11-08,7991989.11
2021-11-09,8005374.64
2021-11-10,8088778.64
2021-11-11,8228422.74
2021-11-12,8259372.67
2021-11-15,8141031.53
2021-11-16,8120974.38
2021-11-17,8174639.23
2021-11-18,7879370.41
2021-11-19,7980278.23
2021-11-22,8339351.83
2021-11-23,8577672.59
2021-11-24,8969886.15
2021-11-25,8719970.72
2021-11-26,8624748.54
2021-11-29,8901145.43
2021-11-30,9386379.53
2021-12-01,9657233.21
2021-12-02,9584693.22
2021-12-03,9210163.01
2021-12-06,9226567.43
2021-12-07,8983650.21
2021-12-08,8974591.53
2021-12-09,9086148.28
2021-12-10,9313163.15
2021-12-13,9314911.78
2021-12-14,9657075.4
2021-12-15,9090072.57
2021-12-16,10286402.85
2021-12-17,10912949.78
2021-12-20,11461750.38
2021-12-21,11091524.73
2021-12-22,10760582.12
2021-12-23,9963683.05
2021-12-24,9714096.15
2021-12-27,9683330.96
2021-12-28,9420553.77
2021-12-29,9438811.44
2021-12-30,9833612.42
2021-12-31,9658224.56
2022-01-04,9696025.46
2022-01-05,9320016.83
2022-01-06,8897124.59
2022-01-07,8580599.43
2022-01-10,8450268.53
2022-01-11,8563437.95
2022-01-12,9094631.63
2022-01-13,9334343.71
2022-01-14,9422380.01
2022-01-17,9719407.8
2022-01-18,9392355.73
2022-01-19,9288692.89
2022-01-20,9829525.58
2022-01-21,9370096.79
2022-01-24,8899754.26
2022-01-25,8434437.5
2022-01-26,8284562.45
2022-01-27,7695592.46
2022-01-28,7474948.98
2022-02-07,7590412.71
2022-02-08,7570371.83
2022-02-09,7763263.16
2022-02-10,7979453.15
2022-02-11,8045295.67
2022-02-14,7889184.37
2022-02-15,7499057.39
2022-02-16,7651918.98
2022-02-17,7272668.39
2022-02-18,7335556.71
2022-02-21,7697429.44
2022-02-22,7091703.78
2022-02-23,7188488.08
2022-02-24,6824683.38
2022-02-25,6469357.43
2022-02-28,6338377.45
2022-03-01,6788300.69
2022-03-02,7016801.69
2022-03-03,7440089.24
2022-03-04,7030005.89
2022-03-07,7022257.13
2022-03-08,6524116.02
2022-03-09,6643228.19
2022-03-10,6819245.55
2022-03-11,6995074.73
2022-03-14,6728792.49
2022-03-15,6787298.46
2022-03-16,7158683.54
2022-03-17,7590513.51
2022-03-18,7510400.51
2022-03-21,7841371.41
2022-03-22,7372765.01
2022-03-23,6998827.04
2022-03-24,7079792.16
2022-03-25,6869834.0
2022-03-28,6702423.5
2022-03-29,6516425.89
2022-03-30,6673280.24
2022-03-31,6741869.34
2022-04-01,6497602.26
2022-04-06,6478043.77
2022-04-07,6123869.66
2022-04-08,6103690.18
2022-04-11,5901201.62
2022-04-12,5877469.74
2022-04-13,5794689.0
2022-04-14,5547876.56
2022-04-15,5187605.45
2022-04-18,4908153.72
2022-04-19,4627734.64
2022-04-20,4587374.07
2022-04-21,4353067.75
2022-04-22,4231324.52
2022-04-25,3923317.17
2022-04-26,3651680.68
2022-04-27,3382426.78
2022-04-28,3260943.24
2022-04-29,3374999.57
2022-05-05,3598312.28
2022-05-06,3642096.37
2022-05-09,3742764.52
2022-05-10,4013003.72
2022-05-11,4038716.26
2022-05-12,3907541.66
2022-05-13,3831683.23
2022-05-16,4001576.89
2022-05-17,3693080.26
2022-05-18,3649166.06
2022-05-19,3604512.03
2022-05-20,3566250.03
2022-05-23,3603069.11
2022-05-24,3539495.12
2022-05-25,3488801.02
2022-05-26,3442652.74
2022-05-27,3567517.83
2022-05-30,3654299.53
2022-05-31,3747994.8
2022-06-01,3685239.44
2022-06-02,3127034.6
2022-06-06,3196112.2
2022-06-07,3196081.6
2022-06-08,3109570.22
2022-06-09,2995640.16
2022-06-10,3258993.79
2022-06-13,3192918.98
2022-06-14,3219220.38
2022-06-15,3287832.62
2022-06-16,3152280.95
2022-06-17,3207494.93
2022-06-20,3308119.68
2022-06-21,3289954.68
2022-06-22,2718170.16
2022-06-23,2761657.52
2022-06-24,2755724.52
2022-06-27,2676382.52
2022-06-28,2718899.78
2022-06-29,2384549.4
2022-06-30,2320008.61
2022-07-01,2240367.01
2022-07-04,2268411.34
