序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,002882,金龙羽,2021-08-18,11.606,2021-08-30,12.124,43000,4.3600%,21769.62,8,信号
2,600361,创新新材,2021-08-18,6.411,2021-08-30,5.695,77900,-11.2576%,-56252.07,8,信号
3,002599,盛通股份,2021-08-19,7.294,2021-09-06,8.976,68500,22.9363%,114650.53,12,信号
4,002941,新疆交建,2021-08-19,13.187,2021-08-25,10.465,37900,-20.7202%,-103605.36,4,信号
5,002986,宇新股份,2021-08-19,21.351,2021-08-30,21.941,23400,2.6623%,13307.77,7,信号
6,003039,顺控发展,2021-08-19,39.168,2021-08-24,33.191,12700,-15.3427%,-76356.94,3,信号
7,002300,太阳电缆,2021-08-20,6.136,2021-08-31,6.03,81400,-1.8271%,-9130.31,7,信号
8,605399,晨光新材,2021-08-20,20.331,2021-09-02,21.434,24500,5.3204%,26514.74,9,信号
9,002939,长城证券,2021-08-23,12.725,2021-08-30,10.354,39200,-18.7176%,-93416.68,5,信号
10,600773,西藏城投,2021-08-23,28.36,2021-09-07,30.131,17600,6.1376%,30650.55,11,信号
11,002369,卓翼科技,2021-08-24,9.575,2021-09-01,7.196,52200,-24.9152%,-124589.42,6,信号
12,300809,华辰装备,2021-08-25,26.642,2021-09-13,28.971,18700,8.6300%,43017.23,8,信号
13,601882,海天精工,2021-08-25,30.139,2021-09-02,26.441,16500,-12.3584%,-61488.55,6,信号
14,002248,华东数控,2021-08-26,10.225,2021-09-09,11.834,48800,15.6198%,77979.49,10,信号
15,002897,意华股份,2021-08-26,36.568,2021-09-09,40.56,13600,10.8042%,53759.05,10,信号
16,003038,鑫铂股份,2021-08-26,32.021,2021-09-09,33.718,15600,5.1948%,25962.46,10,信号
17,600641,先导基电,2021-08-26,27.667,2021-09-02,21.172,18000,-23.5502%,-117339.08,5,信号
18,600961,株冶集团,2021-08-26,12.616,2021-09-06,12.494,39600,-1.0704%,-5350.36,7,信号
19,002256,兆新股份,2021-08-31,6.383,2021-09-08,5.747,78300,-10.0547%,-50278.79,6,信号
20,600243,ST海华,2021-08-31,6.003,2021-09-09,5.997,83200,-0.1998%,-998.40,7,信号
21,603505,金石资源,2021-08-31,15.342,2021-09-24,17.161,32500,11.7497%,58613.63,16,信号
22,000815,美利云,2021-09-01,7.944,2021-09-10,6.817,62900,-14.2774%,-71376.42,7,信号
23,002895,川恒股份,2021-09-01,30.836,2021-09-24,36.093,16200,16.9295%,84613.72,15,信号
24,600096,云天化,2021-09-01,19.555,2021-09-24,24.503,25500,25.1779%,125611.50,15,信号
25,000540,ST中天,2021-09-03,3.272,2021-09-14,2.849,152800,-13.0182%,-65111.15,7,信号
26,002350,北京科锐,2021-09-03,9.595,2021-09-13,8.006,52100,-16.6424%,-83234.98,6,信号
27,002774,快意电梯,2021-09-03,10.975,2021-09-10,7.906,45500,-28.0383%,-140089.07,5,信号
28,000791,甘肃能源,2021-09-07,5.233,2021-09-17,5.177,95500,-1.1539%,-5769.16,8,信号
29,600163,中闽能源,2021-09-07,7.801,2021-09-17,7.263,64000,-6.9837%,-34884.10,8,信号
30,600863,华能蒙电,2021-09-07,2.412,2021-09-17,2.45,207200,1.4559%,7280.60,8,信号
31,603507,振江股份,2021-09-07,21.655,2021-09-13,17.865,23000,-17.5832%,-87618.94,4,信号
32,600688,上海石化,2021-09-08,4.442,2021-09-27,4.498,112500,1.1489%,5744.25,11,信号
33,000681,视觉中国,2021-09-09,16.204,2021-09-15,14.599,30800,-9.9974%,-49920.71,4,信号
34,000852,石化机械,2021-09-09,7.704,2021-09-27,7.706,64900,-0.0702%,-351.11,10,信号
35,600618,氯碱化工,2021-09-09,14.517,2021-09-27,15.572,34400,7.1597%,35772.91,10,信号
36,600725,云维股份,2021-09-09,4.932,2021-09-22,4.208,101300,-14.7751%,-73861.90,7,信号
37,603897,长城科技,2021-09-09,42.841,2021-09-17,38.621,11600,-9.9421%,-49432.95,6,信号
38,600367,红星发展,2021-09-10,21.951,2021-09-23,21.409,22700,-2.5652%,-12788.27,7,信号
39,600740,山西焦化,2021-09-10,10.84,2021-09-17,9.58,46100,-11.7134%,-58566.38,5,信号
40,000816,智慧农业,2021-09-13,4.422,2021-09-23,3.788,113000,-14.4247%,-72117.75,6,信号
41,002748,世龙实业,2021-09-13,12.081,2021-09-23,11.069,27800,-8.4648%,-28443.58,6,信号
42,600683,京投发展,2021-09-13,6.873,2021-09-28,5.997,72700,-12.8383%,-64184.66,9,信号
43,603351,威尔药业,2021-09-13,25.273,2021-10-11,26.077,19700,3.0795%,15339.41,13,信号
44,002529,海源复材,2021-09-15,22.621,2021-09-29,20.7,17100,-8.5864%,-33230.78,8,信号
45,002667,ST威领,2021-09-15,36.028,2021-09-24,28.026,13800,-22.2883%,-110869.92,5,信号
46,000537,绿发电力,2021-09-17,11.261,2021-10-13,13.328,44400,18.2440%,91260.23,11,信号
47,600470,六国化工,2021-09-22,10.605,2021-09-28,8.446,47100,-20.4423%,-102162.28,4,信号
48,603948,建业股份,2021-09-22,28.344,2021-10-11,24.958,17600,-12.0363%,-60074.09,8,信号
49,603985,恒润股份,2021-09-22,27.529,2021-10-11,25.179,18100,-8.6256%,-43000.31,8,信号
50,000731,四川美丰,2021-09-23,13.177,2021-09-30,9.675,37900,-26.6465%,-133137.05,5,信号
51,000912,泸天化,2021-09-23,8.654,2021-09-28,7.106,57700,-17.9677%,-89767.37,3,信号
52,002165,红宝丽,2021-09-23,9.735,2021-09-29,7.436,51300,-23.6882%,-118357.85,4,信号
53,300402,宝色股份,2021-09-23,33.977,2021-10-11,29.735,14700,-12.5720%,-62823.55,7,信号
54,002153,石基信息,2021-09-24,12.905,2021-10-13,13.666,38700,5.7887%,28925.47,8,信号
55,600021,上海电力,2021-09-24,11.861,2021-10-11,10.69,42100,-9.9652%,-49785.37,6,信号
56,600163,中闽能源,2021-09-24,9.922,2021-10-12,7.573,16200,-23.7485%,-38191.41,7,信号
57,600821,金开新能,2021-09-24,8.835,2021-10-13,8.017,56500,-9.3537%,-46717.15,8,信号
58,600863,华能蒙电,2021-09-24,3.643,2021-10-14,3.119,137200,-14.4531%,-72271.76,9,信号
59,600032,浙江新能,2021-09-27,19.391,2021-10-11,14.754,25700,-23.9900%,-119611.48,5,信号
60,600170,上海建工,2021-09-27,3.732,2021-10-12,3.048,133900,-18.3939%,-91959.86,6,信号
61,600548,深高速,2021-09-27,9.535,2021-10-12,8.746,52400,-8.3681%,-41829.88,6,信号
62,000880,潍柴重机,2021-09-29,6.799,2021-10-11,6.122,73500,-10.0535%,-50268.21,3,信号
63,000993,闽东电力,2021-09-29,14.627,2021-10-15,15.172,34100,3.6229%,18079.82,7,信号
64,600268,国电南自,2021-10-11,7.652,2021-10-14,5.526,65300,-27.8510%,-139231.19,3,信号
65,000695,滨海能源,2021-10-12,13.027,2021-10-20,10.775,38300,-17.3697%,-86703.56,6,信号
66,000586,汇源通信,2021-10-13,9.405,2021-10-22,9.405,53100,-0.0936%,-467.81,7,信号
67,002612,朗姿股份,2021-10-13,33.897,2021-10-25,33.523,14700,-1.2013%,-5989.08,8,信号
68,603619,中曼石油,2021-10-13,14.334,2021-10-25,14.2,34800,-1.0357%,-5168.98,8,信号
69,605162,新中港,2021-10-13,16.998,2021-10-22,13.063,29400,-23.2261%,-116131.79,7,信号
70,600661,昂立教育,2021-10-18,13.267,2021-10-27,11.674,37600,-12.0915%,-60345.76,7,信号
71,600071,凤凰光学,2021-10-20,39.95,2021-11-17,51.864,12500,29.6928%,148352.29,20,信号
72,600382,广东明珠,2021-10-20,2.507,2021-11-03,2.795,199400,11.3493%,56768.80,10,信号
73,002922,伊戈尔,2021-10-21,23.511,2021-11-04,24.547,21200,4.3020%,21453.18,10,信号
74,600277,ST亿利,2021-10-21,4.589,2021-11-03,4.775,108900,3.9341%,19671.27,9,信号
75,603045,福达合金,2021-10-25,23.218,2021-10-28,17.387,21500,-25.1864%,-125787.97,3,信号
76,000416,ST民控,2021-10-26,4.972,2021-11-03,4.108,100500,-17.4691%,-87342.56,6,信号
77,603922,ST金鸿顺,2021-10-27,24.212,2021-11-02,19.926,20600,-17.7844%,-88747.62,4,信号
