日期,权益(元)
2021-08-17,10000000.0
2021-08-18,10097228.77
2021-08-19,9938360.25
2021-08-20,9956920.46
2021-08-23,9951053.19
2021-08-24,9820430.32
2021-08-25,9788633.77
2021-08-26,9938228.25
2021-08-27,10001201.71
2021-08-30,10001550.77
2021-08-31,10000066.74
2021-09-01,9962966.25
2021-09-02,10083833.08
2021-09-03,9938347.58
2021-09-06,9834698.25
2021-09-07,9828097.34
2021-09-08,9937724.72
2021-09-09,9739587.48
2021-09-10,9804402.57
2021-09-13,9868580.4
2021-09-14,9736111.47
2021-09-15,9768504.79
2021-09-16,9686246.97
2021-09-17,9734009.61
2021-09-22,9916166.49
2021-09-23,9920112.5
2021-09-24,9742692.09
2021-09-27,9440840.92
2021-09-28,9463783.06
2021-09-29,9377267.77
2021-09-30,9359821.09
2021-10-08,9357645.78
2021-10-11,9302840.11
2021-10-12,9253564.12
2021-10-13,9202417.39
2021-10-14,9096405.62
2021-10-15,9048920.98
2021-10-18,9067222.28
2021-10-19,9048422.28
2021-10-20,9031148.54
2021-10-21,9158991.59
2021-10-22,9114201.16
2021-10-25,9128388.0
2021-10-26,9065513.39
2021-10-27,9039730.64
2021-10-28,8990601.46
2021-10-29,8956187.21
2021-11-01,8914170.24
2021-11-02,8830448.71
2021-11-03,8916439.55
2021-11-04,9053748.48
2021-11-05,9151973.84
2021-11-08,9157909.2
2021-11-09,9098669.26
2021-11-10,9141489.56
2021-11-11,9234039.78
2021-11-12,9289217.8
2021-11-15,9297165.98
2021-11-16,9251846.42
2021-11-17,9264631.95
2021-11-18,9124602.53
2021-11-19,9217523.14
2021-11-22,9318404.92
2021-11-23,9423516.29
2021-11-24,9558432.25
2021-11-25,9649782.12
2021-11-26,9641093.95
2021-11-29,9747886.61
2021-11-30,9900850.86
2021-12-01,9785433.64
2021-12-02,9690171.29
2021-12-03,9416812.49
2021-12-06,9323339.73
2021-12-07,9360106.58
2021-12-08,9312451.99
2021-12-09,9380905.4
2021-12-10,9539541.11
2021-12-13,9592654.34
2021-12-14,9621180.14
2021-12-15,9526465.77
2021-12-16,9655754.73
2021-12-17,10053443.39
2021-12-20,10641188.92
2021-12-21,10725192.5
2021-12-22,10151559.72
2021-12-23,9344227.78
2021-12-24,9380304.95
2021-12-27,9134844.31
2021-12-28,8933787.68
2021-12-29,8994635.37
2021-12-30,9249916.03
2021-12-31,9107380.56
2022-01-04,9145467.87
2022-01-05,8961443.46
2022-01-06,8615629.12
2022-01-07,8558880.1
2022-01-10,8351757.98
2022-01-11,8242462.51
2022-01-12,8521341.96
2022-01-13,8543712.87
2022-01-14,8589798.0
2022-01-17,8767638.53
2022-01-18,8364987.56
2022-01-19,8188816.09
2022-01-20,8469713.76
2022-01-21,8343388.42
2022-01-24,8099303.78
2022-01-25,7984970.83
2022-01-26,7820018.84
2022-01-27,7549582.64
2022-01-28,7227142.64
2022-02-07,7258385.39
2022-02-08,7223710.5
2022-02-09,7224449.83
2022-02-10,7247531.86
2022-02-11,7195030.81
2022-02-14,7086867.17
2022-02-15,6733615.58
2022-02-16,6876286.2
2022-02-17,6662201.46
2022-02-18,6596710.01
2022-02-21,6754465.33
2022-02-22,6725086.59
2022-02-23,6830033.1
2022-02-24,6414871.03
2022-02-25,6145259.88
2022-02-28,5835932.28
2022-03-01,5796264.43
2022-03-02,5902744.33
2022-03-03,6172485.54
2022-03-04,6042212.31
2022-03-07,6014613.79
2022-03-08,5360307.18
2022-03-09,5009737.75
2022-03-10,5054829.52
2022-03-11,5196853.4
2022-03-14,5097187.85
2022-03-15,5105158.71
2022-03-16,5375787.99
2022-03-17,5501898.98
2022-03-18,5376297.0
2022-03-21,5634194.88
2022-03-22,5693932.2
2022-03-23,5829775.85
2022-03-24,5954742.68
2022-03-25,5849104.93
2022-03-28,5685152.71
2022-03-29,5604744.72
2022-03-30,5626922.8
2022-03-31,5620700.51
2022-04-01,5563276.17
2022-04-06,5421474.57
2022-04-07,5182220.45
2022-04-08,5196963.02
2022-04-11,5000590.65
2022-04-12,4986924.57
2022-04-13,5078800.84
2022-04-14,4705920.74
2022-04-15,4429648.84
2022-04-18,4125974.73
2022-04-19,3903302.05
2022-04-20,3857594.42
2022-04-21,3620762.35
2022-04-22,3411661.55
2022-04-25,3245078.59
2022-04-26,2922616.32
2022-04-27,2681181.63
2022-04-28,2689273.14
2022-04-29,2844584.65
2022-05-05,3048013.02
2022-05-06,3140919.43
2022-05-09,3245104.81
2022-05-10,3370001.9
2022-05-11,3284982.49
2022-05-12,3267177.02
2022-05-13,3193854.21
2022-05-16,3095846.78
2022-05-17,2966443.17
2022-05-18,3012727.38
2022-05-19,2855973.9
2022-05-20,2887923.46
2022-05-23,2778660.53
2022-05-24,2733609.52
2022-05-25,2828292.88
2022-05-26,2704051.77
2022-05-27,2700553.95
2022-05-30,2714353.56
2022-05-31,2667952.47
2022-06-01,2630474.38
2022-06-02,2223251.42
2022-06-06,2109749.38
2022-06-07,1987576.26
2022-06-08,1979229.8
2022-06-09,1902203.1
2022-06-10,2227203.06
2022-06-13,2175546.83
2022-06-14,2253139.53
2022-06-15,2344861.3
2022-06-16,2295841.53
2022-06-17,2197319.92
2022-06-20,2233724.04
2022-06-21,2173662.39
2022-06-22,2224550.5
2022-06-23,2255308.73
2022-06-24,2300886.44
2022-06-27,2415056.88
2022-06-28,2549496.87
2022-06-29,2470237.44
2022-06-30,2379828.99
2022-07-01,2271118.31
2022-07-04,2192469.38
