序号,代码,名称,买入日,买入价,卖出日,卖出价,股数,净收益率,盈亏(元),持有交易日,卖出原因
1,002882,金龙羽,2021-08-18,11.606,2021-08-20,12.334,43000,6.1668%,30790.59,2,信号
2,600361,创新新材,2021-08-18,6.411,2021-08-20,5.555,77900,-13.4380%,-67147.17,2,信号
3,002599,盛通股份,2021-08-19,7.294,2021-08-25,8.026,68500,9.9308%,49640.59,4,信号
4,002941,新疆交建,2021-08-19,13.187,2021-08-23,11.584,37900,-12.2394%,-61199.80,2,信号
5,002986,宇新股份,2021-08-19,21.351,2021-08-23,23.481,23400,9.8691%,49331.12,2,信号
6,003039,顺控发展,2021-08-19,39.168,2021-08-23,33.101,12700,-15.5721%,-77498.80,2,信号
7,002300,太阳电缆,2021-08-20,6.136,2021-08-24,6.003,81400,-2.2664%,-11325.92,2,信号
8,605399,晨光新材,2021-08-20,20.331,2021-08-24,20.784,24500,2.1232%,10581.19,2,信号
9,002939,长城证券,2021-08-23,12.725,2021-08-25,11.363,39200,-10.7926%,-53864.26,2,信号
10,600773,西藏城投,2021-08-23,28.36,2021-08-25,28.972,17600,2.0535%,10254.96,2,信号
11,002369,卓翼科技,2021-08-24,9.575,2021-08-26,7.306,52200,-23.7681%,-118853.17,2,信号
12,300809,华辰装备,2021-08-25,26.642,2021-08-27,29.42,18700,10.3165%,51423.82,2,信号
13,601882,海天精工,2021-08-25,30.139,2021-08-27,29.959,16500,-0.6967%,-3466.62,2,信号
14,002248,华东数控,2021-08-26,10.225,2021-08-30,11.294,48800,10.3466%,51653.84,2,信号
15,002897,意华股份,2021-08-26,36.568,2021-08-31,43.238,13600,18.1219%,90170.61,3,信号
16,003038,鑫铂股份,2021-08-26,32.021,2021-08-30,33.061,15600,3.1461%,15723.51,2,信号
17,600641,先导基电,2021-08-26,27.667,2021-08-30,25.99,18000,-6.1547%,-30665.82,2,信号
18,600961,株冶集团,2021-08-26,12.616,2021-08-30,14.103,39600,11.6718%,58341.90,2,信号
19,002256,兆新股份,2021-08-31,6.383,2021-09-02,6.097,78300,-4.5797%,-22901.19,2,信号
20,002599,盛通股份,2021-08-31,10.845,2021-09-02,9.075,46100,-16.4035%,-82054.33,2,信号
21,600243,ST海华,2021-08-31,6.003,2021-09-03,7.096,83200,18.0969%,90430.10,3,信号
22,603505,金石资源,2021-08-31,15.342,2021-09-02,15.678,32500,2.0912%,10431.85,2,信号
23,000815,美利云,2021-09-01,7.944,2021-09-03,8.006,62900,0.6801%,3399.75,2,信号
24,002895,川恒股份,2021-09-01,30.836,2021-09-03,31.685,16200,2.6497%,13243.15,2,信号
25,600096,云天化,2021-09-01,19.555,2021-09-06,19.655,25500,0.4129%,2060.15,3,信号
