序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1,000002,万科Ａ,2024-10-08,10.695,2024-10-10,8.896,-16.9110%,-16.8278%,2,信号
2,000004,国华退,2023-07-18,22.061,2023-07-20,19.73,-10.6551%,-10.5657%,2,信号
3,000004,国华退,2024-09-24,16.668,2024-09-26,14.593,-12.5401%,-12.4525%,2,信号
4,000006,深振业Ａ,2022-12-01,6.329,2022-12-05,7.102,12.1056%,12.2178%,2,信号
5,000006,深振业Ａ,2024-10-23,7.774,2024-10-29,9.375,20.4795%,20.6001%,4,信号
6,000008,神州高铁,2021-12-23,2.901,2021-12-27,2.879,-0.8881%,-0.7889%,2,信号
7,000008,神州高铁,2024-03-12,3.022,2024-03-14,2.669,-11.7661%,-11.6778%,2,信号
8,000008,神州高铁,2024-12-06,4.082,2024-12-10,3.368,-17.5670%,-17.4845%,2,信号
9,000010,ST美丽,2023-08-22,3.502,2023-08-24,3.028,-13.6016%,-13.5151%,2,信号
10,000010,ST美丽,2024-06-25,1.941,2024-06-27,1.519,-21.8060%,-21.7278%,2,信号
11,000010,ST美丽,2024-11-05,3.412,2024-11-07,2.869,-16.0040%,-15.9199%,2,信号
12,000010,ST美丽,2025-07-14,3.982,2025-07-16,3.558,-10.7315%,-10.6422%,2,信号
13,000014,沙河股份,2022-04-06,11.712,2022-04-08,9.676,-17.4641%,-17.3815%,2,信号
14,000016,ST康佳A,2024-08-05,3.372,2024-08-07,2.499,-25.9643%,-25.8902%,2,信号
15,000016,ST康佳A,2024-10-23,4.572,2024-11-05,6.977,52.4300%,52.5826%,9,信号
16,000016,ST康佳A,2025-04-14,5.333,2025-04-16,5.407,1.2981%,1.3995%,2,信号
17,000017,深中华A,2022-06-20,4.782,2022-06-22,4.488,-6.2546%,-6.1608%,2,信号
18,000017,深中华A,2024-01-15,6.673,2024-01-25,12.744,90.7724%,90.9634%,8,信号
19,000017,深中华A,2025-11-24,9.215,2025-11-26,7.916,-14.1784%,-14.0925%,2,信号
20,000020,深华发Ａ,2023-07-11,16.608,2023-07-13,13.223,-20.4605%,-20.3809%,2,信号
21,000020,深华发Ａ,2024-01-18,15.908,2024-01-22,14.023,-11.9373%,-11.8492%,2,信号
22,000020,深华发Ａ,2024-01-29,18.759,2024-01-31,15.182,-19.1486%,-19.0676%,2,信号
23,000020,深华发Ａ,2026-03-23,25.673,2026-03-25,17.771,-30.8477%,-30.7785%,2,信号
24,000023,ST深天,2022-04-07,16.398,2022-04-11,13.983,-14.8136%,-14.7284%,2,信号
25,000025,特力Ａ,2022-05-31,19.426,2022-06-07,19.016,-2.2045%,-2.1066%,4,信号
26,000025,特力Ａ,2025-04-21,20.14,2025-04-23,18.381,-8.8264%,-8.7351%,2,信号
27,000026,飞亚达,2025-07-01,17.289,2025-07-04,18.391,6.2687%,6.3751%,3,信号
28,000029,深深房Ａ,2022-05-06,9.581,2022-05-10,8.612,-10.2049%,-10.1150%,2,信号
29,000032,深桑达Ａ,2024-10-09,18.564,2024-10-11,17.606,-5.2557%,-5.1609%,2,信号
30,000032,深桑达Ａ,2026-06-16,21.481,2026-06-18,23.338,8.5391%,8.6477%,2,信号
31,000037,深南电A,2022-06-22,9.663,2022-06-24,9.883,2.1769%,2.2791%,2,信号
32,000037,深南电A,2022-08-31,10.083,2022-09-02,8.784,-12.9744%,-12.8873%,2,信号
