日期,权益
2021-08-17,10000000.00
2021-08-18,10000000.00
2021-08-19,10022595.60
2021-08-20,10030749.82
2021-08-23,10070519.51
2021-08-24,10096832.63
2021-08-25,10071537.63
2021-08-26,10078537.51
2021-08-27,10060201.31
2021-08-30,10048940.91
2021-08-31,10051236.55
2021-09-01,10087019.95
2021-09-02,10071258.39
2021-09-03,10074980.81
2021-09-06,10094331.23
2021-09-07,10099858.09
2021-09-08,10173120.02
2021-09-09,10117852.86
2021-09-10,10094818.85
2021-09-13,10068837.20
2021-09-14,10055965.20
2021-09-15,10047008.70
2021-09-16,10012708.90
2021-09-17,9999886.20
2021-09-22,10029306.58
2021-09-23,10054332.54
2021-09-24,9962457.76
2021-09-27,9807569.19
2021-09-28,9778635.02
2021-09-29,9615548.47
2021-09-30,9652270.55
2021-10-08,9721504.71
2021-10-11,9702089.92
2021-10-12,9546856.78
2021-10-13,9595227.03
2021-10-14,9633708.88
2021-10-15,9553803.71
2021-10-18,9586780.96
2021-10-19,9634334.41
2021-10-20,9564548.93
2021-10-21,9626039.54
2021-10-22,9497825.61
2021-10-25,9507343.56
2021-10-26,9425696.35
2021-10-27,9185563.31
2021-10-28,9123263.01
2021-10-29,9159607.04
2021-11-01,9203458.97
2021-11-02,9005604.87
2021-11-03,9102997.72
2021-11-04,9170022.47
2021-11-05,9205395.57
2021-11-08,9255794.57
2021-11-09,9322514.17
2021-11-10,9353979.73
2021-11-11,9482736.75
2021-11-12,9440944.45
2021-11-15,9553095.08
2021-11-16,9526209.28
2021-11-17,9539863.90
2021-11-18,9517787.80
2021-11-19,9616127.15
2021-11-22,9618116.83
2021-11-23,9612589.13
2021-11-24,9624813.19
2021-11-25,9639340.08
2021-11-26,9675229.98
2021-11-29,9679659.82
2021-11-30,9679659.82
2021-12-01,9674723.03
2021-12-02,9639821.45
2021-12-03,9666163.85
2021-12-06,9698069.85
2021-12-07,9691478.95
2021-12-08,9716414.18
2021-12-09,9739875.26
2021-12-10,9814284.14
2021-12-13,9834603.57
2021-12-14,9857983.10
2021-12-15,9844219.20
2021-12-16,9805958.88
2021-12-17,9715601.37
2021-12-20,9647613.81
2021-12-21,9672380.31
2021-12-22,9748594.85
2021-12-23,9703245.64
2021-12-24,9622464.37
2021-12-27,9585798.86
2021-12-28,9642176.16
2021-12-29,9639848.14
2021-12-30,9599767.34
2021-12-31,9689376.13
2022-01-04,9562545.33
2022-01-05,9403181.78
2022-01-06,9419514.03
2022-01-07,9285154.89
2022-01-10,9257672.35
2022-01-11,9234004.86
2022-01-12,9272157.66
2022-01-13,9168192.73
2022-01-14,9223393.90
2022-01-17,9303613.16
2022-01-18,9243029.41
2022-01-19,9150699.38
2022-01-20,9117497.49
2022-01-21,9096645.19
2022-01-24,9130960.96
2022-01-25,9008268.70
2022-01-26,8994218.30
2022-01-27,8800601.26
2022-01-28,8838498.55
2022-02-07,8924479.60
2022-02-08,9014246.00
2022-02-09,9246175.97
2022-02-10,9257776.88
2022-02-11,9052833.78
2022-02-14,9128303.74
2022-02-15,9307923.49
2022-02-16,9352804.07
2022-02-17,9357368.87
2022-02-18,9375054.91
2022-02-21,9493567.81
2022-02-22,9425340.31
2022-02-23,9551607.11
2022-02-24,9476353.49
2022-02-25,9512698.47
2022-02-28,9511706.07
2022-03-01,9507033.67
2022-03-02,9499555.61
2022-03-03,9500102.03
2022-03-04,9500102.03
2022-03-07,9500102.03
2022-03-08,9482789.21
2022-03-09,9494519.21
2022-03-10,9426600.83
2022-03-11,9476280.15
2022-03-14,9078484.54
2022-03-15,8709480.46
2022-03-16,8882145.36
2022-03-17,8971465.74
2022-03-18,8987632.90
2022-03-21,9162431.60
2022-03-22,9178329.09
2022-03-23,9217701.97
2022-03-24,9133705.86
2022-03-25,9021379.87
2022-03-28,8987727.55
2022-03-29,8921415.67
2022-03-30,9029858.07
2022-03-31,9072369.94
2022-04-01,9028913.63
2022-04-06,8999012.85
2022-04-07,8823836.99
2022-04-08,8772797.99
2022-04-11,8612622.05
2022-04-12,8617839.58
