代码,名称,买入日,买入价,卖出日,卖出价,股数,盈亏,净收益率,持有交易日,卖出原因
002138,顺络电子,2021-08-19,34.509,2021-09-03,33.115,14400,-20557.79,-4.1349%,11,到期
300093,金刚光伏,2021-08-19,14.872,2021-08-23,16.821,33600,64925.5,12.9860%,2,止盈
600215,派斯林,2021-08-20,6.236,2021-09-01,6.999,80100,60616.81,12.1291%,8,止盈
605186,健麾信息,2021-08-20,38.224,2021-09-06,40.8,13000,32967.68,6.6312%,11,到期
300791,仙乐健康,2021-08-24,30.802,2021-08-26,28.667,16200,-35080.59,-7.0267%,2,止损
603029,天鹅股份,2021-08-24,10.228,2021-09-08,10.249,48800,513.52,0.1028%,11,到期
600966,博汇纸业,2021-08-31,10.596,2021-09-09,12.385,47100,83697.57,16.7618%,7,止盈
300294,博雅生物,2021-09-02,38.268,2021-09-06,36.291,13000,-26189.26,-5.2617%,2,止损
002858,力盛体育,2021-09-06,14.777,2021-09-22,13.993,33800,-26998.43,-5.4027%,10,止损
300894,火星人,2021-09-07,50.525,2021-09-10,46.367,9800,-41227.53,-8.3222%,3,止损
600699,均胜电子,2021-09-07,18.876,2021-09-16,17.828,26400,-28160.99,-5.6482%,7,止损
603859,能科科技,2021-09-07,23.253,2021-09-24,24.473,21500,25719.9,5.1421%,11,到期
300472,ST新元,2021-09-09,11.816,2021-09-13,10.415,42300,-59737.34,-11.9460%,2,止损
003005,竞业达,2021-09-16,16.5,2021-09-29,15.586,30300,-28181.61,-5.6340%,7,止损
688022,ST瀚川,2021-09-16,27.537,2021-09-28,24.832,18100,-49437.75,-9.9140%,6,止损
688575,亚辉龙,2021-09-22,19.82,2021-10-14,21.214,25200,34623.93,6.9288%,11,到期
300101,振芯科技,2021-09-23,26.125,2021-09-30,24.59,19100,-29809.64,-5.9710%,5,止损
600079,ST人福,2021-09-23,17.389,2021-10-11,19.13,28700,49463.89,9.9065%,7,止盈
688655,迅捷兴,2021-09-23,18.214,2021-09-30,17.116,27400,-30560.05,-6.1204%,5,止损
002282,博深股份,2021-09-24,9.47,2021-09-28,8.661,52700,-43115.46,-8.6351%,2,止损
300616,尚品宅配,2021-09-24,44.923,2021-09-30,42.76,11100,-24505.28,-4.9119%,4,止损
600262,北方股份,2021-09-24,9.196,2021-09-29,8.658,54300,-29694.13,-5.9439%,3,止损
603677,奇精机械,2021-09-24,10.655,2021-09-28,9.955,46900,-33327.62,-6.6657%,2,止损
688618,三旺通信,2021-09-24,16.984,2021-09-30,16.029,29400,-28577.19,-5.7201%,4,止损
603313,梦百合,2021-09-27,14.687,2021-10-12,15.842,34000,38741.99,7.7543%,6,止盈
688039,当虹科技,2021-09-27,48.18,2021-09-29,44.323,10300,-40206.07,-8.0979%,2,止损
002687,乔治白,2021-09-28,4.223,2021-09-30,3.932,118300,-34916.84,-6.9856%,2,止损
002285,世联行,2021-09-29,3.872,2021-10-21,3.818,129100,-7447.78,-1.4892%,11,到期
300218,安利股份,2021-09-29,14.941,2021-10-14,14.307,33400,-21684.89,-4.3431%,6,止损
688386,泛亚微透,2021-09-29,45.142,2021-10-12,42.275,11000,-32014.57,-6.4441%,4,止损
300658,延江股份,2021-09-30,8.745,2021-10-18,8.212,57100,-30945.75,-6.1940%,7,止损
002493,荣盛石化,2021-10-08,18.879,2021-10-25,17.631,26400,-33435.87,-6.7051%,11,止损
002895,川恒股份,2021-10-08,30.326,2021-10-12,27.607,16400,-45066.1,-9.0567%,2,止损
300055,万邦达,2021-10-08,13.382,2021-10-12,12.439,37300,-35652.09,-7.1392%,2,止损
300225,金力泰,2021-10-08,12.886,2021-10-25,13.903,38800,38924.56,7.7811%,11,到期
300512,中亚股份,2021-10-08,10.188,2021-10-25,9.72,49000,-23417.5,-4.6885%,11,到期
300566,激智科技,2021-10-08,22.368,2021-10-13,21.186,22300,-26839.26,-5.3780%,3,止损
600714,金瑞矿业,2021-10-08,11.186,2021-10-13,10.845,44700,-15735.74,-3.1456%,3,止损
603223,恒通股份,2021-10-08,17.979,2021-10-20,16.646,27800,-37547.36,-7.5085%,8,止损
603378,ST亚士,2021-10-08,15.131,2021-10-20,16.446,33000,42880.97,8.5838%,8,止盈
688078,龙软科技,2021-10-08,60.366,2021-10-25,62.665,8200,18343.14,3.7038%,11,到期
688168,安博通,2021-10-08,24.813,2021-10-25,25.14,7100,2144.53,1.2167%,11,到期
688299,长阳科技,2021-10-08,26.684,2021-10-21,25.408,18700,-24349.13,-4.8772%,9,止损
688329,艾隆科技,2021-10-08,34.073,2021-10-15,38.207,14600,59826.7,12.0203%,5,止盈
300657,弘信电子,2021-10-11,15.808,2021-10-18,14.773,31600,-33198.34,-6.6426%,5,止损
601233,桐昆股份,2021-10-12,21.624,2021-10-25,20.303,23100,-30998.5,-6.2027%,9,止损
000825,太钢不锈,2021-10-14,7.704,2021-10-25,7.246,64900,-30175.26,-6.0323%,7,止损
002004,华邦健康,2021-10-14,5.565,2021-10-27,5.239,89800,-29706.21,-5.9416%,9,止损
002165,红宝丽,2021-10-14,6.043,2021-10-22,6.837,82700,65094.84,13.0188%,6,止盈
002250,联化科技,2021-10-14,18.37,2021-10-20,17.292,27200,-29802.01,-5.9614%,4,止损
300398,飞凯材料,2021-10-14,16.2,2021-10-29,16.494,27000,7487.26,1.7109%,11,到期
600176,中国巨石,2021-10-14,15.282,2021-10-27,17.175,32700,61395.64,12.2801%,9,止盈
600970,中材国际,2021-10-14,8.774,2021-10-29,8.466,56900,-18050.96,-3.6137%,11,到期
000807,云铝股份,2021-10-15,12.054,2021-10-25,11.312,41400,-31189.36,-6.2468%,6,止损
600500,中化国际,2021-10-19,9.085,2021-10-29,8.486,55000,-33416.36,-6.6846%,8,止损
688519,南亚新材,2021-10-19,39.187,2021-10-26,37.198,12600,-25532.44,-5.1685%,5,止损
000918,ST嘉凯,2021-10-25,2.701,2021-10-28,2.519,185000,-34265.71,-6.8531%,3,止损
300550,和仁科技,2021-10-25,10.77,2021-10-28,9.89,46400,-41326.63,-8.2654%,3,止损
688189,ST南新,2021-10-25,14.4,2021-10-28,13.468,34700,-32821.63,-6.5652%,3,止损
000503,国新健康,2021-10-26,6.643,2021-10-28,6.227,75200,-31799.83,-6.3622%,2,止损
002432,九安医疗,2021-10-26,1.244,2021-10-28,0.973,402000,-109430.86,-21.8780%,2,止损
688466,金科环境,2021-10-26,16.133,2021-11-10,16.042,30900,-3311.71,-0.6640%,11,到期
688626,翔宇医疗,2021-10-26,47.11,2021-10-28,43.744,10600,-36155.04,-7.2366%,2,止损
002331,皖通科技,2021-10-27,8.474,2021-10-29,7.776,59000,-41668.76,-8.3299%,2,止损
000023,ST深天,2021-10-29,11.886,2021-11-08,12.704,42000,33827.23,6.7728%,6,止盈
002345,潮宏基,2021-10-29,3.612,2021-11-03,3.358,138400,-35564.66,-7.1112%,3,止损
600637,东方明珠,2021-10-29,6.75,2021-11-15,6.704,74000,-3955.6,-0.7915%,11,到期
603232,格尔软件,2021-10-29,12.676,2021-11-11,13.793,39400,43479.09,8.7011%,9,止盈
