日期,等权净值
2021-08-17,1.000000
2021-08-18,1.000000
2021-08-19,1.022592
2021-08-20,1.025856
2021-08-23,1.046347
2021-08-24,1.057296
2021-08-25,1.046717
2021-08-26,1.049623
2021-08-27,1.040203
2021-08-30,1.035229
2021-08-31,1.035478
2021-09-01,1.050661
2021-09-02,1.043867
2021-09-03,1.045926
2021-09-06,1.054250
2021-09-07,1.056109
2021-09-08,1.081143
2021-09-09,1.060494
2021-09-10,1.050362
2021-09-13,1.037210
2021-09-14,1.028252
2021-09-15,1.021992
2021-09-16,1.008038
2021-09-17,1.001637
2021-09-22,1.013203
2021-09-23,1.020806
2021-09-24,1.005160
2021-09-27,0.980901
2021-09-28,0.976711
2021-09-29,0.953784
2021-09-30,0.959776
2021-10-08,0.966720
2021-10-11,0.966692
2021-10-12,0.952659
2021-10-13,0.959491
2021-10-14,0.961873
2021-10-15,0.954593
2021-10-18,0.960471
2021-10-19,0.968775
2021-10-20,0.964315
2021-10-21,0.977310
2021-10-22,0.959560
2021-10-25,0.961896
2021-10-26,0.950873
2021-10-27,0.914642
2021-10-28,0.905309
2021-10-29,0.910862
2021-11-01,0.920150
2021-11-02,0.902873
2021-11-03,0.913467
2021-11-04,0.922768
2021-11-05,0.924028
2021-11-08,0.927572
2021-11-09,0.937754
2021-11-10,0.940934
2021-11-11,0.950226
2021-11-12,0.945998
2021-11-15,0.959488
2021-11-16,0.960448
2021-11-17,0.962888
2021-11-18,0.957343
2021-11-19,0.985129
2021-11-22,0.985175
2021-11-23,0.982534
2021-11-24,0.988721
2021-11-25,0.998696
2021-11-26,1.031995
2021-11-29,1.032755
2021-11-30,1.032755
2021-12-01,1.022507
2021-12-02,1.004549
2021-12-03,1.018123
2021-12-06,1.034221
2021-12-07,1.030509
2021-12-08,1.043230
2021-12-09,1.051562
2021-12-10,1.077544
2021-12-13,1.084840
2021-12-14,1.095067
2021-12-15,1.089132
2021-12-16,1.077368
2021-12-17,1.055295
2021-12-20,1.039736
2021-12-21,1.047162
