序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1,000002,万科Ａ,2023-09-25,13.347,2023-10-16,12.554,-6.0352%,-5.9412%,9,止损
2,000002,万科Ａ,2025-12-05,4.942,2025-12-22,4.878,-1.4120%,-1.3133%,11,到期
3,000006,深振业Ａ,2026-06-08,8.254,2026-06-18,7.746,-6.2483%,-6.1545%,8,止损
4,000007,全新好,2025-07-09,7.264,2025-07-24,7.106,-2.2618%,-2.1640%,11,到期
5,000014,沙河股份,2023-09-21,12.05,2023-10-16,11.238,-6.8289%,-6.7356%,11,止损
6,000016,ST康佳A,2023-08-18,4.462,2023-08-24,4.238,-5.1227%,-5.0278%,4,止损
7,000023,ST深天,2021-10-29,11.886,2021-11-08,12.704,6.7727%,6.8796%,6,止盈
8,000023,ST深天,2022-04-27,9.325,2022-05-05,10.345,10.8296%,10.9405%,3,止盈
9,000027,深圳能源,2025-01-14,5.713,2025-02-06,5.777,1.0236%,1.1247%,11,到期
10,000029,深深房Ａ,2023-06-28,11.111,2023-06-30,10.64,-4.3338%,-4.2381%,2,止损
11,000030,富奥股份,2023-04-18,3.908,2023-04-26,3.674,-6.0764%,-5.9824%,6,止损
12,000032,深桑达Ａ,2023-09-25,22.336,2023-10-18,21.134,-5.4748%,-5.3802%,11,到期
13,000032,深桑达Ａ,2023-10-27,19.165,2023-11-13,21.034,9.6473%,9.7571%,11,到期
14,000035,中国天楹,2022-01-27,5.155,2022-02-10,5.769,11.8103%,11.9222%,5,止盈
15,000035,中国天楹,2023-11-14,5.69,2023-11-27,5.384,-5.4645%,-5.3699%,9,止损
16,000039,中集集团,2025-04-09,6.937,2025-04-24,7.29,4.9816%,5.0867%,11,到期
17,000042,中洲控股,2022-11-01,7.232,2022-11-10,7.904,9.1892%,9.2985%,7,止盈
18,000048,京基智农,2025-12-05,12.646,2025-12-22,13.153,3.9059%,4.0099%,11,到期
19,000050,深天马Ａ,2023-08-30,8.404,2023-09-07,9.225,9.6614%,9.7711%,6,止盈
20,000050,深天马Ａ,2024-01-16,9.445,2024-01-23,8.576,-9.2918%,-9.2010%,5,止损
21,000059,华锦股份,2023-09-04,5.901,2023-09-19,6.075,2.8460%,2.9489%,11,到期
22,000061,农产品,2023-05-29,5.733,2023-06-09,6.207,8.1604%,8.2686%,9,止盈
23,000061,农产品,2026-04-03,7.334,2026-04-21,7.356,0.2086%,0.3089%,11,到期
24,000063,中兴通讯,2023-10-27,23.704,2023-11-10,25.679,8.2250%,8.3333%,10,止盈
25,000065,北方国际,2022-10-13,8.534,2022-10-28,7.776,-8.9748%,-8.8837%,11,止损
26,000066,中国长城,2022-07-15,9.451,2022-08-01,9.648,1.9872%,2.0893%,11,到期
27,000088,盐田港,2023-04-03,4.48,2023-04-19,4.726,5.3719%,5.4773%,11,到期
28,000089,深圳机场,2025-12-01,6.783,2025-12-16,6.757,-0.4942%,-0.3946%,11,到期
29,000099,中信海直,2025-11-25,20.413,2025-12-10,20.003,-2.1075%,-2.0095%,11,到期
30,000151,中成股份,2026-03-25,11.636,2026-04-10,11.804,1.3448%,1.4462%,11,到期
31,000156,华数传媒,2023-06-30,8.004,2023-07-17,8.276,3.2932%,3.3966%,11,到期
32,000157,中联重科,2023-04-03,4.918,2023-04-19,5.143,4.4694%,4.5740%,11,到期
33,000159,国际实业,2023-04-03,7.614,2023-04-18,8.246,8.1934%,8.3016%,10,止盈
34,000301,东方盛虹,2025-03-26,8.804,2025-04-01,8.336,-5.4167%,-5.3220%,4,止损
35,000338,潍柴动力,2023-09-04,10.232,2023-09-19,10.252,0.0929%,0.1931%,11,到期
36,000402,金融街,2023-05-26,4.567,2023-06-12,4.803,5.0471%,5.1522%,11,到期
37,000408,藏格矿业,2026-03-25,76.972,2026-04-10,82.893,7.5835%,7.6911%,11,到期
38,000420,吉林化纤,2022-04-28,3.422,2022-05-31,4.098,19.6435%,19.7632%,3,止盈
39,000425,徐工机械,2023-08-18,5.839,2023-08-25,5.493,-6.0141%,-5.9200%,5,止损
40,000426,兴业银锡,2026-03-25,40.52,2026-04-10,43.688,7.7103%,7.8181%,11,到期
41,000429,粤高速Ａ,2023-06-28,5.681,2023-07-13,5.565,-2.1333%,-2.0353%,11,到期
42,000430,张家界,2025-12-11,6.856,2025-12-29,7.206,4.9992%,5.1042%,11,到期
43,000488,ST晨鸣,2023-04-18,5.223,2023-04-25,4.968,-4.9795%,-4.8844%,5,止损
44,000503,国新健康,2021-10-26,6.643,2021-10-28,6.227,-6.3622%,-6.2685%,2,止损
45,000503,国新健康,2022-01-27,11.736,2022-02-07,11.324,-3.6031%,-3.5066%,2,止损
46,000504,南华生物,2023-03-22,11.316,2023-03-24,12.714,12.2421%,12.3544%,2,止盈
47,000504,南华生物,2024-02-19,6.663,2024-02-22,8.096,21.3786%,21.5001%,3,止盈
48,000507,珠海港,2023-03-31,5.374,2023-04-18,5.568,3.5164%,3.6200%,11,到期
49,000510,新金路,2026-03-25,15.408,2026-03-27,13.913,-9.7910%,-9.7007%,2,止损
