日期,权益
2021-08-17,10000000.00
2021-08-18,10101782.85
2021-08-19,9982839.40
2021-08-20,10070897.43
2021-08-23,10058440.28
2021-08-24,9951501.28
2021-08-25,9978545.66
2021-08-26,9944002.81
2021-08-27,9927966.65
2021-08-30,10053584.72
2021-08-31,10095400.03
2021-09-01,10100621.81
2021-09-02,10253155.49
2021-09-03,10142224.29
2021-09-06,10238581.65
2021-09-07,10291386.97
2021-09-08,10428501.23
2021-09-09,10555041.43
2021-09-10,10421310.93
2021-09-13,10620595.01
2021-09-14,10318595.03
2021-09-15,10371864.62
2021-09-16,10317972.65
2021-09-17,10282054.54
2021-09-22,10416806.62
2021-09-23,10351358.26
2021-09-24,10225825.76
2021-09-27,10253397.48
2021-09-28,10238245.50
2021-09-29,9957564.26
2021-09-30,10082501.23
2021-10-08,10210974.35
2021-10-11,10181673.83
2021-10-12,10101864.80
2021-10-13,9966564.11
2021-10-14,9990000.94
2021-10-15,9974327.04
2021-10-18,9991931.12
2021-10-19,9974511.72
2021-10-20,9896769.78
2021-10-21,9763589.46
2021-10-22,9765309.79
2021-10-25,9761600.16
2021-10-26,9727892.21
2021-10-27,9761778.46
2021-10-28,9812571.35
2021-10-29,9822562.14
2021-11-01,9849554.33
2021-11-02,9794822.73
2021-11-03,9775380.95
2021-11-04,9896080.15
2021-11-05,9924129.82
2021-11-08,10020062.81
2021-11-09,10005906.17
2021-11-10,10100850.89
2021-11-11,10271780.10
2021-11-12,10428585.99
2021-11-15,10492135.59
2021-11-16,10364902.92
2021-11-17,10553885.41
2021-11-18,10463346.99
2021-11-19,10439672.49
2021-11-22,10532269.26
2021-11-23,10598511.62
2021-11-24,10634290.28
2021-11-25,10605463.35
2021-11-26,10575746.80
2021-11-29,10621148.80
2021-11-30,10827568.64
2021-12-01,11098364.61
2021-12-02,10889011.31
2021-12-03,10845760.33
2021-12-06,10700079.81
2021-12-07,10586168.21
2021-12-08,10596346.23
2021-12-09,10472316.33
2021-12-10,10420937.19
2021-12-13,10294737.82
2021-12-14,10316175.05
2021-12-15,10268777.47
2021-12-16,10367767.58
2021-12-17,10386942.68
2021-12-20,10466364.55
2021-12-21,10520144.03
2021-12-22,10552692.71
2021-12-23,10347245.26
2021-12-24,10293111.21
2021-12-27,10456834.86
2021-12-28,10530039.28
2021-12-29,10881917.65
2021-12-30,11293881.61
2021-12-31,11457866.76
2022-01-04,11815960.83
2022-01-05,11634637.33
2022-01-06,11872944.69
2022-01-07,11366007.24
2022-01-10,11426340.52
2022-01-11,11353792.58
2022-01-12,11653990.00
2022-01-13,11912600.54
2022-01-14,12027679.42
2022-01-17,12218446.76
2022-01-18,11825193.96
2022-01-19,11815148.04
2022-01-20,11775787.39
2022-01-21,11672266.29
2022-01-24,11304475.08
2022-01-25,10742700.17
2022-01-26,10700410.81
2022-01-27,10481067.52
2022-01-28,10492679.63
2022-02-07,10544565.67
2022-02-08,10559216.67
2022-02-09,10546922.94
2022-02-10,10596083.94
2022-02-11,10569899.94
2022-02-14,10527362.94
2022-02-15,10516249.25
2022-02-16,10549605.47
2022-02-17,10508183.47
2022-02-18,10599885.25
2022-02-21,10655086.85
2022-02-22,10534481.44
