代码,名称,买入日,买入价,卖出日,卖出价,股数,盈亏,净收益率,持有交易日,卖出原因
002941,新疆交建,2021-08-18,11.776,2021-08-25,10.465,42400,-56062.99,-11.2228%,5,信号
300851,交大思诺,2021-08-18,34.247,2021-08-26,33.433,14500,-12291.36,-2.4740%,6,信号
600130,波导股份,2021-08-18,4.072,2021-08-25,3.998,122700,-9579.19,-1.9163%,5,信号
002786,银宝山新,2021-08-19,7.524,2021-08-27,7.216,66400,-20898.74,-4.1812%,6,信号
000836,ST富通,2021-08-20,2.611,2021-08-25,2.419,191400,-37328.75,-7.4649%,3,信号
002437,誉衡药业,2021-08-20,2.731,2021-08-26,2.619,183000,-21109.06,-4.2211%,4,信号
002939,长城证券,2021-08-20,11.315,2021-08-30,10.354,44100,-42850.57,-8.5834%,6,信号
600369,西南证券,2021-08-20,4.656,2021-08-30,4.722,107300,6504.74,1.3013%,6,信号
600851,海欣股份,2021-08-20,9.37,2021-08-27,9.53,53300,8053.63,1.6118%,5,信号
601611,中国核建,2021-08-20,7.312,2021-09-28,9.203,68300,128641.99,25.7472%,25,信号
603676,卫信康,2021-08-20,7.438,2021-08-30,6.971,67200,-31880.23,-6.3752%,6,信号
600775,南京熊猫,2021-08-23,7.386,2021-08-30,7.038,67600,-23959.07,-4.7964%,5,信号
000838,ST发展,2021-08-25,2.891,2021-09-08,3.198,172900,52546.05,10.5054%,10,信号
002420,毅昌科技,2021-08-25,5.243,2021-09-16,6.247,95300,95158.03,19.0365%,16,信号
603506,南都物业,2021-08-25,13.233,2021-09-15,13.679,37700,16327.42,3.2712%,15,信号
000529,广弘控股,2021-08-26,4.922,2021-09-15,4.928,101500,15.23,0.0030%,14,信号
002489,浙江永强,2021-08-26,3.917,2021-09-02,3.443,127600,-60911.15,-12.1809%,5,信号
600903,贵州燃气,2021-08-26,10.007,2021-09-28,11.496,49900,73776.97,14.7672%,21,信号
603966,法兰泰克,2021-08-26,4.825,2021-09-13,5.082,103600,26116.74,5.2216%,12,信号
603969,银龙股份,2021-08-26,4.372,2021-09-07,4.278,114300,-11275.7,-2.2552%,8,信号
600072,中船科技,2021-08-27,12.638,2021-09-13,13.785,39500,44776.26,8.9649%,11,信号
600684,珠江股份,2021-08-27,3.722,2021-09-06,3.598,134300,-17099.08,-3.4192%,6,信号
600735,ST新华锦,2021-08-27,5.861,2021-09-10,6.005,85300,11782.83,2.3557%,10,信号
603320,迪贝电气,2021-08-27,12.586,2021-09-15,12.964,39700,14468.67,2.8942%,13,信号
603398,ST沐邦,2021-08-27,10.055,2021-09-06,9.755,49700,-15397.56,-3.0796%,6,信号
600435,北方导航,2021-08-30,8.644,2021-09-13,8.976,57800,18633.57,3.7275%,10,信号
600491,ST龙元,2021-08-30,5.061,2021-09-17,6.255,98800,117442.01,23.4776%,14,信号
603687,大胜达,2021-08-30,8.399,2021-09-13,8.641,59500,13861.12,2.7722%,10,信号
600602,云赛智联,2021-08-31,6.335,2021-09-13,6.079,78900,-20704.47,-4.1401%,9,信号
600960,渤海汽车,2021-08-31,4.222,2021-09-13,4.168,118400,-6913.38,-1.3823%,9,信号
002408,齐翔腾达,2021-09-01,9.829,2021-09-28,12.418,26400,68052.67,26.2131%,17,信号
300187,永清环保,2021-09-02,9.018,2021-09-13,8.449,48700,-28122.6,-6.4006%,7,信号
002452,长高电气,2021-09-06,6.165,2021-09-17,6.459,75800,21783.11,4.6590%,9,信号
600166,福田汽车,2021-09-06,4.702,2021-09-13,4.368,106300,-36043.15,-7.2070%,5,信号
601177,杭齿前进,2021-09-08,9.512,2021-09-15,8.873,52500,-34040.17,-6.8133%,5,信号
601869,长飞光纤,2021-09-08,28.779,2021-09-17,29.32,17300,8855.87,1.7778%,7,信号
002517,恺英网络,2021-09-10,3.866,2021-09-27,4.022,129300,19668.09,3.9327%,9,信号
600326,西藏天路,2021-09-13,5.403,2021-09-22,5.389,92500,-1738.26,-0.3477%,5,信号
600370,ST三房,2021-09-13,3.342,2021-09-23,3.248,149600,-14449.87,-2.8890%,6,信号
002374,中锐股份,2021-09-14,3.462,2021-09-17,3.218,144400,-35620.6,-7.1224%,3,信号
603530,神马电力,2021-09-14,17.004,2021-09-27,16.838,29400,-5404.96,-1.0806%,7,信号
603577,汇金通,2021-09-14,9.861,2021-09-28,9.231,50700,-32401.97,-6.4778%,8,信号
002942,新农股份,2021-09-15,16.235,2021-09-27,15.959,30700,-8970.36,-1.7989%,6,信号
600731,湖南海利,2021-09-15,8.254,2021-09-27,7.846,60500,-25174.06,-5.0386%,6,信号
603665,康隆达,2021-09-15,14.847,2021-10-22,18.271,33600,114471.2,22.9345%,20,信号
000413,ST旭电,2021-09-17,2.461,2021-09-27,2.369,203100,-19259.98,-3.8510%,4,信号
000876,新希望,2021-09-22,12.922,2021-10-13,14.319,38600,53374.47,10.6951%,10,信号
002100,天康生物,2021-09-22,8.136,2021-10-08,8.128,61400,-998.61,-0.1998%,7,信号
003003,天元股份,2021-09-22,12.642,2021-09-30,12.17,39500,-19150.08,-3.8329%,6,信号
600540,新赛股份,2021-09-22,5.473,2021-10-14,5.977,91300,45517.63,9.1052%,11,信号
603079,圣达生物,2021-09-22,19.651,2021-09-30,16.103,25400,-90570.12,-18.1365%,6,信号
603615,茶花股份,2021-09-22,9.125,2021-09-30,8.886,54700,-13566.15,-2.7167%,6,信号
002980,华盛昌,2021-09-23,24.298,2021-09-30,21.401,20500,-59853.82,-12.0101%,5,信号
603538,美诺华,2021-09-23,17.821,2021-09-30,16.822,28000,-28465.98,-5.7019%,5,信号
603988,中电电机,2021-09-23,20.823,2021-10-12,17.274,24000,-85634.33,-17.1265%,8,信号
300789,唐源电气,2021-09-27,15.736,2021-10-12,15.087,31700,-21043.19,-4.2164%,6,信号
600235,民丰特纸,2021-09-27,5.241,2021-09-29,4.946,95400,-28637.75,-5.7252%,2,信号
600356,恒丰纸业,2021-09-27,6.924,2021-09-29,6.738,72200,-13982.4,-2.7954%,2,信号
600874,创业环保,2021-09-27,5.908,2021-09-30,5.752,84600,-13676.44,-2.7349%,3,信号
601200,上海环境,2021-09-27,10.487,2021-10-12,9.927,47600,-27151.71,-5.4364%,6,信号
601827,三峰环境,2021-09-27,10.275,2021-10-12,8.206,48600,-101014.15,-20.2181%,6,信号
300542,新晨科技,2021-09-28,13.983,2021-09-30,12.72,35700,-45578.27,-9.1258%,2,信号
