日期,等权净值
2021-08-17,1.000000
2021-08-18,1.067964
2021-08-19,1.007863
2021-08-20,1.024497
2021-08-23,1.022158
2021-08-24,1.004419
2021-08-25,1.008252
2021-08-26,1.003748
2021-08-27,1.001629
2021-08-30,1.013763
2021-08-31,1.018429
2021-09-01,1.020169
2021-09-02,1.037950
2021-09-03,1.034267
2021-09-06,1.051949
2021-09-07,1.067545
2021-09-08,1.086145
2021-09-09,1.096699
2021-09-10,1.085081
2021-09-13,1.110790
2021-09-14,1.082780
2021-09-15,1.097087
2021-09-16,1.092102
2021-09-17,1.087308
2021-09-22,1.100663
2021-09-23,1.095963
2021-09-24,1.075312
2021-09-27,1.067688
2021-09-28,1.058933
2021-09-29,1.029995
2021-09-30,1.045247
2021-10-08,1.072578
2021-10-11,1.059619
2021-10-12,1.047029
2021-10-13,1.022831
2021-10-14,1.019863
2021-10-15,1.013624
2021-10-18,1.021619
2021-10-19,1.023393
2021-10-20,1.010778
2021-10-21,0.997811
2021-10-22,1.002644
2021-10-25,1.009620
2021-10-26,0.991305
2021-10-27,0.999791
2021-10-28,1.005123
2021-10-29,1.006090
2021-11-01,1.019852
2021-11-02,1.005917
2021-11-03,1.003430
2021-11-04,1.024263
2021-11-05,1.029596
2021-11-08,1.041801
2021-11-09,1.040850
2021-11-10,1.051589
2021-11-11,1.071526
2021-11-12,1.087533
2021-11-15,1.095723
2021-11-16,1.079576
2021-11-17,1.094652
2021-11-18,1.084413
2021-11-19,1.078718
2021-11-22,1.088506
2021-11-23,1.095278
2021-11-24,1.101508
2021-11-25,1.099658
2021-11-26,1.090560
2021-11-29,1.091615
2021-11-30,1.100069
2021-12-01,1.115724
2021-12-02,1.096729
2021-12-03,1.088736
2021-12-06,1.074619
2021-12-07,1.073550
2021-12-08,1.077828
2021-12-09,1.073919
2021-12-10,1.072638
2021-12-13,1.069273
2021-12-14,1.072446
2021-12-15,1.079300
2021-12-16,1.095120
2021-12-17,1.103267
2021-12-20,1.114931
2021-12-21,1.132004
2021-12-22,1.125434
2021-12-23,1.099437
2021-12-24,1.084923
2021-12-27,1.090893
2021-12-28,1.083062
2021-12-29,1.090319
2021-12-30,1.114594
2021-12-31,1.128901
2022-01-04,1.155262
2022-01-05,1.137128
2022-01-06,1.159475
2022-01-07,1.117835
2022-01-10,1.122798
2022-01-11,1.120641
2022-01-12,1.135471
2022-01-13,1.140690
2022-01-14,1.139343
2022-01-17,1.155329
2022-01-18,1.118583
2022-01-19,1.125264
2022-01-20,1.107724
2022-01-21,1.091592
2022-01-24,1.067287
2022-01-25,1.021014
2022-01-26,1.016941
2022-01-27,0.967183
2022-01-28,0.966736
2022-02-07,0.998892
2022-02-08,1.012405
2022-02-09,1.005263
2022-02-10,1.036526
2022-02-11,1.021407
2022-02-14,0.994559
2022-02-15,0.985908
2022-02-16,1.008899
