序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1,000001,平安银行,2024-02-23,8.961,2024-03-05,8.373,-6.6623%,-6.5689%,7,信号
2,000004,国华退,2022-01-07,21.931,2022-01-21,21.189,-3.4779%,-3.3813%,10,信号
3,000006,深振业Ａ,2023-11-23,5.303,2023-11-28,4.678,-11.8746%,-11.7864%,3,信号
4,000006,深振业Ａ,2025-03-31,7.804,2025-04-07,6.477,-17.0891%,-17.0061%,4,信号
5,000008,神州高铁,2021-12-22,2.981,2021-12-30,2.629,-11.9213%,-11.8332%,6,信号
6,000008,神州高铁,2025-02-21,2.871,2025-03-03,2.759,-4.0249%,-3.9289%,6,信号
7,000008,神州高铁,2025-11-13,3.322,2025-11-20,3.178,-4.4083%,-4.3126%,5,信号
8,000009,中国宝安,2026-08-03,7.984,2026-08-17,7.916,-0.9502%,-0.8511%,10,信号
9,000010,ST美丽,2026-03-02,4.022,2026-03-13,4.098,1.7862%,1.8881%,9,信号
10,000012,南玻Ａ,2026-02-27,4.993,2026-03-04,4.739,-5.1988%,-5.1040%,3,信号
11,000014,沙河股份,2022-09-05,8.468,2022-09-21,8.99,6.0495%,6.1556%,11,信号
12,000014,沙河股份,2025-05-21,11.826,2025-06-04,11.574,-2.2262%,-2.1284%,9,信号
13,000014,沙河股份,2025-08-14,14.857,2025-08-25,14.893,0.1362%,0.2364%,7,信号
14,000017,深中华A,2022-02-28,3.732,2022-03-04,3.648,-2.3403%,-2.2426%,4,信号
15,000017,深中华A,2025-09-11,7.204,2025-09-18,6.897,-4.3582%,-4.2625%,5,信号
16,000019,深粮控股,2023-02-27,7.634,2023-03-08,7.366,-3.6006%,-3.5041%,7,信号
17,000019,深粮控股,2025-10-27,6.983,2025-10-29,6.807,-2.6305%,-2.5330%,2,信号
18,000020,深华发Ａ,2025-09-29,15.228,2025-10-14,14.543,-4.5931%,-4.4977%,5,信号
19,000021,深科技,2021-11-09,14.987,2021-11-17,14.563,-2.9313%,-2.8342%,6,信号
20,000025,特力Ａ,2024-01-23,16.367,2024-01-31,16.851,2.8505%,2.9534%,6,信号
21,000025,特力Ａ,2025-04-02,17.779,2025-04-08,15.742,-11.5446%,-11.4561%,3,信号
22,000025,特力Ａ,2026-08-03,15.128,2026-08-10,14.933,-1.3879%,-1.2892%,5,信号
23,000026,飞亚达,2022-08-12,9.245,2022-08-22,8.876,-4.0881%,-3.9922%,6,信号
24,000026,飞亚达,2022-12-05,9.845,2022-12-12,9.565,-2.9382%,-2.8411%,5,信号
25,000026,飞亚达,2026-01-06,16.288,2026-01-16,16.462,0.9649%,1.0660%,8,信号
26,000027,深圳能源,2025-10-27,7.044,2025-11-03,6.887,-2.3262%,-2.2285%,5,信号
27,000029,深深房Ａ,2025-02-12,15.263,2025-02-24,15.377,0.6507%,0.7514%,8,信号
28,000031,大悦城,2021-12-23,3.812,2021-12-27,3.658,-4.1290%,-4.0330%,2,信号
29,000035,中国天楹,2025-09-15,4.982,2025-09-19,4.828,-3.2059%,-3.1090%,4,信号
30,000037,深南电A,2024-01-19,8.862,2024-02-02,8.374,-5.6078%,-5.5134%,10,信号
31,000037,深南电A,2025-06-03,9.002,2025-06-10,8.934,-0.8653%,-0.7661%,5,信号
