日期,权益
2021-08-17,10000000.00
2021-08-18,10000000.00
2021-08-19,10000000.00
2021-08-20,10019365.51
2021-08-23,10031514.93
2021-08-24,10005141.06
2021-08-25,10032908.07
2021-08-26,10003719.86
2021-08-27,9966101.98
2021-08-30,9934407.72
2021-08-31,9960232.76
2021-09-01,9971102.42
2021-09-02,10064904.88
2021-09-03,10024925.65
2021-09-06,10137945.69
2021-09-07,10247056.96
2021-09-08,10560179.56
2021-09-09,10459589.76
2021-09-10,10267027.46
2021-09-13,10593133.63
2021-09-14,10288206.05
2021-09-15,10574531.03
2021-09-16,10429093.97
2021-09-17,10414037.45
2021-09-22,10603917.78
2021-09-23,10509985.71
2021-09-24,10286219.23
2021-09-27,9962009.28
2021-09-28,9925286.39
2021-09-29,9748884.58
2021-09-30,9785849.56
2021-10-08,9848524.25
2021-10-11,9701375.75
2021-10-12,9679733.21
2021-10-13,9629633.98
2021-10-14,9531290.45
2021-10-15,9521769.17
2021-10-18,9559651.42
2021-10-19,9594810.02
2021-10-20,9607181.35
2021-10-21,9614054.73
2021-10-22,9679838.76
2021-10-25,9711250.46
2021-10-26,9597513.48
2021-10-27,9607417.81
2021-10-28,9644283.29
2021-10-29,9643612.44
2021-11-01,9612517.79
2021-11-02,9565822.59
2021-11-03,9544169.49
2021-11-04,9601264.08
2021-11-05,9685731.18
2021-11-08,9850908.66
2021-11-09,9805118.25
2021-11-10,9841321.40
2021-11-11,10053301.32
2021-11-12,10215699.12
2021-11-15,10266235.51
2021-11-16,10174759.12
2021-11-17,10280053.31
2021-11-18,10143597.65
2021-11-19,10152616.20
2021-11-22,10304028.28
2021-11-23,10300675.18
2021-11-24,10425305.09
2021-11-25,10526410.76
2021-11-26,10426618.91
2021-11-29,10640071.28
2021-11-30,10887895.73
2021-12-01,11052423.57
2021-12-02,10771414.07
2021-12-03,10858082.86
2021-12-06,10792208.66
2021-12-07,10741419.54
2021-12-08,10870609.19
2021-12-09,10650020.85
2021-12-10,10529495.27
2021-12-13,10464717.54
2021-12-14,10526974.96
2021-12-15,10593113.50
2021-12-16,10725957.51
2021-12-17,10824316.29
2021-12-20,10906770.64
2021-12-21,10855946.51
2021-12-22,10862506.40
2021-12-23,10827942.58
2021-12-24,10548460.15
2021-12-27,10707802.46
2021-12-28,10577514.96
2021-12-29,10462806.93
2021-12-30,10685742.30
2021-12-31,10729441.76
2022-01-04,11095142.54
2022-01-05,10983967.44
2022-01-06,11264053.10
2022-01-07,10852187.15
2022-01-10,10990720.53
2022-01-11,10909820.80
2022-01-12,11027082.08
2022-01-13,11037752.65
2022-01-14,11026572.55
2022-01-17,11211088.90
2022-01-18,10908950.16
2022-01-19,10931055.79
2022-01-20,10787436.29
2022-01-21,10583516.99
2022-01-24,10481652.23
2022-01-25,10203791.75
2022-01-26,10262847.67
2022-01-27,9963001.51
2022-01-28,9976338.48
2022-02-07,10087127.44
2022-02-08,10099701.44
2022-02-09,10098143.44
2022-02-10,10145907.44
2022-02-11,10109697.44
2022-02-14,10043392.05
2022-02-15,10005905.36
2022-02-16,10003476.54
2022-02-17,10002944.54
2022-02-18,10005079.25
2022-02-21,9996445.25
2022-02-22,9977074.56
2022-02-23,9975455.94
2022-02-24,9982344.39
2022-02-25,9968137.43
2022-02-28,9931422.09
2022-03-01,10000386.84
2022-03-02,10054076.33
2022-03-03,10133877.93
2022-03-04,9880061.53
2022-03-07,9830172.25
2022-03-08,9680881.87
2022-03-09,9698510.30
2022-03-10,9752608.26
2022-03-11,9842951.37
2022-03-14,9694242.24
2022-03-15,9361115.18
2022-03-16,9464294.76
2022-03-17,9469525.75
2022-03-18,9512537.75
2022-03-21,9531987.75
2022-03-22,9563335.70
2022-03-23,9531095.70
2022-03-24,9529036.70
2022-03-25,9519513.17
2022-03-28,9502437.17
2022-03-29,9477161.17
2022-03-30,9477246.11
2022-03-31,9527097.11
2022-04-01,9520221.11
2022-04-06,9525378.11
2022-04-07,9501312.11
2022-04-08,9494448.31
2022-04-11,9446983.17
2022-04-12,9469793.83
