代码,名称,买入日,买入价,卖出日,卖出价,股数,盈亏,净收益率,持有交易日,卖出原因
002786,银宝山新,2021-08-20,7.294,2021-08-27,7.216,68500,-5788.94,-1.1581%,5,信号
002437,誉衡药业,2021-08-23,2.641,2021-08-26,2.619,189200,-4779.19,-0.9559%,3,信号
600851,海欣股份,2021-08-23,9.7,2021-08-27,9.53,51500,-9230.35,-1.8468%,4,信号
603676,卫信康,2021-08-23,7.068,2021-08-30,6.971,70700,-7355.49,-1.4713%,5,信号
000836,ST富通,2021-08-24,2.501,2021-08-26,2.439,199900,-12981.51,-2.5950%,2,信号
600369,西南证券,2021-08-25,4.896,2021-08-30,4.722,102100,-18339.0,-3.6665%,3,信号
600775,南京熊猫,2021-08-25,7.246,2021-08-30,7.038,69000,-14785.6,-2.9560%,3,信号
601611,中国核建,2021-08-25,7.422,2021-09-28,9.203,67300,119348.1,23.8825%,22,信号
000529,广弘控股,2021-08-27,4.742,2021-09-15,4.928,105400,19006.79,3.8006%,13,信号
603506,南都物业,2021-08-27,12.992,2021-09-15,13.679,38400,25855.8,5.1799%,13,信号
002489,浙江永强,2021-08-30,3.607,2021-09-02,3.443,138600,-23153.14,-4.6292%,3,信号
600684,珠江股份,2021-08-30,3.572,2021-09-06,3.598,139900,3193.92,0.6389%,5,信号
600903,贵州燃气,2021-08-31,10.227,2021-09-28,11.496,48800,61403.88,12.2972%,18,信号
002420,毅昌科技,2021-09-01,5.953,2021-09-16,6.247,83900,24146.43,4.8321%,11,信号
600960,渤海汽车,2021-09-01,4.192,2021-09-13,4.168,119200,-3380.51,-0.6762%,8,信号
603398,ST沐邦,2021-09-01,10.135,2021-09-06,9.755,49300,-19221.58,-3.8450%,3,信号
603966,法兰泰克,2021-09-01,5.043,2021-09-13,5.082,99100,3456.11,0.6913%,8,信号
603969,银龙股份,2021-09-01,4.332,2021-09-07,4.278,115400,-6763.6,-1.3522%,4,信号
000838,ST发展,2021-09-02,3.322,2021-09-08,3.198,150500,-19041.26,-3.8070%,4,信号
002178,延华智能,2021-09-02,3.762,2021-09-13,3.768,132900,328.26,0.0656%,7,信号
600435,北方导航,2021-09-02,8.894,2021-09-13,8.976,56200,4053.71,0.8106%,7,信号
600735,ST新华锦,2021-09-02,6.171,2021-09-10,6.005,81000,-13946.26,-2.7887%,6,信号
002408,齐翔腾达,2021-09-03,9.757,2021-09-28,12.418,51200,135671.02,27.1450%,15,信号
603320,迪贝电气,2021-09-03,12.516,2021-09-15,12.964,39900,17337.35,3.4699%,8,信号
603687,大胜达,2021-09-03,8.539,2021-09-13,8.641,58500,5429.97,1.0864%,6,信号
000815,美利云,2021-09-06,7.364,2021-09-10,6.817,67900,-37628.83,-7.5221%,4,信号
002310,东方新能,2021-09-06,3.122,2021-09-13,3.158,125200,4221.75,1.0797%,5,信号
300031,宝通科技,2021-09-06,16.408,2021-09-23,21.479,30400,153584.18,30.7748%,11,信号
300187,永清环保,2021-09-06,8.977,2021-09-13,8.449,55600,-29880.89,-5.9834%,5,信号
600602,云赛智联,2021-09-06,6.315,2021-09-13,6.079,79100,-19173.37,-3.8364%,5,信号
300032,金龙机电,2021-09-07,6.603,2021-09-17,6.417,74700,-14418.6,-2.9216%,8,信号
600072,中船科技,2021-09-08,14.039,2021-09-13,13.785,34200,-9159.58,-1.9068%,3,信号
000931,中关村,2021-09-10,8.294,2021-09-14,7.816,60200,-29263.83,-5.8580%,2,信号
601177,杭齿前进,2021-09-10,9.242,2021-09-15,8.873,48600,-18376.34,-4.0894%,3,信号
000793,ST华闻,2021-09-13,2.502,2021-09-16,2.48,199800,-4991.4,-0.9979%,3,信号
002827,高争民爆,2021-09-13,9.995,2021-09-27,9.775,50000,-11488.5,-2.2977%,8,信号
300148,天舟文化,2021-09-13,3.902,2021-09-17,3.698,128100,-26593.57,-5.3178%,4,信号
300494,盛天网络,2021-09-13,7.922,2021-09-22,7.709,63100,-13921.82,-2.7837%,5,信号
600135,乐凯胶片,2021-09-13,7.963,2021-09-22,7.825,62700,-9140.91,-1.8299%,5,信号
600326,西藏天路,2021-09-13,5.403,2021-09-22,5.389,92500,-1738.26,-0.3477%,5,信号
600423,ST柳化,2021-09-13,4.062,2021-09-27,3.988,123000,-9600.15,-1.9205%,8,信号
600688,上海石化,2021-09-13,4.242,2021-09-27,4.498,117800,29598.44,5.9200%,8,信号
601869,长飞光纤,2021-09-14,31.331,2021-09-17,29.32,15900,-32446.34,-6.5100%,3,信号
002374,中锐股份,2021-09-15,3.342,2021-09-17,3.218,87100,-11023.38,-3.7854%,2,信号
600370,ST三房,2021-09-15,3.302,2021-09-23,3.248,151400,-8561.67,-1.7119%,4,信号
600683,京投发展,2021-09-15,6.573,2021-09-28,5.997,76000,-44275.33,-8.8583%,7,信号
601258,ST庞大,2021-09-15,1.941,2021-09-22,1.849,257600,-24160.31,-4.8297%,3,信号
603577,汇金通,2021-09-15,9.551,2021-09-28,9.231,52300,-17195.3,-3.4407%,7,信号
603610,麒盛科技,2021-09-16,17.255,2021-10-29,21.602,28900,125083.31,25.0714%,24,信号
000520,凤凰航运,2021-09-17,4.102,2021-09-29,3.388,121800,-87390.3,-17.4823%,6,信号
603530,神马电力,2021-09-17,17.004,2021-09-27,16.838,29400,-5404.96,-1.0806%,4,信号
002517,恺英网络,2021-09-22,4.076,2021-09-27,4.022,122600,-7122.82,-1.4246%,3,信号
003003,天元股份,2021-09-22,12.642,2021-09-30,12.17,39500,-19150.08,-3.8329%,6,信号
300052,中青宝,2021-09-22,17.169,2021-09-24,15.812,29100,-39953.73,-7.9931%,2,信号
600731,湖南海利,2021-09-22,8.254,2021-09-27,7.846,60500,-25174.06,-5.0386%,3,信号
002942,新农股份,2021-09-23,17.376,2021-09-27,15.959,28700,-41136.7,-8.2450%,2,信号
603615,茶花股份,2021-09-23,9.225,2021-09-30,8.886,54200,-18867.57,-3.7718%,5,信号
000413,ST旭电,2021-09-24,2.441,2021-09-28,2.249,204800,-39872.52,-7.9711%,2,信号
600235,民丰特纸,2021-09-27,5.241,2021-09-29,4.946,95400,-28637.75,-5.7252%,2,信号
600356,恒丰纸业,2021-09-27,6.924,2021-09-29,6.738,72200,-13982.4,-2.7954%,2,信号
603988,中电电机,2021-09-27,18.642,2021-10-12,17.274,26800,-37142.56,-7.4305%,6,信号
600874,创业环保,2021-09-28,5.858,2021-09-30,5.752,85300,-9520.34,-1.9043%,2,信号
603538,美诺华,2021-09-28,17.979,2021-09-30,16.822,27800,-32659.45,-6.5310%,2,信号
002100,天康生物,2021-09-29,8.396,2021-10-08,8.128,59500,-16453.18,-3.2918%,2,信号
601200,上海环境,2021-09-29,10.487,2021-10-12,9.927,47600,-27151.71,-5.4364%,4,信号
601827,三峰环境,2021-09-30,9.765,2021-10-12,8.206,51200,-80280.08,-16.0492%,3,信号
000860,顺鑫农业,2021-10-08,35.073,2021-10-18,34.708,14200,-5676.88,-1.1393%,6,信号
000876,新希望,2021-10-08,14.673,2021-10-13,14.319,34000,-12545.73,-2.5135%,3,信号
002646,天佑德酒,2021-10-08,21.412,2021-10-18,21.42,23300,-298.99,-0.0599%,6,信号
300789,唐源电气,2021-10-08,16.416,2021-10-12,15.087,30400,-40872.9,-8.1860%,2,信号
601199,江南水务,2021-10-12,3.918,2021-10-14,3.744,127600,-22669.68,-4.5323%,2,信号
600540,新赛股份,2021-10-13,6.703,2021-10-15,6.197,74500,-38211.06,-7.6476%,2,信号
603633,徕木股份,2021-10-14,10.254,2021-10-22,9.967,48700,-14474.67,-2.8971%,6,信号
600336,澳柯玛,2021-10-18,7.044,2021-10-27,7.576,70900,37249.45,7.4553%,7,信号
002212,天融信,2021-10-20,17.602,2021-10-26,17.234,28400,-10929.34,-2.1853%,4,信号
603358,华达科技,2021-10-21,18.529,2021-10-27,17.721,26900,-22226.13,-4.4569%,4,信号
603366,日出东方,2021-10-21,4.677,2021-10-29,4.343,106800,-36207.34,-7.2445%,6,信号
002885,京泉华,2021-10-22,9.934,2021-12-13,22.847,50300,648679.68,129.7546%,36,信号
603060,国检集团,2021-10-27,15.319,2021-10-29,13.569,32600,-57502.73,-11.5089%,2,信号
300336,新文退,2021-10-28,3.172,2021-11-10,3.728,157600,87168.58,17.4305%,9,信号
605288,凯迪股份,2021-11-01,45.851,2021-11-03,41.521,10900,-47669.74,-9.5335%,2,信号
300478,杭州高新,2021-11-04,9.465,2021-11-10,9.235,52800,-12603.36,-2.5207%,4,信号
002801,微光股份,2021-11-05,16.028,2021-12-03,17.911,31100,58034.48,11.6367%,20,信号
603836,海程邦达,2021-11-05,14.705,2021-11-24,15.736,34000,34528.98,6.9026%,13,信号
000062,深圳华强,2021-11-08,14.317,2021-11-17,14.443,34900,3882.28,0.7766%,7,信号
002960,青鸟智控,2021-11-08,12.908,2021-11-24,15.218,38700,88850.27,17.7769%,12,信号
600360,华微电子,2021-11-08,9.233,2021-12-03,10.143,54100,48723.77,9.7499%,19,信号
600731,湖南海利,2021-11-08,7.564,2021-11-25,8.636,66100,70317.2,14.0574%,13,信号
603228,景旺电子,2021-11-08,26.023,2021-11-16,26.287,19200,4563.65,0.9129%,6,信号
603711,香飘飘,2021-11-08,15.508,2021-11-11,15.222,32200,-9683.51,-1.9383%,3,信号
000823,超声电子,2021-11-09,12.236,2021-11-26,13.053,40800,32832.18,6.5732%,13,信号
000021,深科技,2021-11-10,15.108,2021-11-17,14.563,33000,-18469.11,-3.7027%,5,信号
003019,宸展光电,2021-11-10,19.553,2021-11-17,19.254,25500,-8104.08,-1.6246%,5,信号
600556,天下秀,2021-11-15,13.318,2021-11-17,12.245,37500,-40708.58,-8.1472%,2,信号
605259,绿田机械,2021-11-15,14.709,2021-11-26,16.291,33900,53087.38,10.6410%,9,信号
002993,奥海科技,2021-11-16,36.645,2021-11-22,35.839,13600,-11457.79,-2.2979%,4,信号
002231,ST奥维,2021-11-17,5.663,2021-11-24,5.707,88200,3407.17,0.6818%,5,信号
000727,冠捷科技,2021-11-18,2.951,2021-11-24,2.809,169400,-24691.75,-4.9361%,4,信号
603031,安孚科技,2021-11-18,17.638,2021-11-23,16.997,28300,-18611.07,-3.7267%,3,信号
603377,ST东时,2021-11-18,8.734,2021-11-23,8.356,57200,-22141.55,-4.4296%,3,信号
000665,湖北广电,2021-11-19,3.622,2021-11-26,3.618,138000,-999.12,-0.1998%,5,信号
002686,亿利达,2021-11-19,6.633,2021-11-24,6.487,75300,-11529.94,-2.3072%,3,信号
300848,美瑞新材,2021-11-19,10.974,2021-11-29,10.752,45500,-10634.54,-2.1287%,6,信号
600237,铜峰电子,2021-11-19,6.723,2021-12-10,7.726,74300,73969.38,14.7999%,15,信号
605050,福然德,2021-11-19,9.407,2021-12-09,10.097,53100,36134.35,7.2305%,14,信号
002433,太安退,2021-11-22,6.213,2021-12-03,6.427,64000,13271.04,3.3358%,9,信号
603458,勘设股份,2021-11-22,12.118,2021-11-30,12.096,41200,-1409.62,-0.2822%,6,信号
601700,风范股份,2021-11-23,4.583,2021-11-29,4.419,200,-42.9,-4.6547%,4,信号
603917,合力科技,2021-11-23,21.211,2021-12-09,24.178,23500,69198.35,13.8758%,12,信号
605199,ST葫芦娃,2021-11-23,23.747,2021-11-30,23.853,19300,1590.32,0.3468%,5,信号
002342,巨力索具,2021-11-24,4.299,2021-12-03,4.345,116300,4809.7,0.9615%,7,信号
603916,苏博特,2021-11-25,20.28,2021-12-01,19.71,24600,-14513.76,-2.9077%,4,信号
002467,二六三,2021-11-26,4.172,2021-11-30,3.998,119800,-21344.77,-4.2684%,2,信号
002584,西陇科学,2021-11-26,6.93,2021-12-08,7.443,72100,36455.64,7.2921%,8,信号
002634,ST棒杰,2021-11-26,5.273,2021-12-13,6.057,94800,73817.93,14.7608%,11,信号
600262,北方股份,2021-11-26,10.739,2022-01-11,13.827,46500,143007.62,28.6227%,31,信号
600818,ST中路,2021-11-26,9.049,2021-12-03,8.91,55200,-8167.28,-1.6343%,5,信号
600857,宁波中百,2021-11-26,9.56,2021-12-03,9.52,52300,-2566.88,-0.5131%,5,信号
601609,金田股份,2021-11-26,9.117,2021-12-03,9.107,54800,-998.68,-0.1998%,5,信号
003032,传智教育,2021-11-29,22.246,2021-12-06,22.044,10600,-2377.47,-1.0077%,5,信号
300708,聚灿光电,2021-11-29,13.854,2021-12-03,13.868,36000,10.01,0.0020%,4,信号
002512,ST达华,2021-11-30,3.372,2021-12-06,3.218,148200,-23206.64,-4.6419%,4,信号
600843,上工申贝,2021-11-30,6.555,2021-12-03,6.359,76200,-15462.05,-3.0939%,3,信号
605055,迎丰股份,2021-11-30,7.965,2021-12-03,7.917,54900,-3067.92,-0.7012%,3,信号
002316,亚联发展,2021-12-01,4.132,2021-12-07,3.958,117300,-20889.96,-4.3078%,4,信号
000415,渤海租赁,2021-12-03,3.072,2021-12-09,2.989,162700,-14001.97,-2.8005%,4,信号
002657,中科金财,2021-12-03,12.006,2021-12-24,12.404,41600,16040.55,3.2100%,15,信号
600236,桂冠电力,2021-12-03,4.994,2021-12-15,5.199,100100,20000.59,3.9985%,8,信号
600267,海正药业,2021-12-03,12.724,2021-12-08,12.572,39200,-6479.6,-1.2984%,3,信号
600271,航天信息,2021-12-03,12.538,2021-12-13,12.366,39800,-7359.18,-1.4740%,6,信号
603106,恒银科技,2021-12-03,5.403,2021-12-27,5.617,92500,19330.66,3.8661%,16,信号
000710,贝瑞基因,2021-12-06,23.102,2021-12-08,21.389,21600,-37464.99,-7.5044%,2,信号
002679,福建金森,2021-12-06,14.238,2021-12-10,13.964,35100,-10115.89,-2.0231%,4,信号
300022,吉峰科技,2021-12-06,5.013,2021-12-13,4.898,99700,-11955.03,-2.3910%,5,信号
300132,诺斯贝尔,2021-12-06,11.396,2021-12-14,11.264,43800,-6248.51,-1.2513%,6,信号
600356,恒丰纸业,2021-12-06,6.954,2021-12-08,6.758,71800,-14626.53,-2.9278%,2,信号
600830,香溢融通,2021-12-06,5.374,2021-12-13,5.228,26200,-3945.77,-2.8012%,5,信号
002600,领益智造,2021-12-07,7.269,2021-12-14,7.221,63800,-3476.46,-0.7493%,5,信号
001205,盛航股份,2021-12-08,16.416,2021-12-13,16.35,30400,-2516.09,-0.5039%,3,信号
002190,成飞集成,2021-12-08,29.683,2021-12-16,30.483,16800,12933.21,2.5922%,6,信号
600717,天津港,2021-12-08,3.746,2021-12-15,3.642,127400,-13681.23,-2.8654%,5,信号
601018,宁波港,2021-12-08,3.566,2021-12-15,3.452,140200,-16405.93,-3.2801%,5,信号
000672,上峰材料,2021-12-09,14.241,2021-12-15,13.752,35100,-17655.06,-3.5302%,4,信号
000852,石化机械,2021-12-09,6.883,2021-12-15,6.717,72600,-12603.36,-2.5207%,4,信号
002609,捷顺科技,2021-12-09,9.826,2021-12-17,9.706,50800,-6580.23,-1.3176%,6,信号
000055,方大集团,2021-12-10,4.782,2021-12-14,4.628,104500,-16658.35,-3.3316%,2,信号
000756,新华制药,2021-12-10,9.23,2021-12-14,8.401,54100,-45315.79,-9.0709%,2,信号
000678,襄阳轴承,2021-12-13,4.812,2021-12-16,4.708,103800,-11368.18,-2.2746%,3,信号
000736,中交发展,2021-12-13,6.143,2021-12-20,5.907,81300,-19678.67,-3.9382%,5,信号
000767,晋控电力,2021-12-13,3.492,2021-12-27,3.998,143100,71909.2,14.3842%,10,信号
000861,海印股份,2021-12-13,3.392,2021-12-20,3.208,147400,-27504.85,-5.4989%,5,信号
300295,ST三六,2021-12-13,10.975,2021-12-21,11.124,45500,6274.45,1.2558%,6,信号
600469,风神股份,2021-12-13,4.082,2021-12-24,4.118,122400,3892.32,0.7786%,9,信号
000595,新能股份,2021-12-14,2.971,2021-12-23,3.508,168200,89738.09,17.9457%,7,信号
002246,北化股份,2021-12-14,7.559,2021-12-27,7.581,66100,982.25,0.1965%,9,信号
600771,广誉远,2021-12-14,34.627,2021-12-30,39.27,14400,66327.86,13.2953%,12,信号
601600,中国铝业,2021-12-14,5.688,2021-12-16,5.372,87900,-28221.18,-5.6419%,2,信号
600588,用友网络,2021-12-15,36.308,2021-12-21,34.533,13700,-24808.51,-4.9849%,4,信号
603516,淳中科技,2021-12-15,20.274,2021-12-22,20.434,24600,3426.58,0.6867%,5,信号
603669,灵康药业,2021-12-15,10.176,2021-12-21,9.626,49100,-27486.28,-5.4984%,4,信号
603660,苏州科达,2021-12-16,6.683,2021-12-24,6.657,74800,-2493.83,-0.4986%,6,信号
603896,寿仙谷,2021-12-16,38.144,2022-01-11,43.192,13100,65600.38,13.1217%,17,信号
605081,退市太和,2021-12-16,22.949,2021-12-24,22.748,21700,-4875.93,-0.9786%,6,信号
603222,济民健康,2021-12-17,10.399,2021-12-27,10.825,48000,19909.25,3.9865%,6,信号
603339,四方科技,2021-12-17,12.498,2021-12-24,12.226,40000,-11388.96,-2.2770%,5,信号
603598,引力传媒,2021-12-17,10.805,2021-12-27,10.445,46200,-17151.75,-3.4341%,6,信号
002691,ST冀凯,2021-12-20,5.408,2021-12-23,5.202,92400,-19460.37,-3.8927%,3,信号
605151,西上海,2021-12-20,21.831,2021-12-23,20.63,22900,-27994.34,-5.5969%,3,信号
300250,初灵信息,2021-12-21,13.757,2021-12-27,12.284,36300,-53943.27,-10.7968%,4,信号
600391,航发科技,2021-12-21,25.002,2022-01-06,25.587,19900,11132.26,2.2363%,11,信号
603711,香飘飘,2021-12-21,15.908,2021-12-24,15.282,31400,-20133.37,-4.0286%,3,信号
000409,云鼎科技,2021-12-22,6.133,2021-12-30,6.387,81500,20169.63,4.0332%,6,信号
000552,甘肃能化,2021-12-23,3.124,2021-12-29,3.11,160000,-2597.44,-0.5195%,4,信号
002305,ST南置,2021-12-23,2.161,2021-12-27,2.089,231300,-17174.03,-3.4341%,2,信号
002503,ST搜特,2021-12-23,1.651,2021-12-27,1.589,302800,-19149.08,-3.8289%,2,信号
300612,宣亚国际,2021-12-24,32.956,2021-12-30,28.206,15100,-72195.53,-14.5003%,4,信号
600162,香江控股,2021-12-24,1.737,2021-12-29,1.665,287800,-21125.1,-4.2240%,3,信号
600622,光大嘉宝,2021-12-24,2.947,2021-12-29,2.825,169600,-21330.94,-4.2650%,3,信号
601099,太平洋,2021-12-24,3.302,2021-12-30,3.238,151400,-10074.16,-2.0143%,4,信号
601860,紫金银行,2021-12-24,2.871,2021-12-29,2.789,174100,-14913.41,-2.9817%,3,信号
601996,丰林集团,2021-12-24,3.233,2021-12-28,3.109,154600,-19532.48,-3.9064%,2,信号
001209,洪兴股份,2021-12-27,18.856,2022-01-06,18.488,26500,-10264.62,-2.0531%,7,信号
002118,ST紫鑫,2021-12-27,3.032,2022-01-14,3.398,164900,59952.71,11.9870%,13,信号
300603,立昂技术,2021-12-27,10.705,2022-01-04,11.544,46700,38655.93,7.7283%,5,信号
600167,联美控股,2021-12-27,8.262,2021-12-30,7.934,60500,-20339.86,-4.0671%,3,信号
603918,金桥信息,2021-12-27,9.216,2022-01-04,8.847,54200,-20490.97,-4.1004%,5,信号
