日期,等权净值
2021-08-17,1.000000
2021-08-18,1.000000
2021-08-19,1.000000
2021-08-20,1.038761
2021-08-23,1.045117
2021-08-24,1.034151
2021-08-25,1.041441
2021-08-26,1.033811
2021-08-27,1.024291
2021-08-30,1.016343
2021-08-31,1.024943
2021-09-01,1.026590
2021-09-02,1.039231
2021-09-03,1.034746
2021-09-06,1.044496
2021-09-07,1.055200
2021-09-08,1.078760
2021-09-09,1.080056
2021-09-10,1.065535
2021-09-13,1.085993
2021-09-14,1.055378
2021-09-15,1.070753
2021-09-16,1.055047
2021-09-17,1.053870
2021-09-22,1.071396
2021-09-23,1.065094
2021-09-24,1.038597
2021-09-27,1.010065
2021-09-28,1.005128
2021-09-29,0.973891
2021-09-30,0.981721
2021-10-08,0.994671
2021-10-11,0.958132
2021-10-12,0.953375
2021-10-13,0.938572
2021-10-14,0.909145
2021-10-15,0.906045
2021-10-18,0.919648
2021-10-19,0.937898
2021-10-20,0.944265
2021-10-21,0.943257
2021-10-22,0.959788
2021-10-25,0.968016
2021-10-26,0.939647
2021-10-27,0.941859
2021-10-28,0.959701
2021-10-29,0.957464
2021-11-01,0.941256
2021-11-02,0.912407
2021-11-03,0.901694
2021-11-04,0.932469
2021-11-05,0.959764
2021-11-08,0.984031
2021-11-09,0.978914
2021-11-10,0.985193
2021-11-11,1.015431
2021-11-12,1.039526
2021-11-15,1.046396
2021-11-16,1.028345
2021-11-17,1.045270
2021-11-18,1.029617
2021-11-19,1.029712
2021-11-22,1.039024
2021-11-23,1.043445
2021-11-24,1.051707
2021-11-25,1.059233
2021-11-26,1.050838
2021-11-29,1.059599
2021-11-30,1.072259
2021-12-01,1.085465
2021-12-02,1.069684
2021-12-03,1.070411
2021-12-06,1.056081
2021-12-07,1.059589
2021-12-08,1.064500
2021-12-09,1.060245
2021-12-10,1.057856
2021-12-13,1.053914
2021-12-14,1.056235
2021-12-15,1.065999
2021-12-16,1.073848
2021-12-17,1.075878
2021-12-20,1.084722
2021-12-21,1.087026
