序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1,000001,平安银行,2024-02-27,8.571,2024-03-05,8.373,-2.4132%,-2.3155%,5,信号
2,000004,国华退,2022-01-10,21.111,2022-01-21,21.189,0.2732%,0.3735%,9,信号
3,000006,深振业Ａ,2023-11-27,4.762,2023-11-29,4.678,-1.8771%,-1.7789%,2,信号
4,000006,深振业Ａ,2025-04-01,7.394,2025-04-07,6.477,-12.4892%,-12.4016%,3,信号
5,000008,神州高铁,2025-02-25,2.891,2025-03-03,2.759,-4.6891%,-4.5937%,4,信号
6,000008,神州高铁,2025-11-18,3.382,2025-11-20,3.178,-6.1052%,-6.0112%,2,信号
7,000009,中国宝安,2026-08-06,7.654,2026-08-17,7.916,3.3225%,3.4259%,7,信号
8,000010,ST美丽,2026-03-04,3.992,2026-03-13,4.098,2.5516%,2.6542%,7,信号
9,000012,南玻Ａ,2026-03-03,4.923,2026-03-05,4.849,-1.6195%,-1.5210%,2,信号
10,000014,沙河股份,2022-09-09,8.788,2022-09-21,8.99,2.1861%,2.2884%,7,信号
11,000014,沙河股份,2025-05-23,11.566,2025-06-04,11.574,-0.0272%,0.0729%,7,信号
12,000017,深中华A,2022-03-01,3.702,2022-03-04,3.648,-1.5485%,-1.4500%,3,信号
13,000017,深中华A,2024-01-29,12.316,2024-02-01,10.615,-13.9011%,-13.8149%,3,信号
14,000017,深中华A,2025-09-12,7.114,2025-09-18,6.897,-3.1475%,-3.0506%,4,信号
15,000019,深粮控股,2023-02-28,7.514,2023-03-08,7.366,-2.0603%,-1.9623%,6,信号
16,000019,深粮控股,2025-10-27,6.983,2025-10-29,6.807,-2.6305%,-2.5330%,2,信号
17,000021,深科技,2021-11-10,15.108,2021-11-17,14.563,-3.7027%,-3.6064%,5,信号
18,000025,特力Ａ,2024-01-29,17.168,2024-01-31,16.851,-1.9447%,-1.8466%,2,信号
19,000025,特力Ａ,2026-08-05,15.418,2026-08-10,14.933,-3.2437%,-3.1469%,3,信号
20,000026,飞亚达,2022-08-15,9.205,2022-08-22,8.876,-3.6711%,-3.5747%,5,信号
21,000026,飞亚达,2022-12-07,9.785,2022-12-12,9.565,-2.3428%,-2.2450%,3,信号
22,000026,飞亚达,2026-01-13,17.539,2026-01-16,16.462,-6.2345%,-6.1407%,3,信号
23,000027,深圳能源,2025-10-28,7.054,2025-11-03,6.887,-2.4648%,-2.3672%,4,信号
24,000029,深深房Ａ,2025-02-14,15.023,2025-02-24,15.377,2.2595%,2.3618%,6,信号
25,000031,大悦城,2021-12-24,3.712,2021-12-28,3.678,-1.0068%,-0.9078%,2,信号
26,000035,中国天楹,2025-09-15,4.982,2025-09-19,4.828,-3.2059%,-3.1090%,4,信号
27,000037,深南电A,2024-01-24,9.073,2024-02-02,8.374,-7.7938%,-7.7015%,7,信号
28,000037,深南电A,2025-06-04,9.083,2025-06-10,8.934,-1.7389%,-1.6406%,4,信号
29,000037,深南电A,2025-11-14,9.763,2025-11-19,9.253,-5.3136%,-5.2188%,3,信号
30,000038,大通退,2022-01-26,8.494,2022-02-15,9.635,13.3185%,13.4319%,9,信号
31,000042,中洲控股,2022-09-09,9.223,2022-09-20,9.933,7.5954%,7.7030%,6,信号
