序号,代码,名称,第二板日期,买入日,买入价,卖出日,卖出价,净收益率,回调等待天数,第二板成交额(亿)
1,002599,盛通股份,20210817,20210902,9.085,20210907,9.525,4.7510%,12,4.98
2,002941,新疆交建,20210817,20210824,10.695,20210827,10.405,-2.8166%,5,5.47
3,002986,宇新股份,20210817,20210827,22.927,20210901,23.649,3.0478%,8,2.54
4,003039,顺控发展,20210817,20210823,33.135,20210826,33.611,1.3385%,4,4.60
5,300435,中泰股份,20210817,20210825,20.041,20210830,25.548,27.3797%,6,15.99
6,603136,天目湖,20210817,20210823,10.938,20210826,11.258,2.8246%,4,1.04
7,603759,海天股份,20210817,20210823,11.982,20210826,12.119,1.0430%,4,3.71
8,002060,广东建工,20210818,20210823,3.419,20210826,3.335,-2.5388%,3,1.02
9,002300,太阳电缆,20210818,20210824,6.009,20210827,7.011,16.5831%,4,1.57
10,605399,晨光新材,20210818,20210825,20.573,20210830,22.854,10.9837%,5,2.75
11,000836,ST富通,20210819,20210824,2.501,20210827,2.429,-2.9972%,3,4.93
12,002529,海源复材,20210819,20210827,21.421,20210901,19.560,-8.7855%,6,7.74
13,002668,TCL智家,20210819,20210825,5.709,20210830,5.673,-0.7252%,4,6.06
14,002939,长城证券,20210819,20210826,11.195,20210831,9.954,-11.1819%,5,18.83
15,003032,传智教育,20210819,20210825,27.289,20210830,27.061,-0.9325%,4,3.57
16,003040,楚天龙,20210819,20210827,25.191,20210901,23.276,-7.6990%,6,2.67
17,600773,西藏城投,20210819,20210906,29.981,20210909,31.930,6.4009%,12,20.96
18,002369,卓翼科技,20210820,20210826,7.314,20210831,7.546,3.0799%,4,4.14
19,000576,甘化科工,20210823,20210831,15.028,20210903,14.613,-2.8604%,6,4.36
20,000821,ST京机,20210823,20210901,16.289,20210906,14.924,-8.4835%,7,3.86
21,000922,佳电股份,20210823,20210827,6.501,20210901,7.610,16.9574%,4,3.60
22,000935,四川双马,20210823,20210827,22.432,20210901,23.039,2.6071%,4,3.00
23,002015,协鑫能科,20210823,20210830,14.417,20210902,14.863,2.9891%,5,12.45
24,002132,恒星科技,20210823,20210902,4.950,20210907,5.375,8.4817%,8,12.38
25,002248,华东数控,20210823,20210907,11.926,20210910,11.874,-0.5352%,11,0.16
26,002915,中欣氟材,20210823,20210902,18.830,20210907,17.927,-4.8974%,8,1.28
27,002943,宇晶股份,20210823,20210902,8.889,20210907,9.760,9.6945%,8,1.36
28,300809,华辰装备,20210823,20210909,30.100,20210914,29.001,-3.7497%,8,1.68
29,300946,恒而达,20210823,20210902,40.670,20210907,39.296,-3.4783%,8,2.97
30,600727,鲁北化工,20210823,20210902,12.356,20210907,12.224,-1.1706%,8,7.10
31,601882,海天精工,20210823,20210902,26.467,20210907,27.570,4.0673%,8,1.27
32,603260,合盛硅业,20210823,20210907,195.085,20210910,213.531,9.3552%,11,18.47
33,000629,钒钛股份,20210824,20210906,4.532,20210909,4.868,7.2981%,9,10.96
34,000837,秦川机床,20210824,20210906,13.167,20210909,12.274,-6.8802%,9,0.80
35,002897,意华股份,20210824,20210906,41.071,20210909,40.560,-1.3438%,9,2.11
36,003038,鑫铂股份,20210824,20210902,34.933,20210907,35.184,0.6183%,7,0.33
37,300179,四方达,20210824,20210831,10.479,20210903,10.949,4.3782%,5,9.26
38,600243,ST海华,20210824,20210907,5.923,20210910,5.937,0.1376%,10,1.18
39,600295,鄂尔多斯,20210824,20210906,13.601,20210909,15.902,16.8199%,9,4.33
40,600641,先导基电,20210824,20210830,26.016,20210902,21.172,-18.7177%,4,10.92
41,600961,株冶集团,20210824,20210902,11.616,20210907,11.994,3.1559%,7,0.23
42,603080,新疆火炬,20210824,20210831,13.606,20210903,13.632,0.0939%,5,1.96
43,603688,石英股份,20210824,20210902,22.641,20210907,21.452,-5.3517%,7,4.36
44,002489,浙江永强,20210825,20210831,3.567,20210903,3.563,-0.2000%,4,2.61
45,002631,德尔未来,20210825,20210902,9.305,20210907,8.995,-3.4225%,6,0.48
46,600478,科力远,20210825,20210831,7.959,20210903,7.631,-4.2186%,4,14.39
47,601388,怡球资源,20210825,20210908,6.085,20210913,6.829,12.1192%,10,6.77
48,603969,银龙股份,20210825,20210901,4.332,20210906,4.298,-0.8921%,5,2.19
