序号,代码,名称,第二板日期,买入日(次日开盘),净收益率,成交额(亿),换手率(%),同行业涨停家数,跳空(%)
1,600641,先导基电,20210824,20210825,6.0983%,10.92,4.81,2,1.64
2,000629,钒钛股份,20210824,20210825,-4.0057%,10.96,3.06,2,5.00
3,600478,科力远,20210825,20210826,-1.6487%,14.39,10.80,1,0.98
4,603612,索通发展,20210831,20210901,-8.9547%,10.90,8.89,1,3.04
5,600500,中化国际,20210831,20210901,-8.7226%,18.61,4.81,2,2.06
6,601126,四方股份,20210901,20210902,6.9276%,14.41,13.67,2,-0.68
7,000935,四川双马,20210901,20210902,11.6988%,10.33,5.69,2,5.49
8,601800,中国交建,20210902,20210903,-5.7703%,27.59,3.20,2,3.54
9,600740,山西焦化,20210908,20210909,0.5431%,11.56,4.80,1,8.58
10,600691,潞化科技,20210909,20210910,4.3717%,15.19,11.34,2,1.37
11,603612,索通发展,20210909,20210910,1.7331%,14.23,9.97,1,0.03
12,002895,川恒股份,20210909,20210910,9.1586%,9.23,4.34,2,-2.28
13,000676,智度股份,20210910,20210913,10.6642%,9.60,9.12,1,-7.62
14,002155,湖南黄金,20210910,20210913,1.8506%,11.97,6.72,2,1.23
15,600259,中稀有色,20210910,20210913,3.0380%,14.03,7.15,1,5.02
16,002176,江特电机,20210913,20210914,3.1312%,69.62,13.93,2,0.80
17,002539,云图控股,20210914,20210915,9.3280%,8.41,5.14,1,3.39
18,002647,仁东控股,20210914,20210915,2.1459%,10.94,13.48,1,-1.78
19,000829,天音控股,20210923,20210924,-7.4275%,16.22,8.44,1,2.93
20,600170,上海建工,20210923,20210924,2.5521%,10.11,3.51,1,11.01
21,002108,沧州明珠,20211025,20211026,2.1054%,12.78,9.27,2,4.36
22,300672,国科微,20211025,20211026,2.8435%,12.85,3.84,1,5.46
23,002487,大金重工,20211117,20211118,0.4743%,20.59,7.32,2,2.15
24,002056,横店东磁,20211117,20211118,-3.6954%,28.53,11.72,2,1.85
25,600691,潞化科技,20211119,20211122,-1.8377%,9.97,9.23,1,2.74
26,603916,苏博特,20211119,20211122,4.3454%,8.21,9.64,1,-2.29
27,600556,天下秀,20211119,20211122,-5.3519%,16.28,6.03,2,-2.10
28,300224,正海磁材,20211124,20211125,1.4246%,21.97,13.48,2,4.48
29,002600,领益智造,20211202,20211203,-3.7701%,43.43,7.63,2,-1.76
30,000860,顺鑫农业,20211203,20211206,1.5396%,30.02,10.81,1,1.46
31,601212,白银有色,20211209,20211210,-5.2126%,9.35,3.78,1,0.59
32,000962,东方钽业,20211209,20211210,8.5570%,8.09,12.51,1,-3.48
33,002232,启明信息,20211210,20211213,5.7297%,8.93,9.21,1,9.51
34,002945,华林证券,20211217,20211220,-2.5183%,19.77,4.75,1,-4.20
35,000795,英洛华,20211221,20211222,-16.6231%,14.81,13.33,1,8.05
36,000970,中科三环,20211231,20220104,-1.2785%,22.72,13.12,2,2.02
37,002489,浙江永强,20220218,20220221,9.5525%,8.60,12.20,1,1.52
38,002075,沙钢股份,20220221,20220222,-3.4700%,9.46,6.31,1,-3.31
39,603399,永杉锂业,20220228,20220301,1.8257%,11.64,11.35,2,3.19
40,600056,中国医药,20220330,20220331,-21.5515%,36.54,9.24,2,6.98
41,002183,怡亚通,20220513,20220516,-2.6002%,10.34,5.30,1,4.49
42,601975,招商南油,20220516,20220517,3.8323%,14.40,10.82,1,0.34
43,002761,浙江建投,20220527,20220530,5.8467%,37.99,9.75,1,4.02
44,600127,金健米业,20220531,20220601,-6.5642%,8.82,14.00,1,0.00
45,600536,中国软件,20220607,20220608,6.3037%,10.53,4.58,2,4.68
46,603396,金辰股份,20220607,20220608,0.0816%,11.47,12.09,1,1.81
47,000025,特力Ａ,20220608,20220609,-20.4441%,12.50,13.05,1,7.20
48,600777,新潮能源,20220608,20220609,-0.9213%,20.23,12.24,1,2.59
49,601788,光大证券,20220609,20220610,8.5496%,22.77,4.55,2,1.81
50,600259,中稀有色,20220613,20220614,2.5665%,9.73,6.02,2,2.68
51,600335,国机汽车,20220622,20220623,-1.7164%,14.43,8.65,1,1.37
