日期,九阴一阳,五阴一阳,六阴一阳,TD低九当日,TD低九后一多
2021-08-17,1.000000,1.000000,1.000000,1.000000,1.000000
2021-08-18,1.000000,1.003714,1.000000,1.001355,1.012063
2021-08-19,1.022592,1.010902,1.005228,1.004343,1.007278
2021-08-20,1.025856,1.002909,0.992374,0.988916,1.003261
2021-08-23,1.046347,1.031502,1.019253,1.010586,1.022583
2021-08-24,1.057296,1.033942,1.020797,1.016275,1.025844
2021-08-25,1.046717,1.041402,1.024581,1.021853,1.027281
2021-08-26,1.049623,1.031875,1.014360,1.006572,1.015266
2021-08-27,1.040203,1.026836,1.009433,0.999279,1.011054
2021-08-30,1.035229,1.030615,1.011145,0.992930,1.007346
2021-08-31,1.035478,1.023092,1.003997,0.984725,0.998672
2021-09-01,1.050661,1.025265,1.010531,0.987291,0.999712
2021-09-02,1.043867,1.025867,1.011780,0.987199,1.000076
2021-09-03,1.045926,1.030992,1.014233,0.995539,1.006569
2021-09-06,1.054250,1.042246,1.025451,1.008067,1.020650
2021-09-07,1.056109,1.048876,1.029940,1.013533,1.026402
2021-09-08,1.081143,1.054769,1.036893,1.022130,1.033099
2021-09-09,1.060494,1.048037,1.030439,1.016691,1.028352
2021-09-10,1.050362,1.044101,1.027919,1.016986,1.025739
2021-09-13,1.037210,1.041968,1.025923,1.009288,1.022263
2021-09-14,1.028252,1.038011,1.020115,1.006291,1.016587
2021-09-15,1.021992,1.037978,1.020661,1.001959,1.010678
2021-09-16,1.008038,1.023763,1.005095,0.982993,0.996443
2021-09-17,1.001637,1.020636,1.005903,0.976412,0.993165
2021-09-22,1.013203,1.016497,1.000094,0.977704,0.988021
2021-09-23,1.020806,1.022358,1.005129,0.987435,0.996602
2021-09-24,1.005160,1.010490,0.994636,0.974614,0.992596
2021-09-27,0.980901,0.997610,0.981655,0.953332,0.979134
2021-09-28,0.976711,0.994249,0.977918,0.954230,0.976939
2021-09-29,0.953784,0.971573,0.955146,0.931230,0.957242
2021-09-30,0.959776,0.983946,0.967125,0.944036,0.967130
2021-10-08,0.966720,0.986088,0.973280,0.958236,0.975488
2021-10-11,0.966692,0.986120,0.973677,0.960417,0.974733
2021-10-12,0.952659,0.969607,0.956343,0.946055,0.961520
2021-10-13,0.959491,0.975018,0.964683,0.951682,0.968809
2021-10-14,0.961873,0.982778,0.969423,0.957567,0.974913
2021-10-15,0.954593,0.975781,0.962760,0.949216,0.967424
2021-10-18,0.960471,0.981370,0.968004,0.956068,0.970691
2021-10-19,0.968775,0.983656,0.973528,0.958884,0.974639
2021-10-20,0.964315,0.982676,0.974902,0.956889,0.974843
2021-10-21,0.977310,0.978782,0.974281,0.954826,0.969917
2021-10-22,0.959560,0.968920,0.963285,0.944149,0.960411
2021-10-25,0.961896,0.970872,0.966821,0.949988,0.965860
2021-10-26,0.950873,0.967593,0.964668,0.947431,0.965317
2021-10-27,0.914642,0.947461,0.943502,0.926460,0.952154
2021-10-28,0.905309,0.935263,0.929044,0.913250,0.932869
2021-10-29,0.910862,0.945847,0.937661,0.924372,0.942451
2021-11-01,0.920150,0.955638,0.946396,0.931039,0.953927
2021-11-02,0.902873,0.940567,0.932002,0.917819,0.943864
2021-11-03,0.913467,0.949848,0.941383,0.925900,0.949886
2021-11-04,0.922768,0.958991,0.949437,0.933916,0.959639
2021-11-05,0.924028,0.957408,0.948159,0.932251,0.962095
2021-11-08,0.927572,0.961978,0.952706,0.938288,0.966977
2021-11-09,0.937754,0.971100,0.961747,0.945728,0.975756
2021-11-10,0.940934,0.974674,0.966691,0.951704,0.983069
2021-11-11,0.950226,0.985020,0.977429,0.960806,0.993902
2021-11-12,0.945998,0.987187,0.980933,0.963950,0.996947
2021-11-15,0.959488,0.996914,0.991254,0.973088,1.009635
2021-11-16,0.960448,0.995056,0.990941,0.967552,1.004636
2021-11-17,0.962888,1.001372,0.999102,0.976236,1.013774
2021-11-18,0.957343,1.004631,1.001374,0.974670,1.008724
2021-11-19,0.985129,1.017553,1.014667,0.982323,1.016440
2021-11-22,0.985175,1.025325,1.024358,0.984491,1.018296
2021-11-23,0.982534,1.025530,1.026349,0.986744,1.024148
2021-11-24,0.988721,1.026869,1.027567,0.993194,1.028265
2021-11-25,0.998696,1.027777,1.023999,0.992999,1.026999
2021-11-26,1.031995,1.023849,1.022056,0.979699,1.019683
2021-11-29,1.032755,1.021953,1.022564,0.981749,1.011542
2021-11-30,1.032755,1.023675,1.025779,0.986837,1.012492
2021-12-01,1.022507,1.031949,1.031301,0.998148,1.025701
2021-12-02,1.004549,1.023600,1.018299,0.989383,1.016362
2021-12-03,1.018123,1.030630,1.025940,0.995854,1.025358
2021-12-06,1.034221,1.021654,1.019228,0.986385,1.019673
2021-12-07,1.030509,1.023156,1.021454,0.988783,1.024710
2021-12-08,1.043230,1.032988,1.033401,0.999471,1.033881
2021-12-09,1.051562,1.042362,1.044531,1.011955,1.048825
2021-12-10,1.077544,1.046983,1.051669,1.019894,1.055008
2021-12-13,1.084840,1.049835,1.053692,1.026286,1.062980
