组,名称,笔数,胜率,平均单笔,中位数,盈亏比,平均持有,等权5年,年化,最大回撤,夏普
主口径,A 九阴一阳 TP8 SL5 max10,3058,41.60%,-0.2743%,-2.3830%,0.920,6.98,-20.36%,-4.48%,45.13%,-0.045
连阴天数,4阴一阳,155680,44.84%,0.1979%,-1.3201%,1.062,7.33,35.17%,6.26%,32.44%,0.393
连阴天数,5阴一阳,75968,44.40%,0.1655%,-1.4720%,1.051,7.22,49.33%,8.41%,28.82%,0.485
连阴天数,6阴一阳,36143,44.88%,0.2860%,-1.3925%,1.088,7.03,36.38%,6.45%,35.36%,0.398
连阴天数,7阴一阳,16610,43.35%,0.2128%,-1.8448%,1.064,6.91,-0.07%,-0.01%,41.46%,0.109
连阴天数,8阴一阳,6990,41.56%,-0.3337%,-2.3782%,0.903,7.05,-3.98%,-0.82%,41.59%,0.086
连阴天数,9阴一阳,3058,41.60%,-0.2743%,-2.3830%,0.920,6.98,-20.36%,-4.48%,45.13%,-0.045
连阴天数,10阴一阳,1331,40.72%,-0.4640%,-2.4214%,0.864,7.40,-25.79%,-5.83%,46.46%,-0.054
连阴天数,12阴一阳,269,35.32%,-0.6704%,-3.7056%,0.806,7.30,-34.67%,-8.22%,61.45%,-0.192
其它定义,B 九跌一涨（前9日收盘连跌+当日收涨）,3402,48.50%,0.9378%,-0.4925%,1.299,6.60,-9.00%,-1.88%,48.48%,0.053
其它定义,C TD低九当日（连续9日 C<C[4]）,87289,43.88%,-0.1837%,-1.4469%,0.944,7.45,-0.02%,-0.00%,38.39%,0.102
其它定义,D TD低九后一多（低九后首日 C>C[4]）,83377,45.94%,0.4233%,-0.9992%,1.141,7.54,8.64%,1.68%,38.45%,0.183
其它定义,A' 九阴一阳且当日收涨,2801,41.95%,-0.1940%,-2.1946%,0.943,6.97,-20.40%,-4.49%,47.93%,-0.043
出场,E0 止盈8%止损5%最长10日,3058,41.60%,-0.2743%,-2.3830%,0.920,6.98,-20.36%,-4.48%,45.13%,-0.045
出场,E1 持有满5日,3058,46.14%,0.0214%,-0.5249%,1.006,6.00,-6.06%,-1.25%,46.23%,0.110
出场,E2 持有满10日,3040,44.90%,-0.1982%,-1.1047%,0.954,11.00,3.42%,0.68%,49.79%,0.173
出场,E3 下一根阴线卖,3058,40.81%,0.1078%,-0.9140%,1.050,3.09,-78.19%,-26.42%,83.60%,-0.897
出场,E4 收盘站上MA5卖,3040,50.62%,-0.9660%,0.0385%,0.642,3.89,-75.09%,-24.42%,78.68%,-0.794
出场,E5 止盈8%止损5%最长5日,3058,44.34%,-0.2249%,-0.8279%,0.919,4.79,-37.02%,-8.89%,47.15%,-0.202
过滤,F0 无过滤,3058,41.60%,-0.2743%,-2.3830%,0.920,6.98,-20.36%,-4.48%,45.13%,-0.045
过滤,F1 RSI6<30,1767,42.16%,-0.2249%,-2.1634%,0.934,6.94,-55.79%,-15.16%,63.63%,-0.493
过滤,F2 RSI6<20,788,41.88%,-0.4688%,-2.1686%,0.865,7.13,-61.77%,-17.61%,71.17%,-0.587
过滤,F3 阳线放量>1.5×均量,214,47.66%,1.4252%,-1.0559%,1.451,6.32,110.39%,16.17%,40.27%,0.597
过滤,F4 阳线缩量<0.7×均量,252,32.14%,-1.6672%,-2.6686%,0.524,7.81,-84.28%,-31.12%,87.08%,-1.589
过滤,F5 流通市值50-200亿,1147,37.14%,-0.9445%,-3.5267%,0.745,7.09,-38.31%,-9.28%,68.04%,-0.197
过滤,F6 仅沪深主板,1712,44.16%,-0.0046%,-1.6169%,0.998,7.48,-27.34%,-6.23%,53.03%,-0.135
过滤,F7 RSI6<30 且放量,65,55.38%,2.6066%,1.3934%,2.005,6.03,0.53%,0.11%,29.38%,0.117
对照,21 四连阴+RSI超卖,94367,46.07%,-0.0503%,-1.1071%,0.986,7.10,-25.25%,-5.69%,57.96%,-0.156
