买入日,代码,名称,开盘净收益,开盘毛收益,收盘净收益,最高毛收益,信号日成交额
2021-08-17,000592,平潭发展,-2.6197%,-2.4221%,-1.5826%,-0.6920%,283030185
2021-08-17,002155,湖南黄金,-4.3029%,-4.1071%,-1.2287%,4.6644%,1248236958
2021-08-17,300145,南方泵业,-2.1866%,-1.9886%,-3.8894%,0.2841%,436519746
2021-08-17,300208,中程退,-3.2727%,-3.0758%,6.5887%,9.4421%,879608562
2021-08-17,600055,万东医疗,-2.4897%,-2.2920%,-0.8784%,5.9423%,935791990
2021-08-17,600531,豫光金铅,-1.3397%,-1.1409%,-2.2895%,0.7606%,432520558
2021-08-17,605196,华通线缆,-8.0233%,-7.8312%,-6.1399%,-3.6256%,553445668
2021-08-18,000532,华金资本,-1.6602%,-1.4617%,-1.9142%,-0.1907%,275411280
2021-08-18,000635,英力特,-0.2000%,0.0000%,-3.8248%,0.6531%,285780340
2021-08-18,002470,金正大,-2.8405%,-2.6432%,-2.4004%,2.6432%,379081935
2021-08-18,002570,贝因美,-0.7053%,-0.5059%,-1.8846%,0.5059%,387388548
2021-08-18,603439,三力制药,-3.4623%,-3.2657%,-7.5758%,-2.0588%,365906807
2021-08-19,000576,甘化科工,-0.0360%,0.1641%,9.7983%,10.0082%,296022525
2021-08-19,002119,康强电子,-0.8727%,-0.6734%,1.0334%,4.4893%,377577864
2021-08-19,300102,乾照光电,-2.0701%,-1.8720%,-1.0800%,1.9822%,754364658
2021-08-19,300263,隆华科技,-0.0984%,0.1016%,1.1201%,3.0494%,480281642
2021-08-19,600727,鲁北化工,0.5874%,0.7882%,10.1345%,10.3448%,505405664
2021-08-19,603393,新天然气,-3.1169%,-2.9199%,-0.3508%,0.5034%,715534924
2021-08-20,000969,安泰科技,0.6696%,0.8704%,0.6696%,2.6112%,641366614
2021-08-20,002520,日发精机,5.0464%,5.2516%,9.7463%,9.9562%,336057900
2021-08-20,300118,东方日升,3.4396%,3.6432%,5.0626%,7.9756%,1022660805
2021-08-20,300177,中海达,-0.0150%,0.1851%,4.3305%,8.1444%,331732587
2021-08-20,300222,科大智能,0.5696%,0.7703%,4.4872%,6.6527%,746587359
2021-08-20,300241,瑞丰光电,-0.8224%,-0.6231%,1.9786%,2.4922%,481091152
2021-08-20,300303,聚飞光电,-4.5115%,-4.3159%,0.4388%,1.9182%,648592753
2021-08-20,300727,润禾材料,-0.2000%,0.0000%,-1.7507%,11.1896%,510440164
2021-08-20,600804,退市鹏博,-3.3279%,-3.1311%,1.3640%,2.7397%,647424346
2021-08-23,002023,海特高新,-1.4758%,-1.2771%,-0.7741%,0.1916%,580454728
2021-08-23,002288,ST超华,-1.2466%,-1.0477%,-1.2466%,1.1641%,375683652
2021-08-23,300041,回天新材,-1.0753%,-0.8763%,-1.5364%,2.1137%,489125038
2021-08-23,300101,振芯科技,-3.6846%,-3.4881%,6.1563%,9.0433%,981262425
2021-08-23,300177,中海达,0.8614%,1.0624%,0.4192%,1.5051%,513014071
2021-08-23,300222,科大智能,0.0005%,0.2007%,-1.2691%,0.7358%,959848512
2021-08-23,300304,云意电气,-0.6414%,-0.4419%,-0.9357%,0.0000%,313526344
2021-08-23,300410,正业科技,0.4328%,0.6334%,2.8934%,3.9409%,327651073
2021-08-23,300460,ST惠伦,1.8860%,2.0881%,3.7445%,4.0623%,494126309
2021-08-23,300633,开立医疗,0.1758%,0.3761%,0.8645%,2.7893%,463993754
2021-08-23,600259,中稀有色,0.1814%,0.3818%,0.0331%,4.4115%,915134693
2021-08-23,600868,梅雁吉祥,-0.5377%,-0.3381%,-2.5640%,0.3381%,329407279
2021-08-23,601126,四方股份,-3.1922%,-2.9953%,-4.0472%,-1.8828%,680344043
2021-08-24,000822,山东海化,-1.4878%,-1.2891%,4.1235%,4.6041%,558687669
2021-08-24,002036,联创电子,0.2465%,0.4469%,-2.0975%,1.6760%,1205924545
2021-08-24,002097,山河智能,-0.8525%,-0.6532%,-1.5050%,0.2799%,635084113
2021-08-24,002274,华昌化工,1.3674%,1.5690%,-2.0973%,4.1288%,819634650
2021-08-24,002411,必康退,-0.0886%,0.1115%,9.8235%,10.0334%,716272634
2021-08-24,002428,云南锗业,-0.2000%,0.0000%,1.0664%,2.0423%,578934337
2021-08-24,300036,超图软件,-0.3387%,-0.1389%,-1.4144%,1.4588%,736804054
2021-08-24,300410,正业科技,-1.3592%,-1.1604%,-1.5638%,-1.0239%,449889882
2021-08-24,300460,ST惠伦,-1.9148%,-1.7166%,-0.2000%,1.7166%,591172063
2021-08-24,300842,帝科股份,0.4862%,0.6868%,11.0414%,14.3260%,828182030
2021-08-24,600360,华微电子,-0.9456%,-0.7464%,-2.2505%,-0.0933%,853760790
2021-08-24,600363,联创光电,1.1950%,1.3963%,-5.9407%,1.3963%,895164658
2021-08-24,600509,天富能源,0.8767%,1.0777%,-2.8916%,1.6166%,569235214
2021-08-25,000758,中色股份,-0.2000%,0.0000%,9.9502%,10.1603%,753205174
2021-08-25,002026,山东威达,1.1992%,1.4006%,-0.1300%,2.2409%,499235132
2021-08-25,002068,黑猫股份,-0.9529%,-0.7537%,4.1921%,5.7782%,339441366
2021-08-25,002160,常铝股份,-0.5784%,-0.3788%,3.9626%,6.0606%,267647909
2021-08-25,002182,宝武镁业,-3.5937%,-3.3971%,2.8096%,6.2174%,746272607
2021-08-25,002284,亚太股份,-0.3131%,-0.1133%,-1.5576%,2.4915%,400663370
2021-08-25,002520,日发精机,-2.4747%,-2.2770%,3.0226%,8.0645%,637327748
2021-08-25,300127,银河磁体,-2.8401%,-2.6428%,-3.8195%,-0.8525%,494824173
2021-08-25,601702,华峰铝业,4.5237%,4.7284%,10.8952%,11.1062%,772144587
2021-08-25,603518,锦泓集团,-0.2000%,0.0000%,1.5548%,2.8375%,422597819
2021-08-25,603936,博敏电子,-1.6117%,-1.4132%,0.2034%,4.3742%,457479031
2021-08-26,000488,ST晨鸣,-1.0496%,-0.8505%,-3.7201%,-0.8505%,723018487
2021-08-26,000655,金岭矿业,-1.7394%,-1.5410%,4.7263%,7.2940%,347100653
2021-08-26,000659,珠海中富,-0.2000%,0.0000%,4.4466%,5.2854%,364966355
2021-08-26,002068,黑猫股份,-1.0414%,-0.8423%,-3.6858%,-0.8423%,520729053
2021-08-26,002075,沙钢股份,-0.3408%,-0.1410%,-2.7358%,0.0000%,908868451
2021-08-26,002125,湘潭电化,-3.1976%,-3.0006%,10.3799%,10.5904%,559836980
2021-08-26,002130,沃尔核材,-2.6002%,-2.4026%,1.3160%,2.7820%,605896192
2021-08-26,002160,常铝股份,-0.9265%,-0.7273%,-1.4714%,2.9091%,389934831
2021-08-26,002334,英威腾,-1.1322%,-0.9332%,0.0664%,0.5333%,441228925
2021-08-26,002346,柘中股份,-0.7213%,-0.5218%,8.3497%,10.8021%,389100931
2021-08-26,002520,日发精机,-0.9345%,-0.7353%,2.8301%,5.6985%,727008823
2021-08-26,002611,东方精工,-0.0243%,0.1758%,-2.6588%,0.1758%,329355922
2021-08-26,300007,汉威科技,-2.0040%,-1.8059%,-2.4550%,-1.3168%,499559638
2021-08-26,300182,捷成股份,2.0482%,2.2504%,-4.0831%,2.8642%,701801747
2021-08-26,300263,隆华科技,1.5453%,1.7470%,-0.7817%,4.8042%,1060457777
2021-08-26,300317,珈伟新能,-6.2210%,-6.0271%,-13.7166%,-6.0271%,439912881
2021-08-26,300438,鹏辉能源,-0.9531%,-0.7539%,1.8085%,2.7016%,1210993148
2021-08-26,600075,新疆天业,-0.7606%,-0.5612%,8.6576%,9.7643%,1213670624
2021-08-26,600293,三峡新材,-1.8002%,-1.6018%,-3.6290%,0.2288%,271794100
2021-08-26,600581,ST八钢,-2.3579%,-2.1601%,0.8156%,1.5248%,791879135
2021-08-26,600691,潞化科技,-1.4257%,-1.2270%,-1.2214%,2.6585%,573304944
2021-08-26,600740,山西焦化,-0.9702%,-0.7710%,3.9593%,6.6307%,1521847908
2021-08-26,601126,四方股份,-6.8076%,-6.6143%,-12.7546%,-5.6222%,768013778
2021-08-27,000655,金岭矿业,8.0158%,8.2240%,4.4948%,10.5737%,412703063
2021-08-27,000970,中科三环,-0.1307%,0.0693%,-0.2778%,1.2130%,796546510
2021-08-27,002045,国光电器,3.2639%,3.4674%,1.2003%,4.8691%,395979792
2021-08-27,002131,利欧股份,-0.6183%,-0.4188%,-1.4550%,1.6750%,696426715
2021-08-27,002171,楚江新材,3.7225%,3.9264%,10.4342%,10.6448%,1181834898
2021-08-27,002182,宝武镁业,1.3226%,1.5241%,-1.0553%,2.5002%,935742076
2021-08-27,002386,天原股份,1.0361%,1.2373%,2.1214%,4.4865%,695617947
2021-08-27,002631,德尔未来,-1.9603%,-1.7621%,9.9221%,10.1322%,587510907
2021-08-27,300328,宜安科技,2.7208%,2.9237%,0.1130%,5.7429%,401418755
2021-08-27,300477,ST合纵,-1.6080%,-1.4095%,-2.4974%,3.8576%,1042104564
2021-08-30,000592,平潭发展,0.1202%,0.3205%,-2.1211%,0.3205%,312236127
2021-08-30,002023,海特高新,-0.2000%,0.0000%,-3.2562%,0.1275%,653245164
2021-08-30,002048,宁波华翔,-1.4388%,-1.2401%,1.9963%,6.0879%,694555884
2021-08-30,002297,博云新材,0.7425%,0.9434%,-2.5561%,3.0189%,484485165
2021-08-30,002665,ST航高,0.1949%,0.3953%,-2.1743%,0.3953%,429461421
2021-08-30,002681,奋达科技,2.2546%,2.4570%,-3.1454%,5.6511%,448772065
2021-08-30,300177,中海达,-0.5497%,-0.3501%,-3.2603%,-0.3501%,442174433
2021-08-30,300203,聚光科技,3.1505%,3.3538%,3.7089%,5.8133%,540404387
2021-08-30,300331,苏大维格,-2.4586%,-2.2609%,0.8073%,2.8720%,436660569
2021-08-30,300393,中来股份,2.7747%,2.9776%,8.9587%,10.8134%,949254899
2021-08-30,300540,蜀道装备,-2.9226%,-2.7253%,-12.2672%,-1.5515%,409839200
2021-08-30,600293,三峡新材,-1.1144%,-0.9153%,5.9724%,8.0092%,312174161
2021-08-30,600435,北方导航,0.3490%,0.5495%,-1.1880%,0.5495%,885641549
2021-08-30,600525,ST长园,-0.6263%,-0.4267%,0.7948%,3.8407%,449385008
2021-08-30,600586,金晶科技,3.7518%,3.9557%,7.4401%,9.7574%,1344166259
2021-08-31,000426,兴业银锡,1.0424%,1.2436%,-5.1692%,4.8854%,1141950171
2021-08-31,000848,承德露露,0.4601%,0.6607%,-3.3352%,1.3214%,894370631
2021-08-31,002068,黑猫股份,-0.5571%,-0.3575%,-6.0337%,0.2384%,494257213
2021-08-31,002611,东方精工,7.7878%,7.9957%,10.4504%,10.6610%,336493176
2021-08-31,300055,万邦达,-0.1211%,0.0790%,-6.2736%,0.1579%,398380153
2021-08-31,300266,兴源环境,-0.7692%,-0.5698%,-2.4769%,1.1396%,288605217
2021-08-31,300663,科蓝软件,-2.1191%,-1.9210%,-4.3580%,-1.3340%,497882814
2021-08-31,300847,中船汉光,-1.1319%,-0.9328%,2.1298%,4.7225%,269542385
2021-08-31,600210,紫江企业,0.8992%,1.1002%,-11.6799%,1.8337%,892960267
2021-08-31,600277,ST亿利,-2.0272%,-1.8291%,-4.1156%,8.1003%,918726140
2021-08-31,600531,豫光金铅,-0.3648%,-0.1650%,-7.2897%,2.9708%,549970397
2021-08-31,600581,ST八钢,-0.2000%,0.0000%,-6.7309%,3.6320%,916257811
2021-08-31,600751,海航科技,-0.2000%,0.0000%,-2.0152%,4.5427%,536226826
2021-09-01,000158,常山北明,-2.5159%,-2.3183%,-4.2870%,-2.3183%,601937671
2021-09-01,000488,ST晨鸣,0.4167%,0.6173%,0.7867%,1.4815%,928022520
2021-09-01,000532,华金资本,-1.0222%,-0.8230%,2.5830%,3.2289%,274929839
2021-09-01,000680,山推股份,-0.6987%,-0.4993%,-0.9481%,0.4993%,269342293
2021-09-01,002341,ST新纶,-2.4704%,-2.2727%,-1.5972%,1.0490%,343017360
2021-09-01,600217,中再资环,-1.3598%,-1.1611%,-0.3656%,0.3317%,552223595
2021-09-01,600496,精工钢构,0.3193%,0.5198%,6.2904%,7.2765%,379533029
2021-09-02,002206,海利得,2.2973%,2.4997%,5.0117%,10.8684%,931913080
2021-09-02,300041,回天新材,-1.1924%,-0.9935%,-3.5513%,3.1437%,439725365
2021-09-02,300355,蒙草生态,-1.3621%,-1.1633%,2.5893%,5.1187%,387683916
2021-09-02,300366,ST创意,-0.2000%,0.0000%,-2.9993%,4.8161%,567806619
2021-09-02,600512,腾达建设,-0.4729%,-0.2732%,-3.2024%,-0.2732%,366070864
2021-09-02,603612,索通发展,-0.4785%,-0.2789%,-4.4585%,2.8684%,826912808
2021-09-03,000532,华金资本,-0.2000%,0.0000%,-10.2168%,0.0000%,499952952
2021-09-03,000713,国投丰乐,-1.0677%,-0.8686%,-0.9592%,-0.7600%,337350148
2021-09-03,002623,亚玛顿,-1.4291%,-1.2303%,1.1895%,5.1086%,502897396
2021-09-03,300102,乾照光电,0.7123%,0.9131%,-0.5420%,0.9131%,432399865
2021-09-03,300177,中海达,-0.0226%,0.1775%,1.3076%,2.5743%,583519572
2021-09-03,300569,天能重工,0.2989%,0.4993%,2.8926%,4.3938%,523379215
2021-09-03,600559,老白干酒,-1.3934%,-1.1946%,2.5847%,5.9731%,944856995
2021-09-03,600590,泰豪科技,0.6844%,0.8852%,-4.4007%,1.4385%,644445188
2021-09-03,600868,梅雁吉祥,-0.8512%,-0.6519%,-2.1537%,0.9778%,479919635
2021-09-06,001896,豫能控股,-1.3814%,-1.1827%,-2.4316%,2.3653%,913188130
2021-09-06,300055,万邦达,-4.6552%,-4.4597%,2.6788%,4.5969%,632381334
2021-09-06,300712,永福股份,-0.4975%,-0.2979%,4.8789%,5.6598%,610766310
2021-09-06,600238,ST椰岛,-1.8275%,-1.6292%,0.9225%,2.8090%,702145536
2021-09-06,601375,中原证券,-1.1778%,-0.9789%,-0.2000%,0.9789%,1079775725
