买入日,代码,名称,开盘净收益,开盘毛收益,收盘净收益,最高毛收益,信号日成交额
2021-08-17,002155,湖南黄金,-4.3029%,-4.1071%,-1.2287%,4.6644%,1248236958
2021-08-18,002570,贝因美,-0.7053%,-0.5059%,-1.8846%,0.5059%,387388548
2021-08-19,300102,乾照光电,-2.0701%,-1.8720%,-1.0800%,1.9822%,754364658
2021-08-20,300118,东方日升,3.4396%,3.6432%,5.0626%,7.9756%,1022660805
2021-08-23,300101,振芯科技,-3.6846%,-3.4881%,6.1563%,9.0433%,981262425
2021-08-24,002036,联创电子,0.2465%,0.4469%,-2.0975%,1.6760%,1205924545
2021-08-25,601702,华峰铝业,4.5237%,4.7284%,10.8952%,11.1062%,772144587
2021-08-26,600740,山西焦化,-0.9702%,-0.7710%,3.9593%,6.6307%,1521847908
2021-08-27,002171,楚江新材,3.7225%,3.9264%,10.4342%,10.6448%,1181834898
2021-08-30,600586,金晶科技,3.7518%,3.9557%,7.4401%,9.7574%,1344166259
2021-08-31,000426,兴业银锡,1.0424%,1.2436%,-5.1692%,4.8854%,1141950171
2021-09-01,000488,ST晨鸣,0.4167%,0.6173%,0.7867%,1.4815%,928022520
2021-09-02,002206,海利得,2.2973%,2.4997%,5.0117%,10.8684%,931913080
2021-09-03,600559,老白干酒,-1.3934%,-1.1946%,2.5847%,5.9731%,944856995
2021-09-06,601375,中原证券,-1.1778%,-0.9789%,-0.2000%,0.9789%,1079775725
2021-09-07,300036,超图软件,1.8107%,2.0127%,5.3629%,5.5684%,1145637420
2021-09-08,601918,新集能源,0.3072%,0.5076%,8.0828%,11.1675%,1208133255
2021-09-09,600966,博汇纸业,-0.2000%,0.0000%,1.2980%,6.5504%,1220404841
2021-09-10,000970,中科三环,-0.2799%,-0.0800%,0.5730%,1.5564%,777450296
2021-09-13,000426,兴业银锡,-3.2502%,-3.0533%,-8.7037%,-2.5907%,1146202741
2021-09-14,300077,国民技术,-2.0561%,-1.8581%,-5.2512%,-0.5787%,1785591248
2021-09-15,300185,通裕重工,0.0541%,0.2543%,-0.7081%,7.3754%,1217057760
2021-09-16,002109,ST兴化,-2.4981%,-2.3004%,-5.4721%,3.5183%,832157566
2021-09-17,002274,华昌化工,-2.6797%,-2.4823%,-0.5542%,0.5674%,1255545724
2021-09-22,002046,国机精工,-3.4871%,-3.2904%,-4.2906%,6.4346%,596996841
2021-09-23,000791,甘肃能源,-2.2937%,-2.0958%,-11.1172%,-1.6467%,1258085674
2021-09-24,600323,瀚蓝环境,0.9859%,1.1871%,1.3949%,7.7773%,1136518250
2021-09-27,000615,ST美谷,-2.2233%,-2.0254%,-4.3024%,-1.6825%,1112386638
2021-09-28,600163,中闽能源,-4.2377%,-4.0418%,-4.2377%,2.3577%,1495604103
2021-09-29,002646,天佑德酒,0.0276%,0.2278%,-1.7473%,1.6400%,780207103
