方案,日期,净值
S0 无过滤全市场,2021-08-17,0.996442
S0 无过滤全市场,2021-08-18,0.991948
S0 无过滤全市场,2021-08-19,0.986169
S0 无过滤全市场,2021-08-20,0.986922
S0 无过滤全市场,2021-08-23,0.986250
S0 无过滤全市场,2021-08-24,0.983510
S0 无过滤全市场,2021-08-25,0.980459
S0 无过滤全市场,2021-08-26,0.975401
S0 无过滤全市场,2021-08-27,0.974619
S0 无过滤全市场,2021-08-30,0.971477
S0 无过滤全市场,2021-08-31,0.970349
S0 无过滤全市场,2021-09-01,0.965807
S0 无过滤全市场,2021-09-02,0.965022
S0 无过滤全市场,2021-09-03,0.964248
S0 无过滤全市场,2021-09-06,0.962530
S0 无过滤全市场,2021-09-07,0.960934
S0 无过滤全市场,2021-09-08,0.957412
S0 无过滤全市场,2021-09-09,0.955147
S0 无过滤全市场,2021-09-10,0.952974
S0 无过滤全市场,2021-09-13,0.950609
S0 无过滤全市场,2021-09-14,0.946736
S0 无过滤全市场,2021-09-15,0.946235
S0 无过滤全市场,2021-09-16,0.943061
S0 无过滤全市场,2021-09-17,0.930140
S0 无过滤全市场,2021-09-22,0.932674
S0 无过滤全市场,2021-09-23,0.930029
S0 无过滤全市场,2021-09-24,0.929570
S0 无过滤全市场,2021-09-27,0.925385
S0 无过滤全市场,2021-09-28,0.916553
S0 无过滤全市场,2021-09-29,0.918879
S0 无过滤全市场,2021-09-30,0.926654
S0 无过滤全市场,2021-10-08,0.926774
S0 无过滤全市场,2021-10-11,0.922759
S0 无过滤全市场,2021-10-12,0.921040
S0 无过滤全市场,2021-10-13,0.917382
S0 无过滤全市场,2021-10-14,0.913548
S0 无过滤全市场,2021-10-15,0.910575
S0 无过滤全市场,2021-10-18,0.908018
S0 无过滤全市场,2021-10-19,0.903954
S0 无过滤全市场,2021-10-20,0.901714
S0 无过滤全市场,2021-10-21,0.899381
S0 无过滤全市场,2021-10-22,0.896917
S0 无过滤全市场,2021-10-25,0.895420
S0 无过滤全市场,2021-10-26,0.891496
S0 无过滤全市场,2021-10-27,0.885992
S0 无过滤全市场,2021-10-28,0.884448
S0 无过滤全市场,2021-10-29,0.881635
S0 无过滤全市场,2021-11-01,0.880151
S0 无过滤全市场,2021-11-02,0.877950
S0 无过滤全市场,2021-11-03,0.877441
