日期,主口径回踩,T+2追,破MA5回踩,触及MA5,仅首板回踩
2021-08-17,1.000000,1.000000,1.000000,1.000000,1.000000
2021-08-18,1.000000,1.067964,1.000000,1.000000,1.000000
2021-08-19,1.000000,1.007863,1.000000,0.968430,1.000000
2021-08-20,1.038761,1.024497,1.000000,1.006955,1.026906
2021-08-23,1.045117,1.022158,1.024774,0.999255,1.048536
2021-08-24,1.034151,1.004419,1.012270,0.983257,1.045569
2021-08-25,1.041441,1.008252,1.032271,0.986467,1.057028
2021-08-26,1.033811,1.003748,1.019815,0.977224,1.055271
2021-08-27,1.024291,1.001629,1.002965,0.965104,1.058675
2021-08-30,1.016343,1.013763,0.996648,0.954420,1.069172
2021-08-31,1.024943,1.018429,1.010039,0.947477,1.075213
2021-09-01,1.026590,1.020169,1.013343,0.952217,1.044856
2021-09-02,1.039231,1.037950,1.032154,0.960166,1.077856
2021-09-03,1.034746,1.034267,1.028831,0.954019,1.059632
2021-09-06,1.044496,1.051949,1.045122,0.962885,1.060806
2021-09-07,1.055200,1.067545,1.055915,0.970009,1.086203
2021-09-08,1.078760,1.086145,1.081119,0.994736,1.096356
2021-09-09,1.080056,1.096699,1.078871,0.994036,1.112967
2021-09-10,1.065535,1.085081,1.059690,0.980107,1.098006
2021-09-13,1.085993,1.110790,1.073592,0.999042,1.120549
2021-09-14,1.055378,1.082780,1.046934,0.971176,1.094669
2021-09-15,1.070753,1.097087,1.063861,0.991492,1.109450
2021-09-16,1.055047,1.092102,1.042512,0.977454,1.091598
2021-09-17,1.053870,1.087308,1.042154,0.981665,1.084551
2021-09-22,1.071396,1.100663,1.064569,1.005449,1.107487
2021-09-23,1.065094,1.095963,1.058038,1.003669,1.089414
2021-09-24,1.038597,1.075312,1.031250,0.985612,1.058024
2021-09-27,1.010065,1.067688,1.013759,0.966434,1.028414
2021-09-28,1.005128,1.058933,1.006884,0.957952,1.041082
2021-09-29,0.973891,1.029995,0.975942,0.938824,1.007588
2021-09-30,0.981721,1.045247,0.992023,0.955222,1.032407
2021-10-08,0.994671,1.072578,1.024525,0.977662,1.013411
2021-10-11,0.958132,1.059619,1.013076,0.967756,0.984251
2021-10-12,0.953375,1.047029,0.989153,0.945813,0.967916
2021-10-13,0.938572,1.022831,0.973398,0.929799,0.953218
2021-10-14,0.909145,1.019863,0.962254,0.913743,0.933351
2021-10-15,0.906045,1.013624,0.953836,0.909754,0.920307
2021-10-18,0.919648,1.021619,0.938512,0.914613,0.931486
2021-10-19,0.937898,1.023393,0.945268,0.927575,0.931638
2021-10-20,0.944265,1.010778,0.931222,0.913529,0.945596
2021-10-21,0.943257,0.997811,0.922496,0.891875,0.948078
2021-10-22,0.959788,1.002644,0.928322,0.890928,0.932385
2021-10-25,0.968016,1.009620,0.934694,0.906433,0.943904
2021-10-26,0.939647,0.991305,0.906810,0.875238,0.930926
2021-10-27,0.941859,0.999791,0.905668,0.878494,0.934306
2021-10-28,0.959701,1.005123,0.895303,0.873627,0.925630
2021-10-29,0.957464,1.006090,0.880046,0.869542,0.949021
2021-11-01,0.941256,1.019852,0.890256,0.880132,0.954580
2021-11-02,0.912407,1.005917,0.857131,0.865474,0.944635
2021-11-03,0.901694,1.003430,0.890119,0.858813,0.933081
2021-11-04,0.932469,1.024263,0.921098,0.884427,0.965437
2021-11-05,0.959764,1.029596,0.943665,0.893980,0.949752
2021-11-08,0.984031,1.041801,0.982381,0.918190,0.950171
2021-11-09,0.978914,1.040850,0.973745,0.914709,0.950381
2021-11-10,0.985193,1.051589,0.983995,0.917986,0.951383
2021-11-11,1.015431,1.071526,1.017253,0.949617,0.954522
2021-11-12,1.039526,1.087533,1.037789,0.964858,0.970779
2021-11-15,1.046396,1.095723,1.038627,0.971710,0.971410
2021-11-16,1.028345,1.079576,1.019383,0.964294,0.959239
2021-11-17,1.045270,1.094652,1.026276,0.985562,0.972142
2021-11-18,1.029617,1.084413,1.010888,0.968868,0.954381
2021-11-19,1.029712,1.078718,1.015175,0.967563,0.960434
2021-11-22,1.039024,1.088506,1.024665,0.976854,0.975582
2021-11-23,1.043445,1.095278,1.029121,0.977873,0.982466
2021-11-24,1.051707,1.101508,1.036172,0.982084,0.984234
2021-11-25,1.059233,1.099658,1.042033,0.985192,0.975483
2021-11-26,1.050838,1.090560,1.032243,0.975859,0.972657
2021-11-29,1.059599,1.091615,1.041816,0.984784,0.986698
2021-11-30,1.072259,1.100069,1.060165,0.996779,0.986785
2021-12-01,1.085465,1.115724,1.077792,1.009069,0.991565
2021-12-02,1.069684,1.096729,1.057991,0.993281,0.974333
2021-12-03,1.070411,1.088736,1.058537,0.997265,0.971574
2021-12-06,1.056081,1.074619,1.051327,0.988539,0.959873
2021-12-07,1.059589,1.073550,1.049278,0.985823,0.949704
2021-12-08,1.064500,1.077828,1.056525,0.991625,0.958867
2021-12-09,1.060245,1.073919,1.052046,0.984264,0.954801
2021-12-10,1.057856,1.072638,1.054761,0.985274,0.954838
2021-12-13,1.053914,1.069273,1.051745,0.979528,0.953117
2021-12-14,1.056235,1.072446,1.048740,0.976228,0.958113
2021-12-15,1.065999,1.079300,1.059581,0.981348,0.964257
2021-12-16,1.073848,1.095120,1.066425,0.990374,0.975232
2021-12-17,1.075878,1.103267,1.071759,0.990481,0.975794
2021-12-20,1.084722,1.114931,1.083500,0.997045,0.973180
2021-12-21,1.087026,1.132004,1.087113,0.999485,0.977538
2021-12-22,1.087399,1.125434,1.084571,0.994954,0.978294
2021-12-23,1.073968,1.099437,1.065581,0.976596,0.970828
2021-12-24,1.058149,1.084923,1.051639,0.961729,0.951527
2021-12-27,1.065614,1.090893,1.057653,0.966676,0.951184
2021-12-28,1.058144,1.083062,1.055775,0.955792,0.943822
2021-12-29,1.048860,1.090319,1.049272,0.944885,0.939165
2021-12-30,1.060726,1.114594,1.061946,0.957153,0.950063
2021-12-31,1.067651,1.128901,1.070051,0.970399,0.952064
2022-01-04,1.097239,1.155262,1.096379,0.997302,0.971146
2022-01-05,1.079534,1.137128,1.076473,0.978945,0.954163
2022-01-06,1.098570,1.159475,1.090486,1.000495,0.969089
2022-01-07,1.062635,1.117835,1.054828,0.966495,0.941541
2022-01-10,1.075148,1.122798,1.070780,0.973666,0.947276
2022-01-11,1.070540,1.120641,1.067823,0.967386,0.943622
2022-01-12,1.080785,1.135471,1.082697,0.977004,0.955438
2022-01-13,1.081311,1.140690,1.088517,0.978010,0.949201
2022-01-14,1.075325,1.139343,1.085641,0.970699,0.946875
2022-01-17,1.089646,1.155329,1.100831,0.979060,0.959915
2022-01-18,1.063042,1.118583,1.077062,0.952158,0.938189
2022-01-19,1.061302,1.125264,1.074679,0.943340,0.943738
2022-01-20,1.045028,1.107724,1.068540,0.929195,0.935256
2022-01-21,1.028065,1.091592,1.042202,0.908351,0.905058
2022-01-24,1.022211,1.067287,1.030873,0.893875,0.893624
