组,名称,笔数,胜率,平均单笔,中位数,盈亏比,平均持有,等权5年,年化,最大回撤,夏普
主口径,横盘放量首板 回踩MA5±2%,3311,28.75%,-0.8914%,-2.3009%,0.695,5.16,-93.90%,-43.08%,94.50%,-1.773
回踩定义,P0 不回踩：T+2 开盘追（策略34）,3817,28.77%,-1.6066%,-3.2064%,0.637,7.05,-97.57%,-52.71%,97.93%,-2.191
回踩定义,P1 收盘 MA5±2%（主口径）,3311,28.75%,-0.8914%,-2.3009%,0.695,5.16,-93.90%,-43.08%,94.50%,-1.773
回踩定义,P2 最低价触及 MA5 且收盘仍在线上,2818,25.23%,-1.6630%,-2.9058%,0.573,5.66,-98.98%,-60.28%,99.01%,-2.420
回踩定义,P3 收盘落在 [MA5, MA5+2%],2526,27.79%,-0.9354%,-2.4628%,0.681,5.37,-92.56%,-40.75%,93.44%,-1.504
回踩定义,P4 第一次收盘跌破 MA5（S12口径）,3864,29.89%,-0.8032%,-1.7962%,0.692,4.17,-92.12%,-40.07%,92.98%,-1.461
回踩定义,P4b 跌破 MA5 但回踩日仍 ≥ MA10,3547,28.64%,-0.9226%,-1.8888%,0.651,4.23,-90.97%,-38.40%,92.09%,-1.268
等待期,15日（主）,3311,28.75%,-0.8914%,-2.3009%,0.695,5.16,-93.90%,-43.08%,94.50%,-1.773
等待期,5日,2945,29.17%,-0.8012%,-2.2439%,0.714,5.25,-92.35%,-40.43%,93.05%,-1.602
等待期,10日,3288,28.80%,-0.8806%,-2.2936%,0.696,5.16,-93.63%,-42.59%,94.32%,-1.751
等待期,20日,3314,28.73%,-0.8983%,-2.3001%,0.693,5.16,-94.50%,-44.25%,94.99%,-1.860
等待期,30日,3314,28.73%,-0.8983%,-2.3001%,0.693,5.16,-94.50%,-44.25%,94.99%,-1.860
过滤,横盘放量首板（主）,3311,28.75%,-0.8914%,-2.3009%,0.695,5.16,-93.90%,-43.08%,94.50%,-1.773
过滤,仅首板+多头排列,19772,27.86%,-1.0515%,-2.8261%,0.711,4.94,-93.47%,-42.30%,94.30%,-1.969
过滤,裸首板回踩,34993,29.37%,-0.8053%,-2.5902%,0.761,5.18,-87.93%,-34.69%,89.59%,-1.731
出场,E0 跌破MA10（主）,3311,28.75%,-0.8914%,-2.3009%,0.695,5.16,-93.90%,-43.08%,94.50%,-1.773
出场,E1 跌破MA5,3311,34.25%,-0.4759%,-1.1597%,0.775,2.94,-92.51%,-40.67%,93.30%,-1.548
出场,E2 止盈8%止损5%最长10日,3311,40.20%,-0.0802%,-2.6835%,0.978,6.74,-68.81%,-20.92%,74.22%,-0.744
出场,E3 持有满5日,3311,39.69%,-0.2682%,-1.3179%,0.915,5.98,-78.24%,-26.46%,81.36%,-0.930
