组,名称,笔数,胜率,平均单笔,中位数,盈亏比,平均持有,等权5年,年化,最大回撤,夏普
主口径,横盘放量首板 T+2 / 跌破MA10,3817,28.77%,-1.6066%,-3.2064%,0.637,7.05,-97.57%,-52.71%,97.93%,-2.191
加条件,S0 裸首板 T+2,45349,31.09%,-1.2549%,-3.4093%,0.737,6.94,-93.55%,-42.44%,94.76%,-2.259
加条件,S1 +多头排列,24642,27.58%,-2.0756%,-4.1482%,0.617,6.66,-97.82%,-53.73%,98.14%,-2.760
加条件,S2 +放量2倍,11906,27.35%,-2.2058%,-3.9649%,0.585,6.92,-96.98%,-50.61%,97.46%,-2.406
加条件,S3 +20日无涨停,10179,27.24%,-2.2001%,-3.9171%,0.582,7.00,-96.59%,-49.38%,97.06%,-2.261
加条件,S4 主口径 +横盘15%,3817,28.77%,-1.6066%,-3.2064%,0.637,7.05,-97.57%,-52.71%,97.93%,-2.191
买入时点,T+1 开盘（涨停次日）,3754,25.36%,-2.3370%,-4.8583%,0.567,8.01,-97.76%,-53.49%,97.99%,-2.338
买入时点,T+2 开盘（主口径）,3817,28.77%,-1.6066%,-3.2064%,0.637,7.05,-97.57%,-52.71%,97.93%,-2.191
买入时点,T+3 开盘,3841,29.08%,-1.4051%,-2.7714%,0.645,6.19,-97.90%,-54.09%,98.17%,-2.265
敏感度,箱体10%,1139,31.26%,-1.2546%,-2.6948%,0.682,7.36,-90.67%,-38.00%,92.88%,-1.163
敏感度,箱体15%（主）,3817,28.77%,-1.6066%,-3.2064%,0.637,7.05,-97.57%,-52.71%,97.93%,-2.191
敏感度,箱体20%,6247,27.63%,-1.8946%,-3.5317%,0.602,6.93,-97.30%,-51.71%,97.76%,-2.386
敏感度,箱体25%,7793,27.11%,-2.0710%,-3.6984%,0.583,6.92,-97.60%,-52.83%,97.94%,-2.614
敏感度,收盘波幅12%,5085,28.16%,-1.7708%,-3.3681%,0.616,6.95,-96.79%,-49.99%,97.32%,-2.106
敏感度,30日箱体20%,4094,28.29%,-1.8128%,-3.3500%,0.606,7.05,-95.93%,-47.54%,96.67%,-1.972
敏感度,放量1.5×,4280,29.11%,-1.4075%,-3.1594%,0.679,7.07,-96.98%,-50.60%,97.44%,-2.093
敏感度,放量2×（主）,3817,28.77%,-1.6066%,-3.2064%,0.637,7.05,-97.57%,-52.71%,97.93%,-2.191
敏感度,放量3×,2743,29.78%,-1.4982%,-3.1855%,0.656,7.10,-96.90%,-50.33%,97.42%,-1.761
敏感度,放量含当日均量2×,3032,29.39%,-1.6223%,-3.1427%,0.628,7.08,-97.55%,-52.63%,97.85%,-2.144
出场,E0 跌破MA10（主）,3817,28.77%,-1.6066%,-3.2064%,0.637,7.05,-97.57%,-52.71%,97.93%,-2.191
出场,E1 跌破MA5,3817,31.31%,-1.0033%,-1.9855%,0.694,3.60,-97.24%,-51.50%,98.01%,-2.037
出场,E2 止盈8%止损5%最长10日,3817,37.70%,-0.3808%,-4.1859%,0.911,5.98,-87.17%,-33.88%,89.71%,-1.333
出场,E3 持有满5日,3817,39.09%,-0.8418%,-1.8988%,0.794,5.98,-91.90%,-39.73%,93.97%,-1.565
出场,E4 收盘不涨停就卖,3817,38.38%,-0.6227%,-1.2722%,0.775,2.10,-95.05%,-45.43%,96.68%,-1.631
对照,26 涨停次日跟进,32705,36.76%,-1.2333%,-5.0590%,0.771,3.56,-97.78%,-53.59%,98.19%,-3.315
